Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_52795_1963, Art. 1º, caput",2,3,"[ Aprova o Regulamento dos Serviços de Radiodifusão. | ] Fica aprovado o Regulamento dos Serviços de Radiodifusão, que, assinado pelo Presidente do Conselho Nacional de Telecomunicações, com êste baixa.",urn:lex:br:federal:decreto:1963-10-31;52795!art1_cpt
"CPT","decreto_52795_1963, Art. 2º, caput",6,7,"[ Aprova o Regulamento dos Serviços de Radiodifusão. | ] Êste decreto entrará em vigor na data de sua publicação, ficando revogadas as disposições em contrário.",urn:lex:br:federal:decreto:1963-10-31;52795!art2_cpt
"ART","decreto_52795_1963, Art. 1º",1,4,"[ Aprova o Regulamento dos Serviços de Radiodifusão. | ] Art. 1º Fica aprovado o Regulamento dos Serviços de Radiodifusão, que, assinado pelo Presidente do Conselho Nacional de Telecomunicações, com êste baixa.",urn:lex:br:federal:decreto:1963-10-31;52795!art1
"ART","decreto_52795_1963, Art. 2º",5,8,"[ Aprova o Regulamento dos Serviços de Radiodifusão. | ] Art. 2º Êste decreto entrará em vigor na data de sua publicação, ficando revogadas as disposições em contrário.",urn:lex:br:federal:decreto:1963-10-31;52795!art2
