Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_2338_1997, Art. 1º, caput",2,3,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | ] Ficam aprovados, na forma dos Anexos I e II, o Regulamento da Agência Nacional de Telecomunicações e o correspondente Quadro Demonstrativo dos Cargos em Comissão e Funções Comissionadas de Telecomunicações.",urn:lex:br:federal:decreto:1997-10-07;2338!art1_cpt
"CPT","decreto_2338_1997, Art. 2º, caput",6,11,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | ] Ficam remanejados: do Ministério da Administração Federal e Reforma do Estado, oriundos da extinção de órgãos da Administração Federal, para a Agência Nacional de Telecomunicações, seis cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS, sendo um DAS 101.6 e cinco DAS 101.5. da Agência Nacional de Telecomunicações para o Ministério da Administração Federal e Reforma do Estado, dois cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS, nível 102.5.",urn:lex:br:federal:decreto:1997-10-07;2338!art2_cpt
"CPT","decreto_2338_1997, Art. 3º, caput",14,15,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | ] Este Decreto entra em vigor na data de sua publicação, produzindo efeitos a partir da data dos atos de nomeação dos membros do Conselho Diretor da Agência Nacional de Telecomunicações.",urn:lex:br:federal:decreto:1997-10-07;2338!art3_cpt
"ART","decreto_2338_1997, Art. 1º",1,4,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | ] Art. 1º Ficam aprovados, na forma dos Anexos I e II, o Regulamento da Agência Nacional de Telecomunicações e o correspondente Quadro Demonstrativo dos Cargos em Comissão e Funções Comissionadas de Telecomunicações.",urn:lex:br:federal:decreto:1997-10-07;2338!art1
"ART","decreto_2338_1997, Art. 2º",5,12,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | ] Art. 2º Ficam remanejados: I – do Ministério da Administração Federal e Reforma do Estado, oriundos da extinção de órgãos da Administração Federal, para a Agência Nacional de Telecomunicações, seis cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS, sendo um DAS 101.6 e cinco DAS 101.5. II – da Agência Nacional de Telecomunicações para o Ministério da Administração Federal e Reforma do Estado, dois cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS, nível 102.5.",urn:lex:br:federal:decreto:1997-10-07;2338!art2
"ART","decreto_2338_1997, Art. 3º",13,16,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | ] Art. 3º Este Decreto entra em vigor na data de sua publicação, produzindo efeitos a partir da data dos atos de nomeação dos membros do Conselho Diretor da Agência Nacional de Telecomunicações.",urn:lex:br:federal:decreto:1997-10-07;2338!art3
"INC","decreto_2338_1997, Art. 2º, caput, Inciso I",7,8,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | Art. 2º Ficam remanejados: ] I – do Ministério da Administração Federal e Reforma do Estado, oriundos da extinção de órgãos da Administração Federal, para a Agência Nacional de Telecomunicações, seis cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS, sendo um DAS 101.6 e cinco DAS 101.5.",urn:lex:br:federal:decreto:1997-10-07;2338!art2_cpt_inc1
"INC","decreto_2338_1997, Art. 2º, caput, Inciso II",9,10,"[ Aprova o Regulamento da Agência Nacional de Telecomunicações e dá outras providências | Art. 2º Ficam remanejados: ] II – da Agência Nacional de Telecomunicações para o Ministério da Administração Federal e Reforma do Estado, dois cargos em comissão do Grupo-Direção e Assessoramento Superiores - DAS, nível 102.5.",urn:lex:br:federal:decreto:1997-10-07;2338!art2_cpt_inc2
