Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anatel_671_2016.anexo1, Art. 1º, caput",4,5,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETO | ] Este Regulamento disciplina e estabelece os parâmetros gerais de administração, condições de uso, autorização e controle de radiofrequências, em território nacional, incluindo o espaço aéreo e águas territoriais, em conformidade com o disposto no art. 1º, parágrafo único, art. 19, incisos VIII e IX, e demais disposições pertinentes da Lei nº 9.472, de 16 de julho de 1997 (Lei Geral de Telecomunicações), observados, ainda, os tratados, acordos e atos internacionais subscritos pela República Federativa do Brasil e ratificados pelo Congresso Nacional.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art1_cpt
"PAR","res_anatel_671_2016.anexo1, Art. 1º, § 1º",6,17,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETO | ] Os princípios que norteiam este Regulamento são: a constatação de que o espectro de radiofrequências é um recurso limitado, constituindo-se em bem público, administrado pela Agência; a utilização eficiente e adequada do espectro; o emprego racional e econômico do espectro; a ampliação do uso de redes e serviços de telecomunicações; e, a autorização para o uso de radiofrequências a título oneroso.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art1_par1
"PAR","res_anatel_671_2016.anexo1, Art. 1º, § 2º",18,23,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETO | ] Este Regulamento não trata dos seguintes casos de uso de radiofrequência, faixa ou canal de radiofrequências, que não dependem de autorização da Anatel: aplicações com fins industriais, científicos e médicos (ISM – Industrial, Scientific and Medical); e, aplicações das forças armadas brasileiras, em faixas destinadas exclusivamente a fins militares.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art1_par2
"PAR","res_anatel_671_2016.anexo1, Art. 1º, § 3º",24,31,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETO | ] A utilização de radiofrequências, faixa ou canal de radiofrequências poderá ser permitida de forma diversa da prevista neste Regulamento nos seguintes casos, tratados em regulamentos específicos: aplicações em equipamentos de radiocomunicação de radiação restrita; autorização de radiofrequência para uso temporário ou para fins científicos ou experimentais; e, autorização de radiofrequência associada ao direito de exploração de satélite.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art1_par3
"PAR","res_anatel_671_2016.anexo1, Art. 1º, § 4º",32,33,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETO | ] Nos casos citados nos §§ 2º e 3º, aplicam-se subsidiariamente os preceitos deste Regulamento, em particular em casos de interferências prejudiciais, inclusive naquelas entre sistemas terrestres e espaciais.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art1_par4
"CPT","res_anatel_671_2016.anexo1, Art. 2º, caput",36,49,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETO | ] A regulamentação do uso de radiofrequências tem como objetivos principais: promover o desenvolvimento nacional, especialmente da exploração de serviços de telecomunicações e de radiodifusão; garantir o acesso de toda a população aos serviços de telecomunicações e de radiodifusão; democratizar o acesso ao espectro de radiofrequências, em estímulo ao desenvolvimento social e econômico; servir à segurança e à defesa nacionais; viabilizar a exploração de serviços de informação e entretenimento educacional, geral e de interesse público; e, permitir o desenvolvimento de pesquisa científica.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art2_cpt
"CPT","res_anatel_671_2016.anexo1, Art. 4º, caput",56,57,"[ DA ADMINISTRAÇÃO DO ESPECTRO DE RADIOFREQUÊNCIAS | DAS DISPOSIÇÕES GERAIS | ] A Anatel, no exercício da função de administração do uso de radiofrequências, pode modificar motivadamente a atribuição, destinação e distribuição de radiofrequências ou faixas de radiofrequências, bem como suas autorizações e consignações e as respectivas condições de uso de radiofrequências",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art4_cpt
"PAR","res_anatel_671_2016.anexo1, Art. 4º, Parágrafo único.",58,59,"[ DA ADMINISTRAÇÃO DO ESPECTRO DE RADIOFREQUÊNCIAS | DAS DISPOSIÇÕES GERAIS | ] A Anatel deve fixar prazo adequado e razoável para a efetivação da mudança prevista no caput, observado o disposto no art. 12 deste Regulamento.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art4_par1u
"CPT","res_anatel_671_2016.anexo1, Art. 5º, caput",62,75,"[ DA ADMINISTRAÇÃO DO ESPECTRO DE RADIOFREQUÊNCIAS | DAS DISPOSIÇÕES GERAIS | ] A Anatel pode exigir dos interessados, visando ao melhor aproveitamento na utilização das radiofrequências, sem prejuízo de outras medidas de interesse público: a comprovação periódica do efetivo uso de radiofrequências, faixa ou canal de radiofrequências, nos termos da autorização ou da consignação; o emprego de técnicas específicas; a certificação dos equipamentos de radiocomunicação utilizados; a utilização de valores de potência de transmissão inferiores ao máximo permitido, associados a antenas de maior ganho; as características mínimas de projeto; e, a realização de coordenação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art5_cpt
"CPT","res_anatel_671_2016.anexo1, Art. 6º, caput",80,87,"[ DA ADMINISTRAÇÃO DO ESPECTRO DE RADIOFREQUÊNCIAS | DA ATRIBUIÇÃO, DESTINAÇÃO E DISTRIBUIÇÃO DE FAIXAS DE RADIOFREQUÊNCIAS NO BRASIL | ] A Anatel, ao atribuir, destinar ou distribuir faixas de radiofrequências, deve observar: o interesse público; o disposto em tratados, acordos e atos internacionais subscritos pelo Brasil e ratificados pelo Congresso Nacional; e, as destinações, distribuições e consignações preexistentes.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2016-11-03;671!anexo1!art6_cpt
