Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","decreto_lei_3689_19411003, Art. 3º-C., § 3º",92,93,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DISPOSIÇÕES PRELIMINARES | ] Os autos que compõem as matérias de competência do juiz das garantias ficarão acautelados na secretaria desse juízo, à disposição do Ministério Público e da defesa, e não serão apensados aos autos do processo enviados ao juiz da instrução e julgamento, ressalvados os documentos relativos às provas irrepetíveis, medidas de obtenção de provas ou de antecipação de provas, que deverão ser remetidos para apensamento em apartado. (Vide ADIs nºs 6.298, 6.299, 6.300 e 6.305, cuja Decisão foi publicada no DOU de 4.9.2023)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art3-3_par3
"PAR","decreto_lei_3689_19411003, Art. 3º-C., § 4º",94,95,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DISPOSIÇÕES PRELIMINARES | ] Fica assegurado às partes o amplo acesso aos autos acautelados na secretaria do juízo das garantias. (Vide ADIs nºs 6.298, 6.299, 6.300 e 6.305, cuja Decisão foi publicada no DOU de 4.9.2023) (Artigo acrescido pela Lei nº 13.964, de 24.12.2019, publicada na Edição Extra do DOU de 24.12.2019, em vigor 30 dias após a publicação)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art3-3_par4
"CPT","decreto_lei_3689_19411003, Art. 3º-D., caput",98,99,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DISPOSIÇÕES PRELIMINARES | ] O juiz que, na fase de investigação, praticar qualquer ato incluído nas competências dos arts. 4º e 5º deste Código ficará impedido de funcionar no processo. (“Caput” do artigo declarado inconstitucional, em controle concentrado, pelo Supremo Tribunal Federal, pelas ADIs nºs 6.298, 6.299, 6.300 e 6.305, cuja Decisão foi publicada no DOU de 4.9.2023)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art3-4_cpt
"PAR","decreto_lei_3689_19411003, Art. 3º-D., Parágrafo único.",100,101,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DISPOSIÇÕES PRELIMINARES | ] Nas comarcas em que funcionar apenas um juiz, os tribunais criarão um sistema de rodízio de magistrados, a fim de atender às disposições deste Capítulo. (Parágrafo único declarado formalmente inconstitucional, em controle concentrado, pelo Supremo Tribunal Federal, pelas ADIs nºs 6.298, 6.299, 6.300 e 6.305, cuja Decisão foi publicada no DOU de 4.9.2023)(Artigo acrescido pela Lei nº 13.964, de 24.12.2019, publicada na Edição Extra do DOU de 24.12.2019, em vigor 30 dias após a publicação)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art3-4_par1u
"CPT","decreto_lei_3689_19411003, Art. 3º-E., caput",104,105,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DISPOSIÇÕES PRELIMINARES | ] O juiz das garantias será designado conforme as normas de organização judiciária da União, dos Estados e do Distrito Federal, observando critérios objetivos a serem periodicamente divulgados pelo respectivo tribunal. (Artigo acrescido pela Lei nº 13.964, de 24.12.2019, publicada na Edição Extra do DOU de 24.12.2019, em vigor 30 dias após a publicação) (Vide ADIs nºs 6.298, 6.299, 6.300 e 6.305, cuja Decisão foi publicada no DOU de 4.9.2023)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art3-5_cpt
"CPT","decreto_lei_3689_19411003, Art. 3º-F., caput",108,109,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DISPOSIÇÕES PRELIMINARES | ] O juiz das garantias deverá assegurar o cumprimento das regras para o tratamento dos presos, impedindo o acordo ou ajuste de qualquer autoridade com órgãos da imprensa para explorar a imagem da pessoa submetida à prisão, sob pena de responsabilidade civil, administrativa e penal.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art3-6_cpt
"PAR","decreto_lei_3689_19411003, Art. 3º-F., Parágrafo único.",110,111,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DISPOSIÇÕES PRELIMINARES | ] Por meio de regulamento, as autoridades deverão disciplinar, em 180 (cento e oitenta) dias, o modo pelo qual as informações sobre a realização da prisão e a identidade do preso serão, de modo padronizado e respeitada a programação normativa aludida no caput deste artigo, transmitidas à imprensa, assegurados a efetividade da persecução penal, o direito à informação e a dignidade da pessoa submetida à prisão. (Vide ADIs nºs 6.298, 6.299, 6.300 e 6.305, cuja Decisão foi publicada no DOU de 4.9.2023) (Artigo acrescido pela Lei nº 13.964, de 24.12.2019, publicada na Edição Extra do DOU de 24.12.2019, em vigor 30 dias após a publicação)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art3-6_par1u
"CPT","decreto_lei_3689_19411003, Art. 4º, caput",116,117,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] A polícia judiciária será exercida pelas autoridades policiais no território de suas respectivas circunscrições e terá por fim a apuração das infrações penais e da sua autoria. (“Caput” do artigo com redação dada pela Lei nº 9.043, de 9.5.1995)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art4_cpt
"PAR","decreto_lei_3689_19411003, Art. 4º, Parágrafo único.",118,119,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] A competência definida neste artigo não excluirá a de autoridades administrativas, a quem por lei seja cometida a mesma função.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art4_par1u
"CPT","decreto_lei_3689_19411003, Art. 5º, caput",122,127,"[ Código de Processo Penal. | DO PROCESSO EM GERAL | DO INQUÉRITO POLICIAL | ] Nos crimes de ação pública o inquérito policial será iniciado: de ofício; mediante requisição da autoridade judiciária ou do Ministério Público, ou a requerimento do ofendido ou de quem tiver qualidade para representá-lo.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art5_cpt
