Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_lei_3689_19411003, Art. 690., caput",5289,5294,"[ Código de Processo Penal. | DA EXECUÇÃO | DA EXECUÇÃO DAS PENAS EM ESPÉCIE | DAS PENAS PECUNIÁRIAS | ] O juiz tornará sem efeito a conversão, expedindo alvará de soltura ou cassando a ordem de prisão, se o condenado, em qualquer tempo: pagar a multa; prestar caução real ou fidejussória que lhe assegure o pagamento.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art690_cpt
"PAR","decreto_lei_3689_19411003, Art. 690., Parágrafo único.",5295,5296,"[ Código de Processo Penal. | DA EXECUÇÃO | DA EXECUÇÃO DAS PENAS EM ESPÉCIE | DAS PENAS PECUNIÁRIAS | ] No caso do nº II, antes de homologada a caução, será ouvido o Ministério Público dentro do prazo de dois dias.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art690_par1u
"CPT","decreto_lei_3689_19411003, Art. 691., caput",5301,5302,"[ Código de Processo Penal. | DA EXECUÇÃO | DA EXECUÇÃO DAS PENAS EM ESPÉCIE | DAS PENAS ACESSÓRIAS | ] O juiz dará à autoridade administrativa competente conhecimento da sentença transitada em julgado, que impuser ou de que resultar a perda da função pública ou a incapacidade temporária para investidura em função pública ou para exercício de profissão ou atividade.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art691_cpt
"CPT","decreto_lei_3689_19411003, Art. 692., caput",5305,5306,"[ Código de Processo Penal. | DA EXECUÇÃO | DA EXECUÇÃO DAS PENAS EM ESPÉCIE | DAS PENAS ACESSÓRIAS | ] No caso de incapacidade temporária ou permanente para o exercício do pátrio poder, da tutela ou da curatela, o juiz providenciará para que sejam acautelados, no juízo competente, a pessoa e os bens do menor ou do interdito.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art692_cpt
"CPT","decreto_lei_3689_19411003, Art. 693., caput",5309,5310,"[ Código de Processo Penal. | DA EXECUÇÃO | DA EXECUÇÃO DAS PENAS EM ESPÉCIE | DAS PENAS ACESSÓRIAS | ] A incapacidade permanente ou temporária para o exercício da autoridade marital ou do pátrio poder será averbada no registro civil.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art693_cpt
"CPT","decreto_lei_3689_19411003, Art. 694., caput",5313,5314,"[ Código de Processo Penal. | DA EXECUÇÃO | DA EXECUÇÃO DAS PENAS EM ESPÉCIE | DAS PENAS ACESSÓRIAS | ] As penas acessórias consistentes em interdições de direitos serão comunicadas ao Instituto de Identificação e Estatística ou estabelecimento congênere, figurarão na folha de antecedentes do condenado e serão mencionadas no rol de culpados.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art694_cpt
"CPT","decreto_lei_3689_19411003, Art. 695., caput",5317,5318,"[ Código de Processo Penal. | DA EXECUÇÃO | DA EXECUÇÃO DAS PENAS EM ESPÉCIE | DAS PENAS ACESSÓRIAS | ] Iniciada a execução das interdições temporárias (art. 72, a e b, do Código Penal), o juiz, de ofício, a requerimento do Ministério Público ou do condenado, fixará o seu termo final, completando as providências determinadas nos artigos anteriores.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art695_cpt
"CPT","decreto_lei_3689_19411003, Art. 696., caput",5325,5330,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O juiz poderá suspender, por tempo não inferior a dois nem superior a seis anos, a execução das penas de reclusão e de detenção que não excedam a dois anos, ou, por tempo não inferior a um nem superior a três anos, a execução da pena de prisão simples, desde que o sentenciado: (“Caput” do artigo com redação dada pela Lei nº 6.416, de 24.5.1977) não haja sofrido, no País ou no estrangeiro, condenação irrecorrível por outro crime a pena privativa da liberdade, salvo o disposto no parágrafo único do artigo 46 do Código Penal; (Inciso com redação dada pela Lei nº 6.416, de 24.5.1977) os antecedentes e a personalidade do sentenciado, os motivos e as circunstâncias do crime autorizem a presunção de que não tornará a delinqüir.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art696_cpt
"PAR","decreto_lei_3689_19411003, Art. 696., Parágrafo único.",5331,5332,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Processado o beneficiário por outro crime ou contravenção, considerar-se-á prorrogado o prazo da suspensão da pena até o julgamento definitivo.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art696_par1u
"CPT","decreto_lei_3689_19411003, Art. 697., caput",5335,5336,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O Juiz ou tribunal, na decisão que aplicar pena privativa da liberdade não superior a dois anos, deverá pronunciar-se, motivadamente, sobre a suspensão condicional, quer a conceda quer a denegue. (Artigo com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art697_cpt
"CPT","decreto_lei_3689_19411003, Art. 698., caput",5339,5340,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Concedida a suspensão, o juiz especificará as condições a que fica sujeito o condenado, pelo prazo previsto, começando este a correr da audiência em que se der conhecimento da sentença ao beneficiário e lhe for entregue documento similar ao descrito no artigo 724. (“Caput” do artigo com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_cpt
"PAR","decreto_lei_3689_19411003, Art. 698., § 1º",5341,5342,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] As condições serão adequadas ao delito e à personalidade do condenado. (Parágrafo acrescido pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_par1
"PAR","decreto_lei_3689_19411003, Art. 698., § 2º",5343,5352,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Poderão ser impostas, além das estabelecidas no artigo 767, como normas de conduta e obrigações, as seguintes condições: freqüentar curso de habilitação profissional ou de instrução escolar; prestar serviços em favor da comunidade; atender aos encargos de família; submeter-se a tratamento de desintoxicação. (Parágrafo acrescido pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_par2
"PAR","decreto_lei_3689_19411003, Art. 698., § 3º",5353,5354,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O juiz poderá fixar, a qualquer tempo, de ofício ou a requerimento do Ministério Público, outras condições além das especificadas na sentença e das referidas no parágrafo anterior, desde que as circunstâncias o aconselhem. (Parágrafo acrescido pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_par3
"PAR","decreto_lei_3689_19411003, Art. 698., § 4º",5355,5356,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] A fiscalização do cumprimento das condições deverá ser regulada, nos Estados, Territórios e Distrito Federal, por normas supletivas e atribuída a serviço social penitenciário, patronato, conselho de comunidade ou entidades similares, inspecionadas pelo Conselho Penitenciário, pelo Ministério Público ou ambos, devendo o juiz da execução na comarca suprir, por ato, a falta das normas supletivas. (Parágrafo acrescido pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_par4
"PAR","decreto_lei_3689_19411003, Art. 698., § 5º",5357,5358,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O beneficiário deverá comparecer periodicamente à entidade fiscalizadora, para comprovar a observância das condições a que está sujeito, comunicando, também, a sua ocupação, os salários ou proventos de que vive, as economias que conseguiu realizar e as dificuldades materiais ou sociais que enfrenta. (Parágrafo acrescido pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_par5
"PAR","decreto_lei_3689_19411003, Art. 698., § 6º",5359,5360,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] A entidade fiscalizadora deverá comunicar imediatamente ao órgão de inspeção, para os fins legais (arts. 730 e 731), qualquer fato capaz de acarretar a revogação do benefício, a prorrogação do prazo ou a modificação das condições. (Parágrafo acrescido pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_par6
"PAR","decreto_lei_3689_19411003, Art. 698., § 7º",5361,5362,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Se for permitido ao beneficiário mudar-se, será feita comunicação ao juiz e à entidade fiscalizadora do local da nova residência, aos quais deverá apresentar-se imediatamente. (Parágrafo acrescido pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art698_par7
"CPT","decreto_lei_3689_19411003, Art. 699., caput",5365,5366,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] No caso de condenação pelo tribunal do júri, a suspensão condicional da pena competirá ao seu presidente.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art699_cpt
"CPT","decreto_lei_3689_19411003, Art. 700., caput",5369,5370,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] A suspensão não compreende a multa, as penas acessórias, os efeitos da condenação nem as custas.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art700_cpt
"CPT","decreto_lei_3689_19411003, Art. 701., caput",5373,5374,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O juiz, ao conceder a suspensão, fixará, tendo em conta as condições econômicas ou profissionais do réu, o prazo para o pagamento, integral ou em prestações, das custas do processo e taxa penitenciária.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art701_cpt
"CPT","decreto_lei_3689_19411003, Art. 702., caput",5377,5378,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Em caso de co-autoria, a suspensão poderá ser concedida a uns e negada a outros réus.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art702_cpt
"CPT","decreto_lei_3689_19411003, Art. 703., caput",5381,5382,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O juiz que conceder a suspensão lerá ao réu, em audiência, a sentença respectiva, e o advertirá das conseqüências de nova infração penal e da transgressão das obrigações impostas.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art703_cpt
"CPT","decreto_lei_3689_19411003, Art. 704., caput",5385,5386,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Quando for concedida a suspensão pela superior instância, a esta caberá estabelecer-lhe as condições, podendo a audiência ser presidida por qualquer membro do tribunal ou câmara, pelo juiz do processo ou por outro designado pelo presidente do tribunal ou câmara.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art704_cpt
"CPT","decreto_lei_3689_19411003, Art. 705., caput",5389,5390,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Se, intimado pessoalmente ou por edital com prazo de 20 dias, o réu não comparecer à audiência a que se refere o art. 703, a suspensão ficará sem efeito e será executada imediatamente a pena, salvo prova de justo impedimento, caso em que será marcada nova audiência.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art705_cpt
"CPT","decreto_lei_3689_19411003, Art. 706., caput",5393,5394,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] A suspensão também ficará sem efeito se, em virtude de recurso, for aumentada a pena de modo que exclua a concessão do benefício. (Artigo com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art706_cpt
"CPT","decreto_lei_3689_19411003, Art. 707., caput",5397,5402,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] A suspensão será revogada se o beneficiário: é condenado, por sentença irrecorrível, a pena privativa da liberdade; frustra, embora solvente, o pagamento da multa, ou não efetua, sem motivo justificado, a reparação do dano.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art707_cpt
"PAR","decreto_lei_3689_19411003, Art. 707., Parágrafo único.",5403,5404,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O juiz poderá revogar a suspensão, se o beneficiário deixa de cumprir qualquer das obrigações constantes da sentença, de observar proibições inerentes à pena acessória, ou é irrecorrivelmente condenado a pena que não seja privativa da liberdade; se não a revogar, deverá advertir o beneficiário, ou exacerbar as condições ou, ainda, prorrogar o período da suspensão até no máximo, se esse limite não foi o fixado. (Artigo com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art707_par1u
"CPT","decreto_lei_3689_19411003, Art. 708., caput",5407,5408,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Expirado o prazo de suspensão ou a prorrogação, sem que tenha ocorrido motivo de revogação, a pena privativa de liberdade será declarada extinta.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art708_cpt
"PAR","decreto_lei_3689_19411003, Art. 708., Parágrafo único.",5409,5410,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O juiz, quando julgar necessário, requisitará, antes do julgamento, nova folha de antecedentes do beneficiário.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art708_par1u
"CPT","decreto_lei_3689_19411003, Art. 709., caput",5413,5414,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] A condenação será inscrita, com a nota de suspensão, em livros especiais do Instituto de Identificação e Estatística, ou repartição congênere, averbando-se, mediante comunicação do juiz ou do tribunal, a revogação da suspensão ou a extinção da pena. Em caso de revogação, será feita a averbação definitiva no registro geral.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art709_cpt
"PAR","decreto_lei_3689_19411003, Art. 709., § 1º",5415,5416,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Nos lugares onde não houver Instituto de Identificação e Estatística ou repartição congênere, o registro e a averbação serão feitos em livro próprio no juízo ou no tribunal.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art709_par1
"PAR","decreto_lei_3689_19411003, Art. 709., § 2º",5417,5418,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] O registro será secreto, salvo para efeito de informações requisitadas por autoridade judiciária, no caso de novo processo.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art709_par2
"PAR","decreto_lei_3689_19411003, Art. 709., § 3º",5419,5420,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DA SUSPENSÃO CONDICIONAL DA PENA | ] Não se aplicará o disposto no § 2º, quando houver sido imposta ou resultar de condenação pena acessória consistente em interdição de direitos.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art709_par3
"CPT","decreto_lei_3689_19411003, Art. 710., caput",5425,5436,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O livramento condicional poderá ser concedido ao condenado a pena privativa da liberdade igual ou superior a dois anos, desde que se verifiquem as condições seguintes: (“Caput” do artigo com redação dada pela Lei nº 6.416, de 24.5.1977) cumprimento de mais da metade da pena, ou mais de três quartos, se reincidente o sentenciado; (Inciso com redação dada pela Lei nº 6.416, de 24.5.1977) ausência ou cessação de periculosidade; bom comportamento durante a vida carcerária; aptidão para prover à própria subsistência mediante trabalho honesto; reparação do dano causado pela infração, salvo impossibilidade de fazê-lo. (Inciso com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art710_cpt
"CPT","decreto_lei_3689_19411003, Art. 711., caput",5439,5440,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] As penas que correspondem a infrações diversas, podem somar-se, para efeito do livramento. (Artigo com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art711_cpt
"CPT","decreto_lei_3689_19411003, Art. 712., caput",5443,5444,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O livramento condicional poderá ser concedido mediante requerimento do sentenciado, de seu cônjuge ou de parente em linha reta, ou por proposta do diretor do estabelecimento penal, ou por iniciativa do Conselho Penitenciário. (“Caput” do artigo com redação dada pelo Decreto-Lei nº 6.109, de 16.12.1943)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art712_cpt
"PAR","decreto_lei_3689_19411003, Art. 712., Parágrafo único.",5445,5446,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] No caso do artigo anterior, a concessão do livramento competirá ao juiz da execução da pena que o condenado estiver cumprindo.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art712_par1u
"CPT","decreto_lei_3689_19411003, Art. 713., caput",5449,5450,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] As condições de admissibilidade, conveniência e oportunidade da concessão do livramento serão verificadas pelo Conselho Penitenciário, a cujo parecer não ficará, entretanto, adstrito o juiz.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art713_cpt
"CPT","decreto_lei_3689_19411003, Art. 714., caput",5453,5464,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O diretor do estabelecimento penal remeterá ao Conselho Penitenciário minucioso relatório sobre: o caráter do sentenciado, revelado pelos seus antecedentes e conduta na prisão; o procedimento do liberando na prisão, sua aplicação ao trabalho e seu trato com os companheiros e funcionários do estabelecimento; suas relações, quer com a família, quer com estranhos; seu grau de instrução e aptidão profissional, com a indicação dos serviços em que haja sido empregado e da especialização anterior ou adquirida na prisão; sua situação financeira, e seus propósitos quanto ao seu futuro meio de vida, juntando o diretor, quando dada por pessoa idônea, promessa escrita de colocação do liberando, com indicação do serviço e do salário.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art714_cpt
"PAR","decreto_lei_3689_19411003, Art. 714., Parágrafo único.",5465,5466,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O relatório será, dentro do prazo de quinze dias, remetido ao Conselho, com o prontuário do sentenciado, e, na falta, o Conselho opinará livremente, comunicando à autoridade competente a omissão do diretor da prisão.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art714_par1u
"CPT","decreto_lei_3689_19411003, Art. 715., caput",5469,5470,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Se tiver sido imposta medida de segurança detentiva, o livramento não poderá ser concedido sem que se verifique, mediante exame das condições do sentenciado, a cessação da periculosidade.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art715_cpt
"PAR","decreto_lei_3689_19411003, Art. 715., Parágrafo único.",5471,5472,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Consistindo a medida de segurança em internação em casa de custódia e tratamento, proceder-se-á a exame mental do sentenciado.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art715_par1u
"CPT","decreto_lei_3689_19411003, Art. 716., caput",5475,5476,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] A petição ou a proposta de livramento será remetida ao juiz ou ao tribunal por ofício do presidente do Conselho Penitenciário, com a cópia do respectivo parecer e do relatório do diretor da prisão.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art716_cpt
"PAR","decreto_lei_3689_19411003, Art. 716., § 1º",5477,5478,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Para emitir parecer, o Conselho poderá determinar diligências e requisitar os autos do processo.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art716_par1
"PAR","decreto_lei_3689_19411003, Art. 716., § 2º",5479,5480,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O juiz ou o tribunal mandará juntar a petição ou a proposta, com o ofício ou documento que a acompanharem, aos autos do processo, e proferirá sua decisão, previamente ouvido o Ministério Público.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art716_par2
"CPT","decreto_lei_3689_19411003, Art. 717., caput",5483,5484,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Na ausência da condição prevista no art. 710, inciso I, o requerimento será liminarmente indeferido. (Artigo com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art717_cpt
"CPT","decreto_lei_3689_19411003, Art. 718., caput",5487,5488,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Deferido o pedido, o juiz ao especificar as condições a que ficará subordinado o livramento, atenderá ao disposto no art. 698, parágrafos 1º, 2º e 5º.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art718_cpt
"PAR","decreto_lei_3689_19411003, Art. 718., § 1º",5489,5490,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Se for permitido ao liberado residir fora da jurisdição do juiz da execução, remeter-se-á cópia da sentença do livramento à autoridade judiciária do lugar para onde ele se houver transferido, e à entidade de observação cautelar e proteção.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art718_par1
"PAR","decreto_lei_3689_19411003, Art. 718., § 2º",5491,5492,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O liberado será advertido da obrigação de apresentar-se imediatamente a autoridade judiciária e à entidade de observação cautelar e proteção. (Artigo com redação dada pela Lei nº 6.416, de 24.5.1977)",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art718_par2
"CPT","decreto_lei_3689_19411003, Art. 719., caput",5495,5496,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O livramento ficará também subordinado à obrigação de pagamento das custas do processo e da taxa penitenciária, salvo caso de insolvência comprovada.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art719_cpt
"PAR","decreto_lei_3689_19411003, Art. 719., Parágrafo único.",5497,5498,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] O juiz poderá fixar o prazo para o pagamento integral ou em prestações, tendo em consideração as condições econômicas ou profissionais do liberado.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art719_par1u
"CPT","decreto_lei_3689_19411003, Art. 720., caput",5501,5502,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] A forma de pagamento da multa, ainda não paga pelo liberando, será determinada de acordo com o disposto no art. 688.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art720_cpt
"CPT","decreto_lei_3689_19411003, Art. 721., caput",5505,5506,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Reformada a sentença denegatória do livramento, os autos baixarão ao juiz da primeira instância, a fim de que determine as condições que devam ser impostas ao liberando.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art721_cpt
"CPT","decreto_lei_3689_19411003, Art. 722., caput",5509,5510,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Concedido o livramento, será expedida carta de guia, com a cópia integral da sentença em duas vias, remetendo-se uma ao diretor do estabelecimento penal e outra ao presidente do Conselho Penitenciário.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art722_cpt
"CPT","decreto_lei_3689_19411003, Art. 723., caput",5513,5520,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] A cerimônia do livramento condicional será realizada solenemente, em dia marcado pela autoridade que deva presidi-la, observando-se o seguinte: a sentença será lida ao liberando, na presença dos demais presos, salvo motivo relevante, pelo presidente do Conselho Penitenciário, ou pelo seu representante junto ao estabelecimento penal, ou, na falta, pela autoridade judiciária local; o diretor do estabelecimento penal chamará a atenção do liberando para as condições impostas na sentença de livramento; o preso declarará se aceita as condições.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art723_cpt
"PAR","decreto_lei_3689_19411003, Art. 723., § 1º",5521,5522,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] De tudo, em livro próprio, se lavrará termo, subscrito por quem presidir a cerimônia, e pelo liberando, ou alguém a seu rogo, se não souber ou não puder escrever.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art723_par1
"PAR","decreto_lei_3689_19411003, Art. 723., § 2º",5523,5524,"[ Código de Processo Penal. | DA EXECUÇÃO | DOS INCIDENTES DA EXECUÇÃO | DO LIVRAMENTO CONDICIONAL | ] Desse termo, se remeterá cópia ao juiz do processo.",urn:lex:br:federal:decreto.lei:1941-10-03;3689!art723_par2
