Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anatel_740_2020, Art. 1º, caput",2,3,"[ Aprova o Regulamento de Segurança Cibernética Aplicada ao Setor de Telecomunicações. | ] Aprovar, na forma do Anexo, o Regulamento de Segurança Cibernética Aplicada ao Setor de Telecomunicações.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2020-12-21;740!art1_cpt
"CPT","res_anatel_740_2020, Art. 2º, caput",6,7,"[ Aprova o Regulamento de Segurança Cibernética Aplicada ao Setor de Telecomunicações. | ] Esta Resolução entra em vigor no dia 4 de janeiro de 2021. EMMANOEL CAMPELO DE SOUZA PEREIRA Presidente do Conselho, Substituto",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2020-12-21;740!art2_cpt
"ART","res_anatel_740_2020, Art. 1º",1,4,"[ Aprova o Regulamento de Segurança Cibernética Aplicada ao Setor de Telecomunicações. | ] Art. 1º Aprovar, na forma do Anexo, o Regulamento de Segurança Cibernética Aplicada ao Setor de Telecomunicações.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2020-12-21;740!art1
"ART","res_anatel_740_2020, Art. 2º",5,8,"[ Aprova o Regulamento de Segurança Cibernética Aplicada ao Setor de Telecomunicações. | ] Art. 2º Esta Resolução entra em vigor no dia 4 de janeiro de 2021. EMMANOEL CAMPELO DE SOUZA PEREIRA Presidente do Conselho, Substituto",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2020-12-21;740!art2
