Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anatel_765_2023.anexo1, Art. 1º, caput",4,5,"[ DAS DISPOSIÇÕES GERAIS | DOS OBJETIVOS E DA ABRANGÊNCIA | ] Este Regulamento tem por objetivo estabelecer regras sobre direitos do Consumidor do Serviço Telefônico Fixo Comutado – STFC, do Serviço Móvel Pessoal – SMP, do Serviço de Comunicação Multimídia – SCM e dos Serviços de Televisão por Assinatura.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art1_cpt
"PAR","res_anatel_765_2023.anexo1, Art. 1º, Parágrafo único.",6,7,"[ DAS DISPOSIÇÕES GERAIS | DOS OBJETIVOS E DA ABRANGÊNCIA | ] Para fins deste Regulamento, os Serviços de Televisão por Assinatura abrangem, além do Serviço de Acesso Condicionado – SeAC, o Serviço de TV a Cabo - TVC, o Serviço de Distribuição de Sinais Multiponto Multicanal - MMDS, o Serviço de Distribuição de Sinais de Televisão e de Áudio por Assinatura via Satélite - DTH e o Serviço Especial de Televisão por Assinatura - TVA.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art1_par1u
"CPT","res_anatel_765_2023.anexo1, Art. 2º, caput",10,11,"[ DAS DISPOSIÇÕES GERAIS | DOS OBJETIVOS E DA ABRANGÊNCIA | ] As obrigações previstas neste Regulamento não se aplicam a acessos destinados exclusivamente à conexão de dispositivos de Internet das Coisas – IoT.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art2_cpt
"PAR","res_anatel_765_2023.anexo1, Art. 2º, § 1º",12,13,"[ DAS DISPOSIÇÕES GERAIS | DOS OBJETIVOS E DA ABRANGÊNCIA | ] Para fins do disposto no caput, são considerados dispositivos de Internet das Coisas – IoT aqueles que permitem exclusivamente o oferecimento de serviços de valor adicionado baseados em suas capacidades de comunicação, sensoriamento, atuação, aquisição, armazenamento e/ou processamento de dados.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art2_par1
"PAR","res_anatel_765_2023.anexo1, Art. 2º, § 2º",14,15,"[ DAS DISPOSIÇÕES GERAIS | DOS OBJETIVOS E DA ABRANGÊNCIA | ] As Prestadoras sujeitas a este Regulamento deverão informar aos Consumidores as condições de uso do serviço em todos os documentos relacionados às Ofertas de acessos destinados exclusivamente à conexão de dispositivos de Internet das Coisas – IoT.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art2_par2
"CPT","res_anatel_765_2023.anexo1, Art. 4º, caput",22,67,"[ DOS DIREITOS E DEVERES DOS CONSUMIDORES | DOS DIREITOS DOS CONSUMIDORES | ] O Consumidor dos serviços cuja prestação está sujeita a este Regulamento tem direito, sem prejuízo do disposto na legislação aplicável: ao acesso e fruição dos serviços dentro dos padrões de qualidade e regularidade previstos na regulamentação, conforme as condições ofertadas e contratadas; à liberdade de escolha da Prestadora e da(s) Oferta(s); ao tratamento não discriminatório quanto às condições de acesso e fruição do serviço, desde que presentes as condições técnicas necessárias, observado o disposto na regulamentação vigente; ao acesso a informações claras, objetivas, suficientes, redigidas com linguagem simples e apresentadas de maneira a assegurar um processo decisório adequado a seus próprios interesses; ao prévio conhecimento e à informação adequada sobre as condições de contratação, prestação, canais de atendimento e suporte, formas de pagamento, Prazo de Permanência, Prazo de Vigência e extinção da Oferta, eventuais Serviços de Valor Adicionado, especialmente os preços cobrados, bem como a data e o índice aplicável, em caso de reajuste; ao conhecimento sobre medidas para o uso eficiente e adequado do serviço, especialmente em relação à gestão do uso dos dados contratados; à inviolabilidade e ao segredo de sua comunicação, respeitadas as hipóteses e condições constitucionais e legais de quebra de sigilo de telecomunicações, e as atividades de intermediação da comunicação das pessoas com deficiência, nos termos da regulamentação; à não suspensão do serviço sem sua solicitação, salvo na hipótese de descumprimento de deveres constantes do art. 6º, sempre após notificação prévia pela Prestadora; à privacidade nos documentos de cobrança e na utilização de seus dados pessoais pela Prestadora; à apresentação da cobrança pelos serviços prestados em formato adequado, inviolável, redigido de maneira clara, inteligível, ordenada, em padrão uniforme, respeitados o período de faturamento e a antecedência mínima previstos no caput e § 1º do art. 54; à resposta eficiente e tempestiva, pela Prestadora, às suas reclamações, solicitações de serviços e pedidos de informação; ao encaminhamento de reclamações ou representações contra a Prestadora, junto à Anatel ou aos organismos de defesa do consumidor; à reparação pelos danos causados pela violação de seus direitos; a ter restabelecida a prestação dos serviços, a partir da quitação do débito ou do acordo celebrado com a Prestadora; a não ser obrigado ou induzido a adquirir serviços, bens ou equipamentos que não sejam de seu interesse, bem como a não ser compelido a se submeter a qualquer condição para recebimento do serviço, salvo diante de questão de ordem técnica, nos termos da regulamentação; à rescisão do contrato de prestação de serviço, a qualquer tempo e sem ônus, sem prejuízo das condições aplicáveis às contratações com Prazo de Permanência; ao recebimento dos documentos da(s) Oferta(s) contratada(s) sem qualquer ônus e independentemente de solicitação; à transferência de titularidade de seu contrato de prestação de serviço, mediante cumprimento, pelo novo titular, dos requisitos necessários para a contratação inicial da(s) Oferta(s); ao não recebimento de mensagem de cunho publicitário ou com o objetivo de vender serviços ou produtos das Prestadoras de serviços de telecomunicações, salvo consentimento prévio, livre e expresso; a optar pelo não recebimento de chamadas publicitárias ou com o objetivo de vender serviços ou produtos das Prestadoras de serviços de telecomunicações; a não ser cobrado por qualquer valor alheio à Oferta contratada sem sua autorização prévia e expressa; e, a receber orientação quanto à correta destinação dos equipamentos necessários à utilização dos serviços de telecomunicações ao fim de sua vida útil e quanto aos riscos ambientais que representam.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art4_cpt
"CPT","res_anatel_765_2023.anexo1, Art. 5º, caput",70,79,"[ DOS DIREITOS E DEVERES DOS CONSUMIDORES | DOS DIREITOS DOS CONSUMIDORES | ] As interações entre Prestadoras e Consumidores, em quaisquer canais, deverão ser realizadas de maneira a garantir aos Consumidores: a liberdade, a autonomia e a independência necessárias à tomada de suas decisões de consumo; e, a não serem submetidos a: informações técnicas, operacionais, contratuais, comerciais ou de qualquer outra natureza que induzam ou dificultem decisões de consumo; e, práticas abusivas, em especial aquelas que se prevaleçam da fraqueza ou ignorância do Consumidor, tendo em vista sua idade, saúde, conhecimento ou condição social, para impingir-lhe a aquisição de produtos ou serviços.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art5_cpt
"CPT","res_anatel_765_2023.anexo1, Art. 6º, caput",84,107,"[ DOS DIREITOS E DEVERES DOS CONSUMIDORES | DOS DEVERES DOS CONSUMIDORES | ] São deveres dos Consumidores: utilizar adequadamente os serviços, equipamentos e redes de telecomunicações, zelando pela integridade dos equipamentos da Prestadora sob sua posse; respeitar os bens públicos e aqueles voltados à utilização do público em geral; comunicar às autoridades competentes irregularidades ocorridas e atos ilícitos cometidos por Prestadora de serviço de telecomunicações; cumprir as obrigações fixadas no contrato de prestação de serviço, em especial efetuar pontualmente o pagamento referente à sua fruição, observadas as disposições regulamentares; somente conectar à rede da Prestadora terminais que possuam certificação expedida ou aceita pela Anatel, mantendo-os dentro das especificações técnicas segundo as quais foram certificados; indenizar a Prestadora por todo e qualquer dano ou prejuízo a que der causa, por infringência de disposição legal, regulamentar ou contratual, independentemente de qualquer outra sanção, cabendo à Prestadora o ônus da prova; comunicar imediatamente à sua Prestadora: o roubo, furto ou extravio de terminal de acesso móvel ou outros equipamentos terminais necessários ao provimento do serviço contratado; a transferência de titularidade do Código de Acesso de Usuário ou do contrato de prestação de serviço; e/ou, qualquer alteração de suas informações cadastrais; e, no caso do STFC e do SCM, providenciar local adequado e infraestrutura necessários à correta instalação e funcionamento de equipamentos da Prestadora, quando for o caso.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art6_cpt
"CPT","res_anatel_765_2023.anexo1, Art. 7º, caput",114,115,"[ DO ATENDIMENTO | DOS PRINCÍPIOS GERAIS | ] O atendimento aos Consumidores é regido pelos princípios da acessibilidade, confiabilidade, transparência, clareza, segurança das informações, rastreabilidade e resolutividade das demandas, presteza, cortesia, eficácia, racionalização e melhoria contínua.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art7_cpt
"CPT","res_anatel_765_2023.anexo1, Art. 8º, caput",120,121,"[ DO ATENDIMENTO | DAS REGRAS DO ATENDIMENTO | ] Para fins de cumprimento deste Regulamento, caracterizam-se como atendimento as interações entre Prestadora e Consumidor, independentemente do originador da interação, nas formas de Atendimento Remoto e Presencial.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!anexo1!art8_cpt
