Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_12308_2024, Art. 1º, caput",2,3,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Fica instituído o Comitê Interministerial para a Transformação Digital – CITDigital, órgão colegiado de natureza consultiva, com a finalidade de assessorar o Presidente da República na elaboração, na implementação e no acompanhamento de políticas públicas destinadas à transformação digital.",urn:lex:br:federal:decreto:2024-12-11;12308!art1_cpt
"PAR","decreto_12308_2024, Art. 1º, Parágrafo único.",4,5,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] A Secretaria-Executiva do CITDigital será exercida pela Casa Civil da Presidência da República.",urn:lex:br:federal:decreto:2024-12-11;12308!art1_par1u
"CPT","decreto_12308_2024, Art. 2º, caput",8,19,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Compete ao CITDigital: submeter ao Presidente da República diretrizes e propostas para políticas públicas destinadas à transformação digital; apreciar as propostas e o planejamento de ações relacionadas à transformação digital a serem executadas pela administração pública federal, a fim de propor ao Presidente da República prioridades para os programas e os projetos que os integrem; informar o Presidente da República sobre o acompanhamento das ações de governo para a implementação da Estratégia Brasileira para a Transformação Digital – E-Digital; revisar as ações de governo para a implementação da E-Digital; e estabelecer a orientação do Governo nos assuntos e nas atividades relacionadas à transformação digital.",urn:lex:br:federal:decreto:2024-12-11;12308!art2_cpt
"CPT","decreto_12308_2024, Art. 3º, caput",22,31,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] A E-Digital consiste em um conjunto de recomendações estratégicas com vistas a orientar as iniciativas do Poder Executivo federal em transformação digital, com os objetivos de: ampliar o acesso a serviços públicos; promover os direitos do cidadão; fortalecer a democracia e a participação social; e garantir o desenvolvimento socioeconômico soberano, sustentável e inclusivo, com inovação e aumento da competitividade, da autonomia produtiva e tecnológica e dos níveis de emprego e de renda no País.",urn:lex:br:federal:decreto:2024-12-11;12308!art3_cpt
"CPT","decreto_12308_2024, Art. 4º, caput",34,43,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] O CITDigital é composto pelas seguintes instâncias: Plenário; Comitê Executivo; Câmaras Técnicas; e Conselho Consultivo para a Transformação Digital.",urn:lex:br:federal:decreto:2024-12-11;12308!art4_cpt
"CPT","decreto_12308_2024, Art. 5º, caput",46,63,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] O Plenário é composto pelos Ministros de Estado dos seguintes órgãos: Casa Civil, que o presidirá; Ministério da Ciência, Tecnologia e Inovação; Ministério das Comunicações; Ministério do Desenvolvimento, Indústria, Comércio e Serviços; Ministério da Fazenda; Ministério da Gestão e da Inovação em Serviços Públicos; Ministério da Justiça e Segurança Pública; e Secretaria de Comunicação Social da Presidência da República.",urn:lex:br:federal:decreto:2024-12-11;12308!art5_cpt
"PAR","decreto_12308_2024, Art. 5º, Parágrafo único.",64,65,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Os membros do Plenário serão representados, em suas ausências e seus impedimentos, por seus substitutos legais.",urn:lex:br:federal:decreto:2024-12-11;12308!art5_par1u
"CPT","decreto_12308_2024, Art. 6º, caput",68,69,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] O Plenário se reunirá, em caráter ordinário, semestralmente e, em caráter extraordinário, mediante convocação de seu Presidente.",urn:lex:br:federal:decreto:2024-12-11;12308!art6_cpt
"PAR","decreto_12308_2024, Art. 6º, § 1º",70,71,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] O quórum de reunião do Plenário é de maioria absoluta e o quórum de aprovação é de maioria simples.",urn:lex:br:federal:decreto:2024-12-11;12308!art6_par1
"PAR","decreto_12308_2024, Art. 6º, § 2º",72,73,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Na hipótese de empate, além do voto ordinário, o Presidente do Plenário terá o voto de qualidade.",urn:lex:br:federal:decreto:2024-12-11;12308!art6_par2
"PAR","decreto_12308_2024, Art. 6º, § 3º",74,75,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] O Presidente do Plenário poderá convidar representantes de outros órgãos e entidades, públicas e privadas, e da sociedade civil, quando da pauta constar assunto de sua área de atuação ou a critério de seu Presidente, para participar de suas reuniões, sem direito a voto.",urn:lex:br:federal:decreto:2024-12-11;12308!art6_par3
"CPT","decreto_12308_2024, Art. 7º, caput",78,93,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Compete ao Comitê Executivo do CITDigital: monitorar a implementação da E-Digital e submeter o resultado ao CITDigital; propor e planejar ações de governo para a transformação digital e indicar prioridades; promover o alinhamento do Poder Executivo federal, de modo a contribuir com a elaboração das posições brasileiras em negociações internacionais sobre a matéria; prestar contas anuais dos seus trabalhos ao CITDigital; instituir grupos de trabalho e estabelecer prazo determinado de seu funcionamento, sua composição e seus objetivos específicos; instituir novas câmaras técnicas e estabelecer seus temas de acompanhamento, sua coordenação e sua composição; e promover estudos, elaborar manifestações e propor ao Plenário medidas relativas aos assuntos e às atividades relacionadas à transformação digital.",urn:lex:br:federal:decreto:2024-12-11;12308!art7_cpt
"CPT","decreto_12308_2024, Art. 8º, caput",96,97,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] O Comitê Executivo será composto por um representante titular e o respectivo suplente dos órgãos de que trata o art. 5º.",urn:lex:br:federal:decreto:2024-12-11;12308!art8_cpt
"PAR","decreto_12308_2024, Art. 8º, § 1º",98,99,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] A coordenação do Comitê Executivo será exercida pela Casa Civil.",urn:lex:br:federal:decreto:2024-12-11;12308!art8_par1
"PAR","decreto_12308_2024, Art. 8º, § 2º",100,101,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Os membros do Comitê Executivo serão indicados pelos titulares dos órgãos que representam e deverão ser ocupantes de Função Comissionada Executiva – FCE ou Cargo Comissionado Executivo – CCE de nível 17 ou superior, e os respectivos suplentes deverão ser ocupantes de FCE ou CCE de nível 15 ou superior.",urn:lex:br:federal:decreto:2024-12-11;12308!art8_par2
"PAR","decreto_12308_2024, Art. 8º, § 3º",102,103,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Os membros do Comitê Executivo e os respectivos suplentes serão designados em ato do Ministro de Estado da Casa Civil.",urn:lex:br:federal:decreto:2024-12-11;12308!art8_par3
"CPT","decreto_12308_2024, Art. 9º, caput",106,113,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] São Câmaras Técnicas do CITDigital: Transformação Digital do Estado, coordenada pelo Ministério da Gestão e da Inovação em Serviços Públicos; Economia Digital, coordenada pelo Ministério do Desenvolvimento, Indústria, Comércio e Serviços; e Cidadania Digital e Democracia, coordenada pela Casa Civil.",urn:lex:br:federal:decreto:2024-12-11;12308!art9_cpt
"PAR","decreto_12308_2024, Art. 9º, Parágrafo único.",114,115,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] A composição das Câmaras Técnicas será estabelecida em ato do Coordenador do Comitê Executivo.",urn:lex:br:federal:decreto:2024-12-11;12308!art9_par1u
"CPT","decreto_12308_2024, Art. 10., caput",118,119,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] O Conselho Consultivo para a Transformação Digital será composto por especialistas e representantes com notório saber da comunidade científica, da sociedade civil e do setor produtivo.",urn:lex:br:federal:decreto:2024-12-11;12308!art10_cpt
"PAR","decreto_12308_2024, Art. 10., Parágrafo único.",120,121,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] A composição do Conselho Consultivo será estabelecida em ato do Coordenador do Comitê Executivo.",urn:lex:br:federal:decreto:2024-12-11;12308!art10_par1u
"CPT","decreto_12308_2024, Art. 11., caput",124,125,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Compete ao Conselho Consultivo assessorar o Plenário e o Comitê Executivo do CITDigital.",urn:lex:br:federal:decreto:2024-12-11;12308!art11_cpt
"CPT","decreto_12308_2024, Art. 12., caput",128,129,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] A participação no CITDigital será considerada prestação de serviço público relevante, não remunerada.",urn:lex:br:federal:decreto:2024-12-11;12308!art12_cpt
"CPT","decreto_12308_2024, Art. 13., caput",132,133,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] A E-Digital, aprovada pela Portaria nº 6.543, de 16 de novembro de 2022, do Ministério da Ciência, Tecnologia e Inovação, permanece válida até a sua próxima revisão.",urn:lex:br:federal:decreto:2024-12-11;12308!art13_cpt
"CPT","decreto_12308_2024, Art. 14., caput",136,147,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Ficam revogados: o Decreto nº 9.319, de 21 de março de 2018; o Decreto nº 9.804, de 23 de maio de 2019; o art. 9º do Decreto nº 10.332, de 28 de abril de 2020; o Decreto nº 10.782, de 30 de agosto de 2021; e o art. 22 do Decreto nº 12.069, de 21 de junho de 2024.",urn:lex:br:federal:decreto:2024-12-11;12308!art14_cpt
"CPT","decreto_12308_2024, Art. 15., caput",150,151,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Este Decreto entra em vigor na data de sua publicação.",urn:lex:br:federal:decreto:2024-12-11;12308!art15_cpt
"ART","decreto_12308_2024, Art. 1º",1,6,"[ Institui o Comitê Interministerial para a Transformação Digital. | ] Art. 1º Fica instituído o Comitê Interministerial para a Transformação Digital – CITDigital, órgão colegiado de natureza consultiva, com a finalidade de assessorar o Presidente da República na elaboração, na implementação e no acompanhamento de políticas públicas destinadas à transformação digital. Parágrafo único. A Secretaria-Executiva do CITDigital será exercida pela Casa Civil da Presidência da República.",urn:lex:br:federal:decreto:2024-12-11;12308!art1
