Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9294_19960715, Art. 1º, caput",2,3,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] O uso e a propaganda de produtos Fumígenos, derivados ou não do tabaco, de bebidas alcoólicas, de medicamentos e terapias e de defensivos agrícolas estão sujeitos às restrições e condições estabelecidas por esta Lei, nos termos do § 4º do art. 220 da Constituição Federal.",urn:lex:br:federal:lei:1996-07-15;9294!art1_cpt
"PAR","lei_9294_19960715, Art. 1º, Parágrafo único.",4,5,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] Consideram-se bebidas alcoólicas, para efeitos desta Lei, as bebidas potáveis com teor alcóolico superior a treze graus Gay Lussac.",urn:lex:br:federal:lei:1996-07-15;9294!art1_par1u
"CPT","lei_9294_19960715, Art. 2º, caput",8,9,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] É proibido o uso de cigarros, cigarrilhas, charutos, cachimbos ou qualquer outro produto fumígeno, derivado ou não do tabaco, em recinto coletivo fechado, privado ou público. (“Caput” do artigo com redação dada pela Lei nº 12.546, de 14.12.2011)",urn:lex:br:federal:lei:1996-07-15;9294!art2_cpt
"PAR","lei_9294_19960715, Art. 2º, § 1º",10,11,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] Incluem-se nas disposições deste artigo as repartições públicas, os hospitais e postos de saúde, as salas de aula, as bibliotecas, os recintos de trabalho coletivo e as salas de teatro e cinema.",urn:lex:br:federal:lei:1996-07-15;9294!art2_par1
"PAR","lei_9294_19960715, Art. 2º, § 2º",12,13,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] É vedado o uso dos produtos mencionados no caput nas aeronaves e veículos de transporte coletivo. (Parágrafo com redação dada pela Medida Provisória nº 2.190-34, de 23.8.2001)",urn:lex:br:federal:lei:1996-07-15;9294!art2_par2
"PAR","lei_9294_19960715, Art. 2º, § 3º",14,15,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] Considera-se recinto coletivo o local fechado, de acesso público, destinado a permanente utilização simultânea por várias pessoas. (Parágrafo acrescido pela Lei nº 12.546, de 14.12.2011)",urn:lex:br:federal:lei:1996-07-15;9294!art2_par3
"CPT","lei_9294_19960715, Art. 3º, caput",18,19,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] É vedada, em todo o território nacional, a propaganda comercial de cigarros, cigarrilhas, charutos, cachimbos ou qualquer outro produto fumígeno, derivado ou não do tabaco, com exceção apenas da exposição dos referidos produtos nos locais de vendas, desde que acompanhada das cláusulas de advertência a que se referem os §§ 2º, 3º e 4º deste artigo e da respectiva tabela de preços, que deve incluir o preço mínimo de venda no varejo de cigarros classificados no código 2402.20.00 da Tipi, vigente à época, conforme estabelecido pelo Poder Executivo. (“Caput” do artigo com redação dada pela Lei nº 12.546, de 14.12.2011)",urn:lex:br:federal:lei:1996-07-15;9294!art3_cpt
"PAR","lei_9294_19960715, Art. 3º, § 1º",20,33,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] A propaganda comercial dos produtos referidos neste artigo deverá ajustar-se aos seguintes princípios: não sugerir o consumo exagerado ou irresponsável, nem a indução ao bem-estar ou saúde, ou fazer associação a celebrações cívicas ou religiosas; não induzir as pessoas ao consumo, atribuindo aos produtos propriedades calmantes ou estimulantes, que reduzam a fadiga, ou a tensão, ou qualquer efeito similar; não associar idéias ou imagens de maior êxito na sexualidade das pessoas, insinuando o aumento de virilidade ou feminilidade de pessoas fumantes; não associar o uso do produto à prática de atividades esportivas, olímpicas ou não, nem sugerir ou induzir seu consumo em locais ou situações perigosas, abusivas ou ilegais; (Inciso com redação dada pela Lei nº 10.167, de 27.12.2000) não empregar imperativos que induzam diretamente ao consumo; não incluir a participação de crianças ou adolescentes. (Inciso com redação dada pela Lei nº 10.167, de 27.12.2000)",urn:lex:br:federal:lei:1996-07-15;9294!art3_par1
"PAR","lei_9294_19960715, Art. 3º, § 2º",34,35,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] A propaganda conterá, nos meios de comunicação e em função de suas características, advertência, sempre que possível falada e escrita, sobre os malefícios do fumo, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas, segundo frases estabelecidas pelo Ministério da Saúde, usadas seqüencialmente, de forma simultânea ou rotativa. (Parágrafo com redação dada pela Medida Provisória nº 2.190-34, de 23.8.2001)",urn:lex:br:federal:lei:1996-07-15;9294!art3_par2
"PAR","lei_9294_19960715, Art. 3º, § 3º",36,37,"[ Dispõe sobre as Restrições ao Uso e à Propaganda de Produtos Fumígeros, Bebidas Alcoólicas, Medicamentos, Terapias e Defensivos Agrícolas, nos Termos do § 4º do art. 220 da Constituição Federal. | ] As embalagens e os maços de produtos fumígenos, com exceção dos destinados à exportação, e o material de propaganda referido no caput deste artigo conterão a advertência mencionada no § 2º acompanhada de imagens ou figuras que ilustrem o sentido da mensagem. (Parágrafo com redação dada pela Medida Provisória nº 2.190-34, de 23.8.2001)",urn:lex:br:federal:lei:1996-07-15;9294!art3_par3
