Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"PAR","decreto_lei_2848_19401207, Art. 7º, § 2º",56,67,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Nos casos do inciso II, a aplicação da lei brasileira depende do concurso das seguintes condições: entrar o agente no território nacional; ser o fato punível também no país em que foi praticado; estar o crime incluído entre aqueles pelos quais a lei brasileira autoriza a extradição; não ter sido o agente absolvido no estrangeiro ou não ter aí cumprido a pena; não ter sido o agente perdoado no estrangeiro ou, por outro motivo, não estar extinta a punibilidade, segundo a lei mais favorável.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_par2
"PAR","decreto_lei_2848_19401207, Art. 7º, § 3º",68,73,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] A lei brasileira aplica-se também ao crime cometido por estrangeiro contra brasileiro fora do Brasil, se, reunidas as condições previstas no parágrafo anterior: não foi pedida ou foi negada a extradição; houve requisição do Ministro da Justiça. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_par3
"CPT","decreto_lei_2848_19401207, Art. 8º, caput",76,77,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] A pena cumprida no estrangeiro atenua a pena imposta no Brasil pelo mesmo crime, quando diversas, ou nela é computada, quando idênticas. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art8_cpt
"CPT","decreto_lei_2848_19401207, Art. 9º, caput",80,85,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] A sentença estrangeira, quando a aplicação da lei brasileira produz na espécie as mesmas conseqüências, pode ser homologada no Brasil para: obrigar o condenado à reparação do dano, a restituições e a outros efeitos civis; sujeitá-lo à medida de segurança.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art9_cpt
"PAR","decreto_lei_2848_19401207, Art. 9º, Parágrafo único.",86,91,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] A homologação depende: para os efeitos previstos no inciso I, de pedido da parte interessada; para os outros efeitos, da existência de tratado de extradição com o país de cuja autoridade judiciária emanou a sentença, ou, na falta de tratado, de requisição do Ministro da Justiça. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art9_par1u
"CPT","decreto_lei_2848_19401207, Art. 10., caput",94,95,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] O dia do começo inclui-se no cômputo do prazo. Contam-se os dias, os meses e os anos pelo calendário comum. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art10_cpt
"CPT","decreto_lei_2848_19401207, Art. 11., caput",98,99,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Desprezam-se, nas penas privativas de liberdade e nas restritivas de direitos, as frações de dia, e, na pena de multa, as frações de cruzeiro. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art11_cpt
"CPT","decreto_lei_2848_19401207, Art. 12., caput",102,103,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] As regras gerais deste Código aplicam-se aos fatos incriminados por lei especial, se esta não dispuser de modo diverso. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art12_cpt
"CPT","decreto_lei_2848_19401207, Art. 13., caput",108,109,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] O resultado, de que depende a existência do crime, somente é imputável a quem lhe deu causa. Considera-se causa a ação ou omissão sem a qual o resultado não teria ocorrido.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art13_cpt
"PAR","decreto_lei_2848_19401207, Art. 13., § 1º",110,111,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DO CRIME Relação de causalidade | ] A superveniência de causa relativamente independente exclui a imputação quando, por si só, produziu o resultado; os fatos anteriores, entretanto, imputam-se a quem os praticou.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art13_par1
