Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9394_19961220, Art. 1º, caput",3,4,"[ Estabelece as diretrizes e bases da educação nacional. | DA EDUCAÇÃO | ] A educação abrange os processos formativos que se desenvolvem na vida familiar, na convivência humana, no trabalho, nas instituições de ensino e pesquisa, nos movimentos sociais e organizações da sociedade civil e nas manifestações culturais.",urn:lex:br:federal:lei:1996-12-20;9394!art1_cpt
"PAR","lei_9394_19961220, Art. 1º, § 1º",5,6,"[ Estabelece as diretrizes e bases da educação nacional. | DA EDUCAÇÃO | ] Esta Lei disciplina a educação escolar, que se desenvolve, predominantemente, por meio do ensino, em instituições próprias.",urn:lex:br:federal:lei:1996-12-20;9394!art1_par1
"PAR","lei_9394_19961220, Art. 1º, § 2º",7,8,"[ Estabelece as diretrizes e bases da educação nacional. | DA EDUCAÇÃO | ] A educação escolar deverá vincular-se ao mundo do trabalho e a prática social.",urn:lex:br:federal:lei:1996-12-20;9394!art1_par2
"CPT","lei_9394_19961220, Art. 2º, caput",13,14,"[ Estabelece as diretrizes e bases da educação nacional. | DOS PRINCÍPIOS E FINS DA EDUCAÇÃO NACIONAL | ] A educação, dever da família e do Estado, inspirada nos princípios de liberdade e nos ideais de solidariedade humana, tem por finalidade o pleno desenvolvimento do educando, seu preparo para o exercício da cidadania e sua qualificação para o trabalho.",urn:lex:br:federal:lei:1996-12-20;9394!art2_cpt
"CPT","lei_9394_19961220, Art. 3º, caput",17,48,"[ Estabelece as diretrizes e bases da educação nacional. | DOS PRINCÍPIOS E FINS DA EDUCAÇÃO NACIONAL | ] O ensino será ministrado com base nos seguintes princípios: igualdade de condições para o acesso e permanência na escola; liberdade de aprender, ensinar, pesquisar e divulgar a cultura, o pensamento, a arte e o saber; pluralismo de idéias e de concepções pedagógicas; respeito à liberdade e apreço à tolerância; coexistência de instituições públicas e privadas de ensino; gratuidade do ensino público em estabelecimentos oficiais; valorização do profissional da educação escolar; gestão democrática do ensino público, na forma desta Lei e da legislação dos respectivos Estados e Municípios e do Distrito Federal; (Inciso com redação dada pela Lei nº 14.644, de 2.8.2023) garantia de padrão de qualidade; valorização da experiência extra-escolar; vinculação entre a educação escolar, o trabalho e as práticas sociais; consideração com a diversidade étnico-racial; (Inciso acrescido pela Lei nº 12.796, de 4.4.2013) garantia do direito à educação e à aprendizagem ao longo da vida; (Inciso acrescido pela Lei nº 13.632, de 6.3.2018) respeito à diversidade humana, linguística, cultural e identitária das pessoas surdas, surdo-cegas e com deficiência auditiva; (Inciso acrescido pela Lei nº 14.191, de 3.8.2021) garantia do direito de acesso a informações públicas sobre a gestão da educação. (Inciso acrescido pela Lei nº 15.001, de 16.10.2024)",urn:lex:br:federal:lei:1996-12-20;9394!art3_cpt
"CPT","lei_9394_19961220, Art. 4º, caput",53,86,"[ Estabelece as diretrizes e bases da educação nacional. | DO DIREITO À EDUCAÇÃO E DO DEVER DE EDUCAR | ] O dever do Estado com educação escolar pública será efetivado mediante a garantia de: educação básica obrigatória e gratuita dos 4 (quatro) aos 17 (dezessete) anos de idade, organizada da seguinte forma: (“Caput” do inciso com redação dada pela Lei nº 12.796, de 4.4.2013) pré-escola; (Alínea acrescida pela Lei nº 12.796, de 4.4.2013) ensino fundamental; (Alínea acrescida pela Lei nº 12.796, de 4.4.2013) ensino médio; (Alínea acrescida pela Lei nº 12.796, de 4.4.2013) educação infantil gratuita às crianças de até 5 (cinco) anos de idade; (Inciso com redação dada pela Lei nº 12.796, de 4.4.2013) atendimento educacional especializado gratuito aos educandos com deficiência, transtornos globais do desenvolvimento e altas habilidades ou superdotação, transversal a todos os níveis, etapas e modalidades, preferencialmente na rede regular de ensino; (Inciso com redação dada pela Lei nº 12.796, de 4.4.2013) acesso público e gratuito aos ensinos fundamental e médio para todos os que não os concluíram na idade própria; (Inciso com redação dada pela Lei nº 12.796, de 4.4.2013) acesso aos níveis mais elevados do ensino, da pesquisa e da criação artística, segundo a capacidade de cada um; oferta de ensino noturno regular, adequado às condições do educando; oferta de educação escolar regular para jovens e adultos, com características e modalidades adequadas às suas necessidades e disponibilidades, garantindo-se aos que forem trabalhadores as condições de acesso e permanência na escola; atendimento ao educando, em todas as etapas da educação básica, por meio de programas suplementares de material didático-escolar, transporte, alimentação e assistência à saúde; (Inciso com redação dada pela Lei nº 12.796, de 4.4.2013) padrões mínimos de qualidade do ensino, definidos como a variedade e a quantidade mínimas, por aluno, de insumos indispensáveis ao desenvolvimento do processo de ensino-aprendizagem adequados à idade e às necessidades específicas de cada estudante, inclusive mediante a provisão de mobiliário, equipamentos e materiais pedagógicos apropriados; (Inciso com redação dada pela Lei nº 14.333, de 4.5.2022) vaga na escola pública de educação infantil ou de ensino fundamental mais próxima de sua residência a toda criança a partir do dia em que completar 4 (quatro) anos de idade. (Inciso acrescido pela Lei nº 11.700, de 13.6.2008, publicada no DOU de 16.6.2008, em vigor em 1º de janeiro do ano subsequente ao de sua publicação) alfabetização plena e capacitação gradual para a leitura ao longo da educação básica como requisitos indispensáveis para a efetivação dos direitos e objetivos de aprendizagem e para o desenvolvimento dos indivíduos. (Inciso acrescido pela Lei nº 14.407, de 12.7.2022) educação digital, com a garantia de conectividade de todas as instituições públicas de educação básica e superior à internet em alta velocidade, adequada para o uso pedagógico, com o desenvolvimento de competências voltadas ao letramento digital de jovens e adultos, criação de conteúdos digitais, comunicação e colaboração, segurança e resolução de problemas. (Inciso acrescido pela Lei nº 14.533, de 11.1.2023) água potável e infraestrutura física e sanitária adequadas no ambiente escolar. (Inciso acrescido pela Lei nº 15.276, de 28.11.2025)",urn:lex:br:federal:lei:1996-12-20;9394!art4_cpt
"PAR","lei_9394_19961220, Art. 4º, Parágrafo único.",87,88,"[ Estabelece as diretrizes e bases da educação nacional. | DO DIREITO À EDUCAÇÃO E DO DEVER DE EDUCAR | ] Para efeitos do disposto no inciso XII do caput deste artigo, as relações entre o ensino e a aprendizagem digital deverão prever técnicas, ferramentas e recursos digitais que fortaleçam os papéis de docência e aprendizagem do professor e do aluno e que criem espaços coletivos de mútuo desenvolvimento. (Parágrafo único acrescido pela Lei nº 14.533, de 11.1.2023)",urn:lex:br:federal:lei:1996-12-20;9394!art4_par1u
"CPT","lei_9394_19961220, Art. 4º-A., caput",91,92,"[ Estabelece as diretrizes e bases da educação nacional. | DO DIREITO À EDUCAÇÃO E DO DEVER DE EDUCAR | ] É assegurado atendimento educacional, durante o período de internação, ao aluno da educação básica internado para tratamento de saúde em regime hospitalar ou domiciliar por tempo prolongado, conforme dispuser o Poder Público em regulamento, na esfera de sua competência federativa. (Artigo acrescido pela Lei nº 13.716, de 24.9.2018)",urn:lex:br:federal:lei:1996-12-20;9394!art4-1_cpt
"CPT","lei_9394_19961220, Art. 5º, caput",95,96,"[ Estabelece as diretrizes e bases da educação nacional. | DO DIREITO À EDUCAÇÃO E DO DEVER DE EDUCAR | ] O acesso à educação básica obrigatória é direito público subjetivo, podendo qualquer cidadão, grupo de cidadãos, associação comunitária, organização sindical, entidade de classe ou outra legalmente constituída e, ainda, o Ministério Público, acionar o poder público para exigi-lo. (“Caput” do artigo com redação dada pela Lei nº 12.796, de 4.4.2013)",urn:lex:br:federal:lei:1996-12-20;9394!art5_cpt
"PAR","lei_9394_19961220, Art. 5º, § 1º",97,108,"[ Estabelece as diretrizes e bases da educação nacional. | DO DIREITO À EDUCAÇÃO E DO DEVER DE EDUCAR | ] O poder público, na esfera de sua competência federativa, deverá: (Parágrafo com redação dada pela Lei nº 12.796, de 4.4.2013) recensear anualmente as crianças e adolescentes em idade escolar, bem como os jovens e adultos que não concluíram a educação básica; (Inciso com redação dada pela Lei nº 12.796, de 4.4.2013) fazer-lhes a chamada pública; zelar, junto aos pais ou responsáveis, pela frequência a escola; divulgar a lista de espera por vagas nos estabelecimentos de educação básica de sua rede, inclusive creches, por ordem de colocação e, sempre que possível, por unidade escolar, bem como divulgar os critérios para a elaboração da lista; (Inciso acrescido pela Lei nº 14.685, de 20.9.2023) garantir aos pais, aos responsáveis e aos estudantes acesso aos resultados das avaliações de qualidade e de rendimento escolar nas instituições de ensino, diretamente realizadas por ele ou em parceria com organizações internacionais. (Inciso acrescido pela Lei nº 15.001, de 16.10.2024)",urn:lex:br:federal:lei:1996-12-20;9394!art5_par1
