Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_10052_20001128, Art. 1º, caput",2,3,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] É instituído o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, de natureza contábil, com o objetivo de estimular o processo de inovação tecnológica, incentivar a capacitação de recursos humanos, fomentar a geração de empregos e promover o acesso de pequenas e médias empresas a recursos de capital, de modo a ampliar a competitividade da indústria brasileira de telecomunicações, nos termos do art. 77 da Lei nº 9.472, de 16 de julho de 1997.",urn:lex:br:federal:lei:2000-11-28;10052!art1_cpt
"CPT","lei_10052_20001128, Art. 2º, caput",6,7,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] O Fundo para o Desenvolvimento Tecnológico das Telecomunicações será administrado por um Conselho Gestor e terá como agentes financeiros o Banco Nacional de Desenvolvimento Econômico e Social - BNDES e a Empresa Financiadora de Estudos e Projetos - Finep.",urn:lex:br:federal:lei:2000-11-28;10052!art2_cpt
"PAR","lei_10052_20001128, Art. 2º, § 1º",8,21,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] O Conselho Gestor será constituído pelos seguintes membros: um representante do Ministério das Comunicações; um representante do Ministério da Ciência e Tecnologia; um representante do Ministério do Desenvolvimento, Indústria e Comércio Exterior; um representante da Agência Nacional de Telecomunicações - Anatel; um representante do Banco Nacional de Desenvolvimento Econômico e Social - BNDES; um representante da Empresa Financiadora de Estudos e Projetos - Finep.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par1
"PAR","lei_10052_20001128, Art. 2º, § 2º",22,23,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] Cabe ao Poder Executivo nomear os membros do Conselho Gestor do Funttel, devendo a primeira investidura ocorrer no prazo de até noventa dias a partir da publicação desta Lei.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par2
"PAR","lei_10052_20001128, Art. 2º, § 3º",24,25,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] O Conselho Gestor será presidido pelo representante do Ministério das Comunicações e decidirá por maioria absoluta.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par3
"PAR","lei_10052_20001128, Art. 2º, § 4º",26,27,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] O mandato e a forma de investidura dos conselheiros serão definidos em regulamento.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par4
"PAR","lei_10052_20001128, Art. 2º, § 5º",28,29,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] Os agentes financeiros prestarão contas da execução orçamentária e financeira do Fundo ao Conselho Gestor.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par5
"PAR","lei_10052_20001128, Art. 2º, § 6º",30,31,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] Será definida na regulamentação a forma de repasse dos recursos pelos agentes financeiros para a execução dos projetos aprovados.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par6
"PAR","lei_10052_20001128, Art. 2º, § 7º",32,33,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] Os membros do Conselho Gestor não serão remunerados pela atividade exercida no Conselho.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par7
"PAR","lei_10052_20001128, Art. 2º, § 8º",34,35,"[ Institui o Fundo para o Desenvolvimento Tecnológico das Telecomunicações - Funttel, e dá outras providências. | ] O Ministério das Comunicações prestará ao Conselho todo o apoio técnico, administrativo e financeiro.",urn:lex:br:federal:lei:2000-11-28;10052!art2_par8
