Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9998_20000817, Art. 1º, caput",2,3,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] É instituído o Fundo de Universalização dos Serviços de Telecomunicações (Fust), com as finalidades de estimular a expansão, o uso e a melhoria da qualidade das redes e dos serviços de telecomunicações, reduzir as desigualdades regionais e estimular o uso e o desenvolvimento de novas tecnologias de conectividade para promoção do desenvolvimento econômico e social. (“Caput” do artigo com redação dada pela Lei nº 14.109, de 16.12.2020)",urn:lex:br:federal:lei:2000-08-17;9998!art1_cpt
"PAR","lei_9998_20000817, Art. 1º, § 1º",4,11,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] Os recursos do Fust serão destinados a cobrir, no todo ou em parte, investimentos e custos de: (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020, vetado pelo Presidente da República, mantido pelo Congresso Nacional e publicado na Edição Extra D do DOU de 26.3.2021, e com nova redação dada pela Lei nº 14.173, de 15.6.2021) programas, projetos, planos, atividades, iniciativas e ações para serviços de telecomunicações; (Inciso acrescido pela Lei nº 14.109, de 16.12.2020, vetado pelo Presidente da República, mantido pelo Congresso Nacional e publicado na Edição Extra D do DOU de 26.3.2021) políticas para inovação tecnológica de serviços de telecomunicações no meio rural, coordenadas pela Agência Nacional de Assistência Técnica e Extensão Rural (Anater), prevista na Lei nº 12.897, de 18 de dezembro de 2013; (Inciso acrescido pela Lei nº 14.109, de 16.12.2020, vetado pelo Presidente da República, mantido pelo Congresso Nacional e publicado na Edição Extra D do DOU de 26.3.2021) programas, projetos e atividades governamentais voltados a ampliar o acesso da sociedade a serviços de telecomunicações prestados em regime público ou privado e suas utilidades. (Inciso acrescido pela Lei nº 14.109, de 16.12.2020, vetado pelo Presidente da República, mantido pelo Congresso Nacional e publicado na Edição Extra D do DOU de 26.3.2021)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par1
"PAR","lei_9998_20000817, Art. 1º, § 2º",12,13,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] Na aplicação dos recursos do Fust será obrigatório dotar todas as escolas públicas brasileiras, em especial as situadas fora da zona urbana, de acesso à internet em banda larga, em velocidades adequadas, até 2024. (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020, vetado pelo Presidente da República, mantido pelo Congresso Nacional e publicado na Edição Extra D do DOU de 26.3.2021)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par2
"PAR","lei_9998_20000817, Art. 1º, § 3º",14,21,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] Os recursos do Fust serão aplicados nas modalidades de: apoio não reembolsável; apoio reembolsável; garantia. (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par3
"PAR","lei_9998_20000817, Art. 1º, § 4º",22,23,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020, e revogado pela Lei nº 14.173, de 15.6.2021)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par4
"PAR","lei_9998_20000817, Art. 1º, § 5º",24,25,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] Os investimentos nos programas, projetos, planos, atividades, iniciativas e ações referidos no inciso I do § 1º deste artigo poderão ser executados pela iniciativa privada, por cooperativas ou, de forma descentralizada, por estabelecimentos públicos de ensino, bem como por escolas sem fins lucrativos que atendam a pessoas com deficiência, mediante instrumentos firmados entre a União e órgãos ou entidades públicas ou privadas sem fins lucrativos, na forma da lei. (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par5
"PAR","lei_9998_20000817, Art. 1º, § 6º",26,27,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] As despesas operacionais de planejamento, prospecção, análise e estruturação de operações, contratação, aplicação de recursos, acompanhamento de operações contratadas, avaliação de operações e divulgação de resultados necessárias à implantação e manutenção das atividades do Fust não poderão ultrapassar o montante correspondente a 5% (cinco por cento) dos recursos arrecadados anualmente. (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par6
"PAR","lei_9998_20000817, Art. 1º, § 7º",28,29,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] Para efeito do cálculo das receitas no exercício, serão consideradas as aplicações efetuadas na forma do art. 6º-A desta Lei. (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020, vetado pelo Presidente da República, mantido pelo Congresso Nacional e publicado na Edição Extra D do DOU de 26.3.2021)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par7
"PAR","lei_9998_20000817, Art. 1º, § 8º",30,31,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] Nos processos de seleção dos programas, projetos e atividades em que serão aplicados recursos do Fust, serão privilegiadas as iniciativas que envolvam, em um mesmo programa, projeto ou atividade, o Poder Público, a iniciativa privada, cooperativas, organizações da sociedade civil e estabelecimentos públicos de ensino, bem como escolas sem fins lucrativos que atendam a pessoas com deficiência. (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par8
"PAR","lei_9998_20000817, Art. 1º, § 9º",32,33,"[ Institui o Fundo de Universalização dos Serviços de Telecomunicações. | ] A utilização dos recursos do Fust na modalidade prevista no inciso I do § 3º deste artigo será limitada a 50% (cinquenta por cento) das receitas no exercício. (Parágrafo acrescido pela Lei nº 14.109, de 16.12.2020, vetado pelo Presidente da República, mantido pelo Congresso Nacional e publicado na Edição Extra D do DOU de 26.3.2021)",urn:lex:br:federal:lei:2000-08-17;9998!art1_par9
