Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_12232_20100429, Art. 1º, caput",3,4,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Esta Lei estabelece normas gerais sobre licitações e contratações pela administração pública de serviços de publicidade prestados necessariamente por intermédio de agências de propaganda, no âmbito da União, dos Estados, do Distrito Federal e dos Municípios.",urn:lex:br:federal:lei:2010-04-29;12232!art1_cpt
"PAR","lei_12232_20100429, Art. 1º, § 1º",5,6,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Subordinam-se ao disposto nesta Lei os órgãos do Poder Executivo, Legislativo e Judiciário, as pessoas da administração indireta e todas as entidades controladas direta ou indiretamente pelos entes referidos no caput deste artigo.",urn:lex:br:federal:lei:2010-04-29;12232!art1_par1
"PAR","lei_12232_20100429, Art. 1º, § 2º",7,8,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] As Leis nºs 4.680, de 18 de junho de 1965, e 8.666, de 21 de junho de 1993, serão aplicadas aos procedimentos licitatórios e aos contratos regidos por esta Lei, de forma complementar.",urn:lex:br:federal:lei:2010-04-29;12232!art1_par2
"CPT","lei_12232_20100429, Art. 2º, caput",11,12,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Para fins desta Lei, considera-se serviços de publicidade o conjunto de atividades realizadas integradamente que tenham por objetivo o estudo, o planejamento, a conceituação, a concepção, a criação, a execução interna, a intermediação e a supervisão da execução externa e a distribuição de publicidade aos veículos e demais meios de divulgação, com o objetivo de promover a venda de bens ou serviços de qualquer natureza, difundir ideias ou informar o público em geral.",urn:lex:br:federal:lei:2010-04-29;12232!art2_cpt
"PAR","lei_12232_20100429, Art. 2º, § 1º",13,20,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Nas contratações de serviços de publicidade, poderão ser incluídos como atividades complementares os serviços especializados pertinentes: ao planejamento e à execução de pesquisas e de outros instrumentos de avaliação e de geração de conhecimento sobre o mercado, o público-alvo, os meios de divulgação nos quais serão difundidas as peças e ações publicitárias ou sobre os resultados das campanhas realizadas, respeitado o disposto no art. 3º desta Lei; à produção e à execução técnica das peças e projetos publicitários criados; à criação e ao desenvolvimento de formas inovadoras de comunicação publicitária, em consonância com novas tecnologias, visando à expansão dos efeitos das mensagens e das ações publicitárias.",urn:lex:br:federal:lei:2010-04-29;12232!art2_par1
"PAR","lei_12232_20100429, Art. 2º, § 2º",21,22,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Os contratos de serviços de publicidade terão por objeto somente as atividades previstas no caput e no § 1º deste artigo, vedada a inclusão de quaisquer outras atividades, em especial as de assessoria de imprensa, comunicação e relações públicas ou as que tenham por finalidade a realização de eventos festivos de qualquer natureza, as quais serão contratadas por meio de procedimentos licitatórios próprios, respeitado o disposto na legislação em vigor.",urn:lex:br:federal:lei:2010-04-29;12232!art2_par2
"PAR","lei_12232_20100429, Art. 2º, § 3º",23,24,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Na contratação dos serviços de publicidade, faculta-se a adjudicação do objeto da licitação a mais de uma agência de propaganda, sem a segregação em itens ou contas publicitárias, mediante justificativa no processo de licitação.",urn:lex:br:federal:lei:2010-04-29;12232!art2_par3
"PAR","lei_12232_20100429, Art. 2º, § 4º",25,26,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Para a execução das ações de comunicação publicitária realizadas no âmbito dos contratos decorrentes das licitações previstas no § 3º deste artigo, o órgão ou a entidade deverá, obrigatoriamente, instituir procedimento de seleção interna entre as contratadas, cuja metodologia será aprovada pela administração e publicada na imprensa oficial.",urn:lex:br:federal:lei:2010-04-29;12232!art2_par4
"CPT","lei_12232_20100429, Art. 3º, caput",29,30,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] As pesquisas e avaliações previstas no inciso I do § 1º do art. 2º desta Lei terão a finalidade específica de aferir o desenvolvimento estratégico, a criação e a veiculação e de possibilitar a mensuração dos resultados das campanhas publicitárias realizadas em decorrência da execução do contrato.",urn:lex:br:federal:lei:2010-04-29;12232!art3_cpt
"PAR","lei_12232_20100429, Art. 3º, Parágrafo único.",31,32,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] É vedada a inclusão nas pesquisas e avaliações de matéria estranha ou que não guarde pertinência temática com a ação publicitária ou com o objeto do contrato de prestação de serviços de publicidade.",urn:lex:br:federal:lei:2010-04-29;12232!art3_par1u
"CPT","lei_12232_20100429, Art. 4º, caput",35,36,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] Os serviços de publicidade previstos nesta Lei serão contratados em agências de propaganda cujas atividades sejam disciplinadas pela Lei nº 4.680, de 18 de junho de 1965, e que tenham obtido certificado de qualificação técnica de funcionamento.",urn:lex:br:federal:lei:2010-04-29;12232!art4_cpt
"PAR","lei_12232_20100429, Art. 4º, § 1º",37,38,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] O certificado de qualificação técnica de funcionamento previsto no caput deste artigo poderá ser obtido perante o Conselho Executivo das Normas-Padrão - CENP, entidade sem fins lucrativos, integrado e gerido por entidades nacionais que representam veículos, anunciantes e agências, ou por entidade equivalente, legalmente reconhecida como fiscalizadora e certificadora das condições técnicas de agências de propaganda.",urn:lex:br:federal:lei:2010-04-29;12232!art4_par1
"PAR","lei_12232_20100429, Art. 4º, § 2º",39,40,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DISPOSIÇÕES GERAIS | ] A agência contratada nos termos desta Lei só poderá reservar e comprar espaço ou tempo publicitário de veículos de divulgação, por conta e por ordem dos seus clientes, se previamente os identificar e tiver sido por eles expressamente autorizada.",urn:lex:br:federal:lei:2010-04-29;12232!art4_par2
"CPT","lei_12232_20100429, Art. 5º, caput",45,46,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DOS PROCEDIMENTOS LICITATÓRIOS | ] As licitações previstas nesta Lei serão processadas pelos órgãos e entidades responsáveis pela contratação, respeitadas as modalidades definidas no art. 22 da Lei nº 8.666, de 21 de junho de 1993, adotando-se como obrigatórios os tipos ""melhor técnica"" ou ""técnica e preço"".",urn:lex:br:federal:lei:2010-04-29;12232!art5_cpt
"CPT","lei_12232_20100429, Art. 6º, caput",49,78,"[ Dispõe sobre as normas gerais para licitação e contratação pela administração pública de serviços de publicidade prestados por intermédio de agências de propaganda e dá outras providências. | DOS PROCEDIMENTOS LICITATÓRIOS | ] A elaboração do instrumento convocatório das licitações previstas nesta Lei obedecerá às exigências do art. 40 da Lei nº 8.666, de 21 de junho de 1993, com exceção das previstas nos incisos I e II do seu § 2º, e às seguintes: os documentos de habilitação serão apresentados apenas pelos licitantes classificados no julgamento final das propostas, nos termos do inciso XI do art. 11 desta Lei; as informações suficientes para que os interessados elaborem propostas serão estabelecidas em um briefing, de forma precisa, clara e objetiva; a proposta técnica será composta de um plano de comunicação publicitária, pertinente às informações expressas no briefing, e de um conjunto de informações referentes ao proponente; o plano de comunicação publicitária previsto no inciso III deste artigo será apresentado em 2 (duas) vias, uma sem a identificação de sua autoria e outra com a identificação; a proposta de preço conterá quesitos representativos das formas de remuneração vigentes no mercado publicitário; o julgamento das propostas técnicas e de preços e o julgamento final do certame serão realizados exclusivamente com base nos critérios especificados no instrumento convocatório; a subcomissão técnica prevista no § 1º do art. 10 desta Lei reavaliará a pontuação atribuída a um quesito sempre que a diferença entre a maior e a menor pontuação for superior a 20% (vinte por cento) da pontuação máxima do quesito, com o fim de restabelecer o equilíbrio das pontuações atribuídas, de conformidade com os critérios objetivos postos no instrumento convocatório; serão fixados critérios objetivos e automáticos de identificação da proposta mais vantajosa para a administração, no caso de empate na soma de pontos das propostas técnicas, nas licitações do tipo ""melhor técnica""; o formato para apresentação pelos proponentes do plano de comunicação publicitária será padronizado quanto a seu tamanho, a fontes tipográficas, a espaçamento de parágrafos, a quantidades e formas dos exemplos de peças e a outros aspectos pertinentes, observada a exceção prevista no inciso XI deste artigo; para apresentação pelos proponentes do conjunto de informações de que trata o art. 8º desta Lei, poderão ser fixados o número máximo de páginas de texto, o número de peças e trabalhos elaborados para seus clientes e as datas a partir das quais devam ter sido elaborados os trabalhos, e veiculadas, distribuídas, exibidas ou expostas as peças; na elaboração das tabelas, planilhas e gráficos integrantes do plano de mídia e não mídia, os proponentes poderão utilizar as fontes tipográficas que julgarem mais adequadas para sua apresentação; será vedada a aposição, a qualquer parte da via não identificada do plano de comunicação publicitária, de marca, sinal ou palavra que possibilite a identificação do seu proponente antes da abertura do invólucro de que trata o § 2º do art. 9º desta Lei; será vedada a aposição ao invólucro destinado às informações de que trata o art. 8º desta Lei, assim como dos documentos nele contidos, de informação, marca, sinal, etiqueta ou qualquer outro elemento que identifique a autoria do plano de comunicação publicitária, em qualquer momento anterior à abertura dos invólucros de que trata o § 2º do art. 9º desta Lei; será desclassificado o licitante que descumprir o disposto nos incisos XII e XIII deste artigo e demais disposições do instrumento convocatório.",urn:lex:br:federal:lei:2010-04-29;12232!art6_cpt
