Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_8248_19911023, Art. 1º, caput",2,3,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] (Revogado pela Lei nº 10.176, de 11.1.2001)",urn:lex:br:federal:lei:1991-10-23;8248!art1_cpt
"CPT","lei_8248_19911023, Art. 2º, caput",6,7,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] (Revogado pela Lei nº 10.176, de 11.1.2001)",urn:lex:br:federal:lei:1991-10-23;8248!art2_cpt
"CPT","lei_8248_19911023, Art. 3º, caput",10,15,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] Os órgãos e entidades da Administração Pública Federal, direta ou indireta, as fundações instituídas e mantidas pelo Poder Público e as demais organizações sob o controle direto ou indireto da União darão preferência, nas aquisições de bens e serviços de informática e automação, observada a seguinte ordem, a: (“Caput” do artigo com redação dada pela Lei nº 10.176, de 11.1.2001. bens e serviços com tecnologia desenvolvida no País; (Inciso com redação dada pela Lei nº 10.176, de 11.1.2001) bens e serviços produzidos de acordo com processo produtivo básico, na forma a ser definida pelo Poder Executivo. (Inciso com redação dada pela Lei nº 10.176, de 11.1.2001)",urn:lex:br:federal:lei:1991-10-23;8248!art3_cpt
"PAR","lei_8248_19911023, Art. 3º, § 1º",16,17,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] (Revogado pela Lei nº 10.176, de 11.1.2001)",urn:lex:br:federal:lei:1991-10-23;8248!art3_par1
"PAR","lei_8248_19911023, Art. 3º, § 2º",18,19,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] Para o exercício desta preferência, levar-se-ão em conta condições equivalentes de prazo de entrega, suporte de serviços, qualidade, padronização, compatibilidade e especificação de desempenho e preço. (Parágrafo com redação dada pela Lei nº 10.176, de 11.1.2001)",urn:lex:br:federal:lei:1991-10-23;8248!art3_par2
"PAR","lei_8248_19911023, Art. 3º, § 3º",20,21,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] A aquisição de bens e serviços de informática e automação, considerados como bens e serviços comuns nos termos do parágrafo único do art. 1º da Lei nº 10.520, de 17 de julho de 2002, poderá ser realizada na modalidade pregão, restrita às empresas que cumpram o Processo Produtivo Básico nos termos desta Lei e da Lei nº 8.387, de 30 de dezembro de 1991. (Parágrafo acrescido pela Lei nº 11.077, de 30.12.2004)",urn:lex:br:federal:lei:1991-10-23;8248!art3_par3
"CPT","lei_8248_19911023, Art. 4º, caput",24,25,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] As pessoas jurídicas que exerçam atividades de desenvolvimento ou produção de bens de tecnologias da informação e comunicação que investirem em atividades de pesquisa, desenvolvimento e inovação nesse setor farão jus a crédito financeiro decorrente do dispêndio mínimo efetivamente aplicado nessas atividades. (“Caput” do artigo com redação dada pela Lei nº 14.968, de 11.9.2024, em vigor em 1º/1/2025)",urn:lex:br:federal:lei:1991-10-23;8248!art4_cpt
"PAR","lei_8248_19911023, Art. 4º, § 1º",26,27,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] (Parágrafo acrescido pela Lei nº 10.176, de 11.1.2001 e revogado pela Lei nº 13.969, de 26.12.2019, publicada no DOU de 26.12.2019, produzindo efeitos a partir do primeiro dia do quarto mês subsequente à publicação)",urn:lex:br:federal:lei:1991-10-23;8248!art4_par1
"PAR","lei_8248_19911023, Art. 4º, § 1º-A.",28,29,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] (Parágrafo acrescido pela Lei nº 10.176, de 11.1.2001 e revogado pela Lei nº 13.969, de 26.12.2019, publicada no DOU de 26.12.2019, produzindo efeitos a partir do primeiro dia do quarto mês subsequente à publicação)",urn:lex:br:federal:lei:1991-10-23;8248!art4_par1-1
"PAR","lei_8248_19911023, Art. 4º, § 1º-B.",30,31,"[ Dispõe sobre a capacitação e competitividade do setor de informática e automação, e dá outras providências. | ] (VETADO na Lei nº 10.176, de 11.1.2001)",urn:lex:br:federal:lei:1991-10-23;8248!art4_par1-2
