Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9612_19980219, Art. 1º, caput",2,3,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Denomina-se Serviço de Radiodifusão Comunitária a radiodifusão sonora, em freqüência modulada, operada em baixa potência e cobertura restrita, outorgada a fundações e associações comunitárias, sem fins lucrativos, com sede na localidade de prestação do serviço.",urn:lex:br:federal:lei:1998-02-19;9612!art1_cpt
"PAR","lei_9612_19980219, Art. 1º, § 1º",4,5,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Entende-se por baixa potência o serviço de radiodifusão prestado a comunidade, com potência limitada a um máximo de 25 watts ERP e altura do sistema irradiante não superior a trinta metros.",urn:lex:br:federal:lei:1998-02-19;9612!art1_par1
"PAR","lei_9612_19980219, Art. 1º, § 2º",6,7,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Entende-se por cobertura restrita aquela destinada ao atendimento de determinada comunidade de um bairro e/ou vila.",urn:lex:br:federal:lei:1998-02-19;9612!art1_par2
"CPT","lei_9612_19980219, Art. 2º, caput",10,11,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] O Serviço de Radiodifusão Comunitária obedecerá ao disposto no art. 223 da Constituição, aos preceitos desta Lei e, no que couber, aos mandamentos da Lei nº 4.117, de 27 de agosto de 1962, e demais disposições legais.",urn:lex:br:federal:lei:1998-02-19;9612!art2_cpt
"PAR","lei_9612_19980219, Art. 2º, Parágrafo único.",12,13,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Autorizada a execução do serviço e, transcorrido o prazo previsto no art. 64, §§ 2º e 4º da Constituição, sem apreciação do Congresso Nacional, o Poder Concedente expedirá autorização de operação, em caráter provisório, que perdurará até a apreciação do ato de outorga pelo Congresso Nacional. (Artigo com redação dada pela Medida Provisória nº 2216-37, de 31.8.2001)",urn:lex:br:federal:lei:1998-02-19;9612!art2_par1u
"CPT","lei_9612_19980219, Art. 3º, caput",16,27,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] O Serviço de Radiodifusão Comunitária tem por finalidade o atendimento à comunidade beneficiada, com vistas a: dar oportunidade à difusão de idéias, elementos de cultura, tradições e hábitos sociais da comunidade; oferecer mecanismos à formação e integração da comunidade, estimulando o lazer, a cultura e o convívio social; prestar serviços de utilidade pública, integrando-se aos serviços de defesa civil, sempre que necessário; contribuir para o aperfeiçoamento profissional nas áreas de atuação dos jornalistas e radialistas, de conformidade com a legislação profissional vigente; permitir a capacitação dos cidadãos no exercício do direito de expressão da forma mais acessível possível.",urn:lex:br:federal:lei:1998-02-19;9612!art3_cpt
"CPT","lei_9612_19980219, Art. 4º, caput",30,39,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] As emissoras do Serviço de Radiodifusão Comunitária atenderão, em sua programação, aos seguintes princípios: preferência a finalidades educativas, artísticas, culturais e informativas em benefício do desenvolvimento geral da comunidade; promoção das atividades artísticas e jornalísticas na comunidade e da integração dos membros da comunidade atendida; respeito aos valores éticos e sociais da pessoa e da família, favorecendo a integração dos membros da comunidade atendida; não discriminação de raça, religião, sexo, preferências sexuais, convicções político-ideológico-partidárias e condição social nas relações comunitárias.",urn:lex:br:federal:lei:1998-02-19;9612!art4_cpt
"PAR","lei_9612_19980219, Art. 4º, § 1º",40,41,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] (Parágrafo declarado inconstitucional, em controle concentrado, pelo Supremo Tribunal Federal, pela ADI nº 2.566, publicada no DOU de 22.5.2018)",urn:lex:br:federal:lei:1998-02-19;9612!art4_par1
"PAR","lei_9612_19980219, Art. 4º, § 2º",42,43,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] As programações opinativa e informativa observarão os princípios da pluralidade de opinião e de versão simultâneas em matérias polêmicas, divulgando, sempre, as diferentes interpretações relativas aos fatos noticiados.",urn:lex:br:federal:lei:1998-02-19;9612!art4_par2
"PAR","lei_9612_19980219, Art. 4º, § 3º",44,45,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Qualquer cidadão da comunidade beneficiada terá direito a emitir opiniões sobre quaisquer assuntos abordados na programação da emissora, bem como manifestar idéias, propostas, sugestões, reclamações ou reivindicações, devendo observar apenas o momento adequado da programação para fazê-lo, mediante pedido encaminhado à Direção responsável pela Rádio Comunitária.",urn:lex:br:federal:lei:1998-02-19;9612!art4_par3
"CPT","lei_9612_19980219, Art. 5º, caput",48,49,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] O Poder Concedente designará, em nível nacional, para utilização do Serviço de Radiodifusão Comunitária, um único e específico canal na faixa de freqüência do serviço de radiodifusão sonora em freqüência modulada.",urn:lex:br:federal:lei:1998-02-19;9612!art5_cpt
"PAR","lei_9612_19980219, Art. 5º, Parágrafo único.",50,51,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Em caso de manifesta impossibilidade técnica quanto ao uso desse canal em determinada região, será indicado, em substituição, canal alternativo, para utilização exclusiva nessa região.",urn:lex:br:federal:lei:1998-02-19;9612!art5_par1u
"CPT","lei_9612_19980219, Art. 6º, caput",54,55,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Compete ao Poder Concedente outorgar à entidade interessada autorização para exploração do Serviço de Radiodifusão Comunitária, observados os procedimentos estabelecidos nesta Lei e normas reguladoras das condições de exploração do Serviço.",urn:lex:br:federal:lei:1998-02-19;9612!art6_cpt
"PAR","lei_9612_19980219, Art. 6º, Parágrafo único.",56,57,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] A outorga terá validade de dez anos, permitida a renovação por igual período, se cumpridas as exigências desta Lei e demais disposições legais vigentes. (Parágrafo único com redação dada pela Lei nº 10.597, de 11.12.2002)",urn:lex:br:federal:lei:1998-02-19;9612!art6_par1u
"CPT","lei_9612_19980219, Art. 6º-A., caput",60,61,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] A entidade autorizada a prestar serviços de radiodifusão comunitária que desejar a renovação da outorga deverá manifestar-se perante o órgão competente do Poder Executivo anteriormente ao término do respectivo prazo da outorga, com apresentação da documentação prevista na regulamentação. (“Caput” do artigo acrescido pela Lei nº 13.424, de 28.3.2017, e com redação dada pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-1_cpt
"PAR","lei_9612_19980219, Art. 6º-A., § 1º",62,63,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Caso expire a outorga de radiodifusão sem decisão sobre o pedido de renovação, o serviço poderá ser mantido em funcionamento em caráter precário. (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017)",urn:lex:br:federal:lei:1998-02-19;9612!art6-1_par1
"PAR","lei_9612_19980219, Art. 6º-A., § 2º",64,65,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] A autorizada com funcionamento em caráter precário mantém todos os seus deveres e direitos decorrentes da prestação do serviço. (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017)",urn:lex:br:federal:lei:1998-02-19;9612!art6-1_par2
"PAR","lei_9612_19980219, Art. 6º-A., § 3º",66,69,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] A não observância da regra estabelecida no caput deste artigo não ensejará a impossibilidade da renovação da outorga, devendo o órgão competente do Poder Executivo notificar a entidade para manifestar-se sobre seu interesse na renovação, com apresentação da documentação prevista na regulamentação. (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017, e com redação dada pela Lei nº 15.182, de 30.7.2025) º As disposições do § 3º deste artigo aplicar-se-ão aos processos em trâmite. (Parágrafo acrescido pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-1_par3
"CPT","lei_9612_19980219, Art. 6º-B., caput",72,73,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] (“Caput” do artigo acrescido pela Lei nº 13.424, de 28.3.2017, e revogado pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_cpt
"PAR","lei_9612_19980219, Art. 6º-B., § 1º",74,75,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Caso expire a outorga de radiodifusão sem o recebimento da notificação pela entidade ou sem decisão sobre o pedido de renovação, o serviço poderá ser mantido em funcionamento em caráter precário. (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par1
"PAR","lei_9612_19980219, Art. 6º-B., § 2º",76,77,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] A autorizada com funcionamento em caráter precário mantém todos os seus deveres e direitos decorrentes da prestação do serviço. (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par2
"PAR","lei_9612_19980219, Art. 6º-B., § 3º",78,79,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017, e revogado pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par3
"PAR","lei_9612_19980219, Art. 6º-B., § 4º",80,81,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017, e revogado pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par4
"PAR","lei_9612_19980219, Art. 6º-B., § 5º",82,83,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Não havendo resposta à notificação de renovação da outorga, ou sendo intempestiva a resposta, o Poder Concedente aplicará a perempção, nos termos da legislação vigente. (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par5
"PAR","lei_9612_19980219, Art. 6º-B., § 6º",84,85,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017, e revogado pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par6
"PAR","lei_9612_19980219, Art. 6º-B., § 7º",86,87,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017, e revogado pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par7
"PAR","lei_9612_19980219, Art. 6º-B., § 8º",88,89,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] (Parágrafo acrescido pela Lei nº 13.424, de 28.3.2017, e revogado pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-2_par8
"CPT","lei_9612_19980219, Art. 6º-C., caput",92,93,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Os pedidos considerados intempestivos de renovação da outorga da radiodifusão comunitária, protocolizados ou encaminhados até a data de publicação deste artigo, serão conhecidos pelo órgão competente do Poder Executivo, que dará prosseguimento aos processos e os instruirá com os documentos necessários, na forma de regulamento.",urn:lex:br:federal:lei:1998-02-19;9612!art6-3_cpt
"PAR","lei_9612_19980219, Art. 6º-C., Parágrafo único.",94,95,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Será dado prosseguimento, também, aos processos de renovação de outorgas de radiodifusão comunitária declaradas peremptas, por qualquer motivo, desde que o ato não tenha sido aprovado pelo Congresso Nacional até a data de publicação deste artigo. (Artigo acrescido pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1998-02-19;9612!art6-3_par1u
"CPT","lei_9612_19980219, Art. 7º, caput",98,99,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] São competentes para explorar o Serviço de Radiodifusão Comunitária as fundações e associações comunitárias, sem fins lucrativos, desde que legalmente instituídas e devidamente registradas, sediadas na área da comunidade para a qual pretendem prestar o Serviço, e cujos dirigentes sejam brasileiros natos ou naturalizados há mais de 10 anos.",urn:lex:br:federal:lei:1998-02-19;9612!art7_cpt
"PAR","lei_9612_19980219, Art. 7º, Parágrafo único.",100,101,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Os dirigentes das fundações e sociedades civis autorizadas a explorar o Serviço, além das exigências deste artigo, deverão manter residência na área da comunidade atendida.",urn:lex:br:federal:lei:1998-02-19;9612!art7_par1u
"CPT","lei_9612_19980219, Art. 8º, caput",104,105,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] A entidade autorizada a explorar o Serviço deverá instituir um Conselho Comunitário, composto por no mínimo cinco pessoas representantes de entidades da comunidade local, tais como associações de classe, beneméritas, religiosas ou de moradores, desde que legalmente instituídas, com o objetivo de acompanhar a programação da emissora, com vista ao atendimento do interesse exclusivo da comunidade e dos princípios estabelecidos no art. 4º desta Lei.",urn:lex:br:federal:lei:1998-02-19;9612!art8_cpt
"CPT","lei_9612_19980219, Art. 9º, caput",108,109,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Para outorga da autorização para execução do Serviço de Radiodifusão Comunitária, as entidades interessadas deverão dirigir petição ao Poder Concedente, indicando a área onde pretendem prestar o serviço.",urn:lex:br:federal:lei:1998-02-19;9612!art9_cpt
"PAR","lei_9612_19980219, Art. 9º, § 1º",110,111,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Analisada a pretensão quanto a sua viabilidade técnica, o Poder Concedente publicará comunicado de habilitação e promoverá sua mais ampla divulgação para que as entidades interessadas se inscrevam.",urn:lex:br:federal:lei:1998-02-19;9612!art9_par1
"PAR","lei_9612_19980219, Art. 9º, § 2º",112,125,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] As entidades deverão apresentar, no prazo fixado para habilitação, os seguintes documentos: estatuto da entidade, devidamente registrado; ata da constituição da entidade e eleição dos seus dirigentes, devidamente registrada; prova de que seus diretores são brasileiros natos ou naturalizados há mais de dez anos; comprovação de maioridade dos diretores; declaração assinada de cada diretor, comprometendo-se ao fiel cumprimento das normas estabelecidas para o serviço; manifestação em apoio à iniciativa, formulada por entidades associativas e comunitárias, legalmente constituídas e sediadas na área pretendida para a prestação do serviço, e firmada por pessoas naturais ou jurídicas que tenham residência, domicílio ou sede nessa área.",urn:lex:br:federal:lei:1998-02-19;9612!art9_par2
"PAR","lei_9612_19980219, Art. 9º, § 3º",126,127,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Se apenas uma entidade se habilitar para a prestação do Serviço e estando regular a documentação apresentada, o Poder Concedente outorgará a autorização à referida entidade.",urn:lex:br:federal:lei:1998-02-19;9612!art9_par3
"PAR","lei_9612_19980219, Art. 9º, § 4º",128,129,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Havendo mais de uma entidade habilitada para a prestação do Serviço, o Poder Concedente promoverá o entendimento entre elas, objetivando que se associem.",urn:lex:br:federal:lei:1998-02-19;9612!art9_par4
"PAR","lei_9612_19980219, Art. 9º, § 5º",130,131,"[ Institui o Serviço de Radiodifusão Comunitária e dá outras providências. | ] Não alcançando êxito a iniciativa prevista no parágrafo anterior, o Poder Concedente procederá à escolha da entidade levando em consideração o critério da representatividade, evidenciada por meio de manifestações de apoio encaminhadas por membros da comunidade a ser atendida e/ou por associações que a representem.",urn:lex:br:federal:lei:1998-02-19;9612!art9_par5
