Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9609_19980219, Art. 1º, caput",3,4,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DISPOSIÇÕES PRELIMINARES | ] Programa de computador é a expressão de um conjunto organizado de instruções em linguagem natural ou codificada, contida em suporte físico de qualquer natureza, de emprego necessário em máquinas automáticas de tratamento da informação, dispositivos, instrumentos ou equipamentos periféricos, baseados em técnica digital ou análoga, para fazê-los funcionar de modo e para fins determinados.",urn:lex:br:federal:lei:1998-02-19;9609!art1_cpt
"CPT","lei_9609_19980219, Art. 2º, caput",9,10,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] O regime de proteção à propriedade intelectual de programa de computador é o conferido às obras literárias pela legislação de direitos autorais e conexos vigentes no País, observado o disposto nesta Lei.",urn:lex:br:federal:lei:1998-02-19;9609!art2_cpt
"PAR","lei_9609_19980219, Art. 2º, § 1º",11,12,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] Não se aplicam ao programa de computador as disposições relativas aos direitos morais, ressalvado, a qualquer tempo, o direito do autor de reivindicar a paternidade do programa de computador e o direito do autor de opor-se a alterações não-autorizadas, quando estas impliquem deformação, mutilação ou outra modificação do programa de computador, que prejudiquem a sua honra ou a sua reputação.",urn:lex:br:federal:lei:1998-02-19;9609!art2_par1
"PAR","lei_9609_19980219, Art. 2º, § 2º",13,14,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] Fica assegurada a tutela dos direitos relativos a programa de computador pelo prazo de cinqüenta anos, contados a partir de 1º de janeiro do ano subseqüente ao da sua publicação ou, na ausência desta, da sua criação.",urn:lex:br:federal:lei:1998-02-19;9609!art2_par2
"PAR","lei_9609_19980219, Art. 2º, § 3º",15,16,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] A proteção aos direitos de que trata esta Lei independe de registro.",urn:lex:br:federal:lei:1998-02-19;9609!art2_par3
"PAR","lei_9609_19980219, Art. 2º, § 4º",17,18,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] Os direitos atribuídos por esta Lei ficam assegurados aos estrangeiros domiciliados no exterior, desde que o país de origem do programa conceda, aos brasileiros e estrangeiros domiciliados no Brasil, direitos equivalentes.",urn:lex:br:federal:lei:1998-02-19;9609!art2_par4
"PAR","lei_9609_19980219, Art. 2º, § 5º",19,20,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] Inclui-se dentre os direitos assegurados por esta Lei e pela legislação de direitos autorais e conexos vigentes no País aquele direito exclusivo de autorizar ou proibir o aluguel comercial, não sendo esse direito exaurível pela venda, licença ou outra forma de transferência da cópia do programa.",urn:lex:br:federal:lei:1998-02-19;9609!art2_par5
"PAR","lei_9609_19980219, Art. 2º, § 6º",21,22,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] O disposto no parágrafo anterior não se aplica aos casos em que o programa em si não seja objeto essencial do aluguel.",urn:lex:br:federal:lei:1998-02-19;9609!art2_par6
"CPT","lei_9609_19980219, Art. 3º, caput",25,26,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] Os programas de computador poderão, a critério do titular, ser registrados em órgão ou entidade a ser designado por ato do Poder Executivo, por iniciativa do Ministério responsável pela política de ciência e tecnologia.",urn:lex:br:federal:lei:1998-02-19;9609!art3_cpt
"PAR","lei_9609_19980219, Art. 3º, § 1º",27,34,"[ Dispõe sobre a proteção da propriedade intelectual de programa de computador, sua comercialização no País, e dá outras providências. | DA PROTEÇÃO AOS DIREITOS DE AUTOR E DO REGISTRO | ] O pedido de registro estabelecido neste artigo deverá conter, pelo menos, as seguintes informações: os dados referentes ao autor do programa de computador e ao titular, se distinto do autor, sejam pessoas físicas ou jurídicas; a identificação e descrição funcional do programa de computador; e os trechos do programa e outros dados que se considerar suficientes para identificá-lo e caracterizar sua originalidade, ressalvando-se os direitos de terceiros e a responsabilidade do Governo.",urn:lex:br:federal:lei:1998-02-19;9609!art3_par1
