Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_5602_2005, Art. 1º, caput",2,27,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] Ficam reduzidas a zero as alíquotas da Contribuição para o PIS/PASEP e da COFINS incidentes sobre a receita bruta decorrente da venda, a varejo, de: unidades de processamento digital classificadas no código 8471.50.10 da Tabela de Incidência do IPI - TIPI ; máquinas automáticas de processamento de dados, digitais, portáteis, de peso inferior a três quilos e meio, com tela (écran) de área superior a cento e quarenta centímetros quadrados, classificadas nos códigos 8471.30.12, 8471.30.19 ou 8471.30.90 da TIPI; máquinas automáticas de processamento de dados, apresentadas sob a forma de sistemas do código 8471.49 da TIPI, contendo, exclusivamente: uma unidade de processamento digital classificada no código 8471.50.10; um monitor (unidade de saída por vídeo) classificado no código 8471.60.7; um teclado (unidade de entrada) classificado no código 8471.60.52; e um mouse (unidade de entrada) classificado no código 8471.60.53; teclado (unidade de entrada) e mouse (unidade de entrada) classificados, respectivamente, nos códigos 8471.60.52 e 8471.60.53 da TIPI, quando vendidos juntamente com unidade de processamento digital com as características do inciso I do caput ; (Redação dada pelo Decreto nº 7.715, de 2012) modems, classificados nos códigos 8517.62.55, 8517.62.62 ou 8517.62.72 da TIPI; e (Incluído pelo Decreto nº 7.715, de 2012) máquinas automáticas de processamento de dados, portáteis, sem teclado, que tenham uma unidade central de processamento com entrada e saída de dados por meio de uma tela sensível ao toque de área superior a 140 cm 2 e inferior a 600 cm 2, e que não possuam função de comando remoto ( Tablet PC ) classificadas na subposição 8471.41 da TIPI. (Incluído pelo Decreto nº 7.715, de 2012) telefones portáteis de redes celulares que possibilitem o acesso à Internet em alta velocidade do tipo smartphone classificados na posição 8517.12.31 da TIPI, que obedeçam aos requisitos técnicos constantes de ato do Ministro de Estado das Comunicações; e (Incluído pelo Decreto nº 7.981, de 2013) equipamentos terminais de clientes (roteadores digitais) classificados nas posições 8517.62.41 e 8517.62.77 da TIPI. (Incluído pelo Decreto nº 7.981, de 2013)",urn:lex:br:federal:decreto:2005-12-06;5602!art1_cpt
"PAR","decreto_5602_2005, Art. 1º, Parágrafo único.",28,37,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] O disposto neste artigo aplica-se também às vendas realizadas para: órgãos e entidades da Administração Pública Federal, Estadual ou Municipal e do Distrito Federal, direta ou indireta; fundações instituídas e mantidas pelo Poder Público e às demais organizações sob o controle direto ou indireto da União, dos Estados, dos Municípios ou do Distrito Federal; pessoas jurídicas de direito privado; e sociedades de arrendamento mercantil (leasing).",urn:lex:br:federal:decreto:2005-12-06;5602!art1_par1u
"CPT","decreto_5602_2005, Art. 2º, caput",40,57,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] Para efeitos da redução a zero das alíquotas da Contribuição para o PIS/PASEP e da COFINS de que trata o art. 1º , o valor de venda, a varejo, não poderá exceder a: R$ 2.000,00 (dois mil reais), no caso do inciso I do caput do art. 1º ; R$ 4.000,00 (quatro mil reais), no caso do inciso II do caput do art. 1º ; (Redação dada pelo Decreto nº 6.023, de 2007) R$ 4.000,00 (quatro mil reais), no caso dos sistemas contendo unidade de processamento digital, monitor, teclado e mouse de que trata o inciso III do caput do art. 1º ; (Redação dada pelo Decreto nº 7.715, de 2012) R$ 2.100,00 (dois mil e cem reais), no caso de venda conjunta de unidade de processamento digital, teclado e mouse, na forma do inciso IV do caput do art. 1º ; (Redação dada pelo Decreto nº 7.715, de 2012) R$ 200,00 (duzentos reais), no caso do inciso V do caput do art. 1º ; (Redação dada pelo Decreto nº 7.981, de 2013) R$ 2.500,00 (dois mil e quinhentos reais), no caso do inciso VI do caput do art. 1º . (Incluído pelo Decreto nº 7.715, de 2012) R$ 1.500,00 (mil e quinhentos reais), no caso do inciso VII do caput do art. 1º ; e (Incluído pelo Decreto nº 7.981, de 2013) R$ 150,00 (cento e cinquenta reais), no caso do inciso VIII do caput do art. 1º . (Incluído pelo Decreto nº 7.981, de 2013)",urn:lex:br:federal:decreto:2005-12-06;5602!art2_cpt
"CPT","decreto_5602_2005, Art. 2º-A., caput",60,61,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] No caso dos incisos I, II, III, VI e VII do caput do art. 1º e observado o disposto no art. 2º , a redução a zero das alíquotas da Contribuição para o PIS/PASEP e da COFINS alcança somente os bens produzidos no País conforme processo produtivo básico estabelecido em ato conjunto dos Ministérios do Desenvolvimento, Indústria e Comércio Exterior, e da Ciência, Tecnologia e Inovação. (Redação dada pelo Decreto nº 7.981, de 2013)",urn:lex:br:federal:decreto:2005-12-06;5602!art2-1_cpt
"PAR","decreto_5602_2005, Art. 2º-A., Parágrafo único.",62,63,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] Nas notas fiscais emitidas pelo produtor, pelo atacadista e pelo varejista relativas às vendas dos produtos de que trata o caput, deverá constar a expressão “Produto fabricado conforme processo produtivo básico”, com a especificação do ato que aprova o processo produtivo básico respectivo. (Incluído pelo Decreto nº 7.715, de 2012)",urn:lex:br:federal:decreto:2005-12-06;5602!art2-1_par1u
"CPT","decreto_5602_2005, Art. 2º-B., caput",66,67,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] No caso do inciso VIII do caput do art. 1º , e observado o disposto no inciso VIII do caput do art. 2º , a redução a zero das alíquotas da Contribuição para o PIS/PASEP e da COFINS alcança somente os roteadores digitais desenvolvidos e produzidos no País conforme processo produtivo básico estabelecido em ato conjunto dos Ministros de Estado do Desenvolvimento, Indústria e Comércio Exterior, e da Ciência, Tecnologia e Inovação. (Incluído pelo Decreto nº 7.981, de 2013)",urn:lex:br:federal:decreto:2005-12-06;5602!art2-2_cpt
"PAR","decreto_5602_2005, Art. 2º-B., § 1º",68,69,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] Para os fins do disposto no caput, consideram-se desenvolvidos no País os bens que obtiveram o reconhecimento desta condição conforme ato do Ministro de Estado da Ciência, Tecnologia e Inovação. (Incluído pelo Decreto nº 7.981, de 2013)",urn:lex:br:federal:decreto:2005-12-06;5602!art2-2_par1
"PAR","decreto_5602_2005, Art. 2º-B., § 2º",70,71,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] Nas notas fiscais emitidas pelo produtor, pelo atacadista e pelo varejista relativas às vendas dos produtos de que trata o caput, deverá constar a expressão “Produto fabricado conforme processo produtivo básico e com tecnologia desenvolvida no País”, acompanhada da especificação do ato que aprova o processo produtivo básico e do ato que reconhece o desenvolvimento tecnológico correspondente. (Incluído pelo Decreto nº 7.981, de 2013)",urn:lex:br:federal:decreto:2005-12-06;5602!art2-2_par2
"CPT","decreto_5602_2005, Art. 3º, caput",74,75,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] Nas vendas efetuadas na forma do art. 1º desta Lei não se aplica a retenção na fonte da Contribuição para o PIS/PASEP e da COFINS a que se referem o art. 64 da Lei nº 9.430, de 27 de dezembro de 1996, e o art. 34 da Lei nº 10.833, de 29 de dezembro de 2003.",urn:lex:br:federal:decreto:2005-12-06;5602!art3_cpt
"CPT","decreto_5602_2005, Art. 4º, caput",78,79,"[ Regulamenta o Programa de Inclusão Digital instituído pela Lei nº 11.196, de 21 de novembro de 2005. | ] Este Decreto entra em vigor na data de sua publicação.",urn:lex:br:federal:decreto:2005-12-06;5602!art4_cpt
