Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_7565_19861219, Art. 1º, caput",4,5,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES GERAIS | ] O Direito Aeronáutico é regulado pelos Tratados, Convenções e Atos Internacionais de que o Brasil seja parte, por este Código e pela legislação complementar.",urn:lex:br:federal:lei:1986-12-19;7565!art1_cpt
"PAR","lei_7565_19861219, Art. 1º, § 1º",6,7,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES GERAIS | ] Os Tratados, Convenções e Atos Internacionais, celebrados por delegação do Poder Executivo e aprovados pelo Congresso Nacional, vigoram a partir da data neles prevista para esse efeito, após o depósito ou troca das respectivas ratificações, podendo, mediante cláusula expressa, autorizar a aplicação provisória de suas disposições pelas autoridades aeronáuticas, nos limites de suas atribuições, a partir da assinatura (arts. 14, 204 e 214).",urn:lex:br:federal:lei:1986-12-19;7565!art1_par1
"PAR","lei_7565_19861219, Art. 1º, § 2º",8,9,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES GERAIS | ] Este Código se aplica a nacionais e estrangeiros, em todo o território nacional, assim como, no exterior, até onde for admitida a sua extraterritorialidade.",urn:lex:br:federal:lei:1986-12-19;7565!art1_par2
"PAR","lei_7565_19861219, Art. 1º, § 3º",10,11,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES GERAIS | ] A legislação complementar é formada pela regulamentação prevista neste Código, pelas leis especiais, decretos e normas sobre matéria aeronáutica (art. 12).",urn:lex:br:federal:lei:1986-12-19;7565!art1_par3
"CPT","lei_7565_19861219, Art. 2º, caput",14,15,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES GERAIS | ] Para os efeitos deste Código consideram-se autoridades aeronáuticas competentes as do Ministério da Aeronáutica, conforme as atribuições definidas nos respectivos regulamentos.",urn:lex:br:federal:lei:1986-12-19;7565!art2_cpt
"CPT","lei_7565_19861219, Art. 3º, caput",20,25,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES DIREITO INTERNACIONAL PRIVADO | ] Consideram-se situadas no território do Estado de sua nacionalidade: as aeronaves militares, bem como as civis de propriedade ou a serviço do Estado, por este diretamente utilizadas (art. 107, §§ 1º e 3º); as aeronaves de outra espécie, quando em alto mar ou região que não pertença a qualquer Estado.",urn:lex:br:federal:lei:1986-12-19;7565!art3_cpt
"PAR","lei_7565_19861219, Art. 3º, Parágrafo único.",26,27,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES DIREITO INTERNACIONAL PRIVADO | ] Salvo na hipótese de estar a serviço do Estado, na forma indicada no item I deste artigo, não prevalece a extraterritorialidade em relação à aeronave privada, que se considera sujeita à lei do Estado onde se encontre.",urn:lex:br:federal:lei:1986-12-19;7565!art3_par1u
"CPT","lei_7565_19861219, Art. 4º, caput",30,31,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES DIREITO INTERNACIONAL PRIVADO | ] Os atos que, originados de aeronave, produzirem efeito no Brasil, regem-se por suas leis, ainda que iniciados no território estrangeiro.",urn:lex:br:federal:lei:1986-12-19;7565!art4_cpt
"CPT","lei_7565_19861219, Art. 5º, caput",34,35,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES DIREITO INTERNACIONAL PRIVADO | ] Os atos que, provenientes de aeronave, tiverem início no território nacional, regem-se pelas leis brasileiras, respeitadas as leis do Estado em que produzirem efeito.",urn:lex:br:federal:lei:1986-12-19;7565!art5_cpt
"CPT","lei_7565_19861219, Art. 6º, caput",38,39,"[ Dispõe sobre o Código Brasileiro de Aeronáutica. | INTRODUÇÃO | DISPOSIÇÕES DIREITO INTERNACIONAL PRIVADO | ] Os direitos reais e os privilégios de ordem privada sobre aeronaves regem-se pela lei de sua nacionalidade.",urn:lex:br:federal:lei:1986-12-19;7565!art6_cpt
