Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_5396_2005, Art. 1º, caput",2,7,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] As organizações sociais que exercem atividades de rádio e televisão educativa podem receber recursos e veicular publicidade institucional de entidades de direito público ou privado a título de: apoio cultural à organização social, seus programas, eventos ou projetos; e patrocínio de programas, eventos ou projetos.",urn:lex:br:federal:decreto:2005-03-21;5396!art1_cpt
"CPT","decreto_5396_2005, Art. 2º, caput",10,11,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] A publicidade institucional poderá ser veiculada nos intervalos de programas, eventos ou projetos, bem assim nos intervalos da programação, conforme o que for estabelecido em prévio ajuste entre o patrocinador e o patrocinado.",urn:lex:br:federal:decreto:2005-03-21;5396!art2_cpt
"CPT","decreto_5396_2005, Art. 3º, caput",14,15,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] No caso de apoio cultural a determinados programas, eventos ou projetos, é facultada a indicação da entidade apoiadora no seu início ou fim.",urn:lex:br:federal:decreto:2005-03-21;5396!art3_cpt
"CPT","decreto_5396_2005, Art. 4º, caput",18,19,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] O patrocínio poderá estar vinculado a um determinado programa ou a uma programação como um todo, a um determinado evento ou projeto ou a um conjunto de eventos ou projetos.",urn:lex:br:federal:decreto:2005-03-21;5396!art4_cpt
"PAR","decreto_5396_2005, Art. 4º, Parágrafo único.",20,21,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] O patrocínio de programas, eventos ou projetos permite, conforme prévio ajuste entre o patrocinador e o patrocinado, a divulgação de produtos, serviços ou da imagem do patrocinador no seu início, fim ou intervalos, bem como nos intervalos da programação ou de outros eventos ou projetos, desde que inserida nos seus respectivos anúncios.",urn:lex:br:federal:decreto:2005-03-21;5396!art4_par1u
"CPT","decreto_5396_2005, Art. 5º, caput",24,25,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] É vedada, nos termos do parágrafo único do art. 1º do Decreto n.º 4.799, de 4 de agosto de 2003, a publicidade institucional de entidades de direito público que, direta ou indiretamente, caracterize promoção pessoal de autoridade, servidor público, empregado público ou ocupante de cargo em comissão.",urn:lex:br:federal:decreto:2005-03-21;5396!art5_cpt
"CPT","decreto_5396_2005, Art. 6º, caput",28,29,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] É vedada às organizações sociais que exercem atividades de rádio e televisão educativa a veiculação remunerada de anúncios ou outras práticas que configurem comercialização de seus intervalos.",urn:lex:br:federal:decreto:2005-03-21;5396!art6_cpt
"CPT","decreto_5396_2005, Art. 7º, caput",32,33,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] A publicidade institucional veiculada por organizações sociais que exercem atividades de rádio e televisão educativa deverá observar o atendimento, exclusivamente, da finalidade social da atividade educativa e cultural da organização.",urn:lex:br:federal:decreto:2005-03-21;5396!art7_cpt
"CPT","decreto_5396_2005, Art. 8º, caput",36,37,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] Este Decreto entra em vigor na data de sua publicação.",urn:lex:br:federal:decreto:2005-03-21;5396!art8_cpt
"ART","decreto_5396_2005, Art. 1º",1,8,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] Art. 1º As organizações sociais que exercem atividades de rádio e televisão educativa podem receber recursos e veicular publicidade institucional de entidades de direito público ou privado a título de: I – apoio cultural à organização social, seus programas, eventos ou projetos; e II – patrocínio de programas, eventos ou projetos.",urn:lex:br:federal:decreto:2005-03-21;5396!art1
"ART","decreto_5396_2005, Art. 2º",9,12,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] Art. 2º A publicidade institucional poderá ser veiculada nos intervalos de programas, eventos ou projetos, bem assim nos intervalos da programação, conforme o que for estabelecido em prévio ajuste entre o patrocinador e o patrocinado.",urn:lex:br:federal:decreto:2005-03-21;5396!art2
"ART","decreto_5396_2005, Art. 3º",13,16,"[ Regulamenta o art. 19 da Lei nº 9.637, de 15 de maio de 1998, que dispõe sobre o recebimento de recursos e a veiculação de publicidade institucional por organizações sociais que exercem atividades de rádio e televisão educativa, e dá outras providências. | ] Art. 3º No caso de apoio cultural a determinados programas, eventos ou projetos, é facultada a indicação da entidade apoiadora no seu início ou fim.",urn:lex:br:federal:decreto:2005-03-21;5396!art3
