Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_complementar_95_19980226, Art. 1º, caput",3,4,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DISPOSIÇÕES PRELIMINARES | ] A elaboração, a redação, a alteração e a consolidação das leis obedecerão ao disposto nesta Lei Complementar.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art1_cpt
"PAR","lei_complementar_95_19980226, Art. 1º, Parágrafo único.",5,6,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DISPOSIÇÕES PRELIMINARES | ] As disposições desta Lei Complementar aplicam-se, ainda, às medidas provisórias e demais atos normativos referidos no art. 59 da Constituição Federal, bem como, no que couber, aos decretos e aos demais atos de regulamentação expedidos por órgãos do Poder Executivo.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art1_par1u
"CPT","lei_complementar_95_19980226, Art. 2º, caput",9,10,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DISPOSIÇÕES PRELIMINARES | ] (VETADO)",urn:lex:br:federal:lei.complementar:1998-02-26;95!art2_cpt
"PAR","lei_complementar_95_19980226, Art. 2º, § 1º",11,12,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DISPOSIÇÕES PRELIMINARES | ] (VETADO)",urn:lex:br:federal:lei.complementar:1998-02-26;95!art2_par1
"PAR","lei_complementar_95_19980226, Art. 2º, § 2º",13,18,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DISPOSIÇÕES PRELIMINARES | ] Na numeração das leis serão observados, ainda, os seguintes critérios: as emendas à Constituição Federal terão sua numeração iniciada a partir da promulgação da Constituição; as leis complementares, as leis ordinárias e as leis delegadas terão numeração seqüencial em continuidade às séries iniciadas em 1946.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art2_par2
"CPT","lei_complementar_95_19980226, Art. 3º, caput",24,31,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DAS TÉCNICAS DE ELABORAÇÃO, REDAÇÃO E ALTERAÇÃO DAS LEIS. | Da Estruturação das Leis | ] A lei será estruturada em três partes básicas: parte preliminar, compreendendo a epígrafe, a ementa, o preâmbulo, o enunciado do objeto e a indicação do âmbito de aplicação das disposições normativas; parte normativa, compreendendo o texto das normas de conteúdo substantivo relacionadas com a matéria regulada; parte final, compreendendo as disposições pertinentes às medidas necessárias à implementação das normas de conteúdo substantivo, às disposições transitórias, se for o caso, a cláusula de vigência e a cláusula de revogação, quando couber.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art3_cpt
"CPT","lei_complementar_95_19980226, Art. 4º, caput",34,35,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DAS TÉCNICAS DE ELABORAÇÃO, REDAÇÃO E ALTERAÇÃO DAS LEIS. | Da Estruturação das Leis | ] A epígrafe, grafada em caracteres maiúsculos, propiciará identificação numérica singular à lei e será formada pelo título designativo da espécie normativa, pelo número respectivo e pelo ano de promulgação.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art4_cpt
"CPT","lei_complementar_95_19980226, Art. 5º, caput",38,39,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DAS TÉCNICAS DE ELABORAÇÃO, REDAÇÃO E ALTERAÇÃO DAS LEIS. | Da Estruturação das Leis | ] A ementa será grafada por meio de caracteres que a realcem e explicitará, de modo conciso e sob a forma de título, o objeto da lei.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art5_cpt
"CPT","lei_complementar_95_19980226, Art. 6º, caput",42,43,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DAS TÉCNICAS DE ELABORAÇÃO, REDAÇÃO E ALTERAÇÃO DAS LEIS. | Da Estruturação das Leis | ] O preâmbulo indicará o órgão ou instituição competente para a prática do ato e sua base legal.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art6_cpt
"CPT","lei_complementar_95_19980226, Art. 7º, caput",46,55,"[ all_inclusiveRegulamentação Dispõe sobre a elaboração, a redação, alteração e a consolidação das leis, conforme determina o parágrafo único do art. 59 Constituição Federal, e estabelece normas para a consolidação dos atos normativos menciona. | DAS TÉCNICAS DE ELABORAÇÃO, REDAÇÃO E ALTERAÇÃO DAS LEIS. | Da Estruturação das Leis | ] O primeiro artigo do texto indicará o objeto da lei e o respectivo âmbito de aplicação, observados os seguintes princípios: excetuadas as codificações, cada lei tratará de um único objeto; a lei não conterá matéria estranha a seu objeto ou a este não vinculada por afinidade, pertinência ou conexão; o âmbito de aplicação da lei será estabelecido de forma tão específica quanto o possibilite o conhecimento técnico ou científico da área respectiva; o mesmo assunto não poderá ser disciplinado por mais de uma lei, exceto quando a subseqüente se destine a complementar lei considerada básica, vinculando-se a esta por remissão expressa.",urn:lex:br:federal:lei.complementar:1998-02-26;95!art7_cpt
