Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_15211_20250917, Art. 1º, caput",3,4,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DISPOSIÇÕES PRELIMINARES | ] Esta Lei dispõe sobre a proteção de crianças e de adolescentes em ambientes digitais e aplica-se a todo produto ou serviço de tecnologia da informação direcionado a crianças e a adolescentes no País ou de acesso provável por eles, independentemente de sua localização, desenvolvimento, fabricação, oferta, comercialização e operação.",urn:lex:br:federal:lei:2025-09-17;15211!art1_cpt
"PAR","lei_15211_20250917, Art. 1º, Parágrafo único.",5,12,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DISPOSIÇÕES PRELIMINARES | ] Para os fins desta Lei, considera-se acesso provável por crianças e adolescentes as seguintes situações: suficiente probabilidade de uso e atratividade do produto ou serviço de tecnologia da informação por crianças e adolescentes; considerável facilidade ao acesso e utilização do produto ou serviço de tecnologia da informação por crianças e adolescentes; e significativo grau de risco à privacidade, à segurança ou ao desenvolvimento biopsicossocial de crianças e de adolescentes, especialmente no caso de produtos ou serviços que tenham por finalidade permitir a interação social e o compartilhamento de informações em larga escala entre usuários em ambiente digital.",urn:lex:br:federal:lei:2025-09-17;15211!art1_par1u
"CPT","lei_15211_20250917, Art. 2º, caput",15,40,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DISPOSIÇÕES PRELIMINARES | ] Para os fins desta Lei, considera-se: produto ou serviço de tecnologia da informação: produto ou serviço fornecido a distância, por meio eletrônico e provido em virtude de requisição individual, tais como aplicações de internet, programas de computador, software s, sistemas operacionais de terminais, lojas de aplicações de internet e jogos eletrônicos ou similares conectados à internet ou a outra rede de comunicações; produto ou serviço de monitoramento infantil: produto ou serviço de tecnologia da informação destinado ao acompanhamento, por pais ou responsáveis legais, das ações executadas por crianças e adolescentes em ambientes digitais, a partir do registro ou da transmissão de imagens, de sons, de informações de localização, de atividade ou de outros dados; rede social: aplicação de internet que tem como principal finalidade o compartilhamento e a disseminação, pelos usuários, de opiniões e informações veiculadas por textos ou arquivos de imagens, sonoros ou audiovisuais, em uma única plataforma, por meio de contas conectadas ou acessíveis de forma articulada, permitida a conexão entre usuários; caixa de recompensa: funcionalidade disponível em certos jogos eletrônicos que permite a aquisição, mediante pagamento, pelo jogador, de itens virtuais consumíveis ou de vantagens aleatórias, resgatáveis pelo jogador ou usuário, sem conhecimento prévio de seu conteúdo ou garantia de sua efetiva utilidade; perfilamento: qualquer forma de tratamento de dados pessoais, automatizada ou não, para avaliar certos aspectos de uma pessoa natural, com o objetivo de classificá-la em grupo ou perfil de modo a fazer inferências sobre seu comportamento, situação econômica, saúde, preferências pessoais, interesses, desejos de consumo, localização geográfica, deslocamentos, posições políticas ou outras características assemelhadas; loja de aplicações de internet: aplicação de internet que distribui e facilita o download, para usuários de terminais, de aplicações de internet disponibilizadas ou tornadas acessíveis por meio de sua plataforma; sistema operacional: software de sistema que controla as funções básicas de um hardwareou software e permite que aplicações de internet, programas de computador, aplicativos ou outros software s sejam executados por meio dele; mecanismo de supervisão parental: conjunto de configurações, de ferramentas e de salvaguardas tecnológicas integradas a produtos ou serviços de tecnologia da informação direcionados a crianças e a adolescentes ou de acesso provável por eles que possibilitem aos pais ou responsáveis legais supervisionar, limitar e gerenciar o uso do serviço, o conteúdo acessado e o tratamento de dados pessoais realizado; serviço com controle editorial: aplicação de internet que tem como finalidade principal a disponibilização de conteúdos previamente selecionados, sem o uso de meios automatizados de seleção, por agente econômico responsável; autoridade administrativa autônoma de proteção dos direitos de crianças e de adolescentes no ambiente digital: entidade da administração pública criada por lei, responsável por zelar pela aplicação desta Lei e fiscalizar o seu cumprimento em todo o território nacional e por editar regulamentos e procedimentos para sua execução, a qual deve observar no processo decisório as normas previstas no Capítulo I da Lei nº 13.848, de 25 de junho de 2019; monetização: remuneração direta ou indireta de usuário de aplicação de internet pela publicação, pela postagem, pela exibição, pela disponibilização, pela transmissão, pela divulgação ou pela distribuição de conteúdo, incluída receita por visualizações, assinaturas, doações, patrocínios, publicidade ou venda de produtos e serviços vinculados; e impulsionamento: ampliação artificial do alcance, da visibilidade ou da priorização de conteúdo mediante pagamento pecuniário ou valor estimável em dinheiro.",urn:lex:br:federal:lei:2025-09-17;15211!art2_cpt
"PAR","lei_15211_20250917, Art. 2º, § 1º",41,42,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DISPOSIÇÕES PRELIMINARES | ] Aplicam-se a esta Lei os conceitos de criança e de adolescente constantes do art. 2º da Lei nº 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), e os de internet, de aplicações de internet e de terminal constantes do art. 5º da Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet).",urn:lex:br:federal:lei:2025-09-17;15211!art2_par1
"PAR","lei_15211_20250917, Art. 2º, § 2º",43,44,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DISPOSIÇÕES PRELIMINARES | ] Para os fins desta Lei, não são consideradas produtos ou serviços de tecnologia da informação as funcionalidades essenciais para o funcionamento da internet, como os protocolos e os padrões técnicos abertos e comuns que permitem a interconexão entre as redes de computadores que compõem a internet.",urn:lex:br:federal:lei:2025-09-17;15211!art2_par2
"CPT","lei_15211_20250917, Art. 3º, caput",47,48,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DISPOSIÇÕES PRELIMINARES | ] Os produtos ou serviços de tecnologia da informação direcionados a crianças e a adolescentes ou de acesso provável por eles devem garantir a proteção prioritária desses usuários, ter como parâmetro o seu melhor interesse e contar com medidas adequadas e proporcionais para assegurar um nível elevado de privacidade, de proteção de dados e de segurança, nos termos definidos nas Leis nºs 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), e 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados Pessoais).",urn:lex:br:federal:lei:2025-09-17;15211!art3_cpt
"PAR","lei_15211_20250917, Art. 3º, Parágrafo único.",49,50,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DISPOSIÇÕES PRELIMINARES | ] A criança e o adolescente têm o direito de ser educados, orientados e acompanhados por seus pais ou responsáveis legais quanto ao uso da internet e à sua experiência digital, e a estes incumbe o exercício do cuidado ativo e contínuo, por meio da utilização de ferramentas de supervisão parental adequadas à idade e ao estágio de desenvolvimento da criança e do adolescente.",urn:lex:br:federal:lei:2025-09-17;15211!art3_par1u
"CPT","lei_15211_20250917, Art. 4º, caput",55,74,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] A utilização de produtos ou serviços de tecnologia da informação por crianças e adolescentes tem como fundamentos: a garantia de sua proteção integral; a prevalência absoluta de seus interesses; a condição peculiar de pessoa em desenvolvimento biopsicossocial; a segurança contra intimidação, exploração, abuso, ameaça e outras formas de violência; o respeito à autonomia e ao desenvolvimento progressivo do indivíduo; a proteção contra a exploração comercial; a observância dos princípios estabelecidos na Lei nº 13.146, de 6 de julho de 2015 (Estatuto da Pessoa com Deficiência); a promoção da educação digital, com foco no desenvolvimento da cidadania e do senso crítico para o uso seguro e responsável da tecnologia; e a transparência e a responsabilidade no tratamento de dados pessoais de crianças e de adolescentes.",urn:lex:br:federal:lei:2025-09-17;15211!art4_cpt
"CPT","lei_15211_20250917, Art. 5º, caput",77,78,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Os produtos ou serviços de tecnologia da informação direcionados a crianças e a adolescentes ou de acesso provável por eles deverão observar os deveres de prevenção, de proteção, de informação e de segurança previstos neste Capítulo e nas Leis nºs 8.078, de 11 de setembro de 1990 (Código de Defesa do Consumidor), e 8.069, de 13 de julho de 1990 (Estatuto da Criança e do Adolescente), em conformidade com o princípio do melhor interesse da criança e do adolescente e da sua proteção integral, especial e prioritária.",urn:lex:br:federal:lei:2025-09-17;15211!art5_cpt
"PAR","lei_15211_20250917, Art. 5º, § 1º",79,80,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Os fornecedores dos produtos ou serviços de tecnologia da informação de que trata o caput deste artigo deverão adotar as medidas técnicas adequadas, inclusive mecanismos de segurança amplamente reconhecidos, que possibilitem à família e aos responsáveis legais prevenir o acesso e o uso inadequado por crianças e adolescentes.",urn:lex:br:federal:lei:2025-09-17;15211!art5_par1
"PAR","lei_15211_20250917, Art. 5º, § 2º",81,82,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Para os fins desta Lei, considera-se como expressão do melhor interesse da criança e do adolescente a proteção de sua privacidade, segurança, saúde mental e física, acesso à informação, liberdade de participação na sociedade, acesso significativo às tecnologias digitais e bem-estar.",urn:lex:br:federal:lei:2025-09-17;15211!art5_par2
"PAR","lei_15211_20250917, Art. 5º, § 3º",83,84,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] A autoridade administrativa autônoma de proteção dos direitos de crianças e de adolescentes no ambiente digital poderá emitir recomendações e orientações acerca das práticas relevantes para a consecução das obrigações previstas nesta Lei, considerados as assimetrias regulatórias, as funcionalidades e o nível de risco de cada produto ou serviço, bem como a evolução tecnológica e os padrões técnicos aplicáveis.",urn:lex:br:federal:lei:2025-09-17;15211!art5_par3
"CPT","lei_15211_20250917, Art. 6º, caput",87,100,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Os fornecedores de produtos ou serviços de tecnologia da informação direcionados a crianças e a adolescentes ou de acesso provável por eles deverão tomar medidas razoáveis desde a concepção e ao longo da operação de suas aplicações, com o objetivo de prevenir e mitigar riscos de acesso, exposição, recomendação ou facilitação de contato com os seguintes conteúdos, produtos ou práticas: exploração e abuso sexual; violência física, intimidação sistemática virtual e assédio; indução, incitação, instigação ou auxílio, por meio de instruções ou orientações, a práticas ou comportamentos que levem a danos à saúde física ou mental de crianças e de adolescentes, tais como violência física ou assédio psicológico a outras crianças e adolescentes, uso de substâncias que causem dependência química ou psicológica, autodiagnóstico e automedicação, automutilação e suicídio; promoção e comercialização de jogos de azar, apostas de quota fixa, loterias, produtos de tabaco, bebidas alcoólicas, narcóticos ou produtos de comercialização proibida a crianças e a adolescentes; práticas publicitárias predatórias, injustas ou enganosas ou outras práticas conhecidas por acarretarem danos financeiros a crianças e a adolescentes; e conteúdo pornográfico.",urn:lex:br:federal:lei:2025-09-17;15211!art6_cpt
"PAR","lei_15211_20250917, Art. 6º, § 1º",101,102,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] O disposto neste artigo não exime os pais e responsáveis legais, as pessoas que se beneficiam financeiramente da produção ou distribuição pública de qualquer representação visual de criança ou de adolescente e as autoridades administrativas, judiciárias e policiais de atuarem para impedir sua exposição às situações violadoras previstas no caput deste artigo.",urn:lex:br:federal:lei:2025-09-17;15211!art6_par1
"PAR","lei_15211_20250917, Art. 6º, § 2º",103,104,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Entre as medidas de prevenção previstas no caput deste artigo, incluem-se políticas claras, eficazes e adequadas à legislação brasileira de prevenção à intimidação sistemática virtual e a outras formas de assédio na internet, com mecanismos de apoio adequado às vítimas, bem como o desenvolvimento e a disponibilização de programas educativos de conscientização direcionados a crianças, adolescentes, pais, educadores, funcionários e equipes de suporte sobre os riscos e as formas de prevenção e de enfrentamento dessas práticas, nos termos de regulamento.",urn:lex:br:federal:lei:2025-09-17;15211!art6_par2
"CPT","lei_15211_20250917, Art. 7º, caput",107,108,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Os fornecedores de produtos ou serviços de tecnologia da informação direcionados a crianças e a adolescentes ou de acesso provável por eles deverão, desde a concepção de seus produtos e serviços, garantir, por padrão, a configuração no modelo mais protetivo disponível em relação à privacidade e à proteção de dados pessoais, considerados a autonomia e o desenvolvimento progressivo do indivíduo e justificado o melhor interesse da criança e do adolescente.",urn:lex:br:federal:lei:2025-09-17;15211!art7_cpt
"PAR","lei_15211_20250917, Art. 7º, § 1º",109,110,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] O produto ou serviço referido no caput deste artigo deverá, por padrão, operar com o grau mais elevado de proteção da privacidade e dos dados pessoais, observado que será obrigatória a disponibilização de informações claras, acessíveis e adequadas para que a criança ou o adolescente e seus responsáveis possam exercer escolhas informadas quanto à eventual adoção de configurações menos protetivas.",urn:lex:br:federal:lei:2025-09-17;15211!art7_par1
"PAR","lei_15211_20250917, Art. 7º, § 2º",111,112,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Os fornecedores de que trata o caput deste artigo deverão abster-se de realizar o tratamento dos dados pessoais de crianças e de adolescentes de forma que cause, facilite ou contribua para a violação de sua privacidade ou de quaisquer outros direitos a eles assegurados em lei, observados os princípios previstos no art. 6º da Lei nº 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados Pessoais), e o melhor interesse da criança e do adolescente.",urn:lex:br:federal:lei:2025-09-17;15211!art7_par2
"CPT","lei_15211_20250917, Art. 8º, caput",115,126,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS PRODUTOS E SERVIÇOS DE TECNOLOGIA DA INFORMAÇÃO | ] Os fornecedores de produtos ou serviços de tecnologia da informação direcionados a crianças e a adolescentes ou de acesso provável por eles deverão: realizar gerenciamento de riscos de seus recursos, funcionalidades e sistemas e de seus impactos direcionados à segurança e à saúde de crianças e de adolescentes; realizar avaliação do conteúdo disponibilizado para crianças e adolescentes de acordo com a faixa etária, para que seja compatível com a respectiva classificação indicativa; oferecer sistemas e processos projetados para impedir que crianças e adolescentes encontrem, por meio do produto ou serviço, conteúdos ilegais e pornográficos, bem como outros conteúdos manifestamente inadequados à sua faixa etária, conforme as normas de classificação indicativa e a legislação aplicável; desenvolver desde a concepção e adotar por padrão configurações que evitem o uso compulsivo de produtos ou serviços por crianças e adolescentes; e informar extensivamente a todos os usuários sobre a faixa etária indicada para o produto ou serviço no momento do acesso, conforme estabelecido pela política de classificação indicativa.",urn:lex:br:federal:lei:2025-09-17;15211!art8_cpt
"CPT","lei_15211_20250917, Art. 9º, caput",131,132,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DA VEDAÇÃO AO ACESSO DE CRIANÇAS E DE ADOLESCENTES A CONTEÚDOS E SERVIÇOS IMPRÓPRIOS, INADEQUADOS OU PROIBIDOS POR LEI | ] Os fornecedores de produtos ou serviços de tecnologia da informação que disponibilizarem conteúdo, produto ou serviço cuja oferta ou acesso seja impróprio, inadequado ou proibido para menores de 18 (dezoito) anos de idade deverão adotar medidas eficazes para impedir o seu acesso por crianças e adolescentes no âmbito de seus serviços e produtos.",urn:lex:br:federal:lei:2025-09-17;15211!art9_cpt
"PAR","lei_15211_20250917, Art. 9º, § 1º",133,134,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DA VEDAÇÃO AO ACESSO DE CRIANÇAS E DE ADOLESCENTES A CONTEÚDOS E SERVIÇOS IMPRÓPRIOS, INADEQUADOS OU PROIBIDOS POR LEI | ] Para dar efetividade ao disposto no caput, deverão ser adotados mecanismos confiáveis de verificação de idade a cada acesso do usuário ao conteúdo, produto ou serviço de que trata o caput deste artigo, vedada a autodeclaração.",urn:lex:br:federal:lei:2025-09-17;15211!art9_par1
"PAR","lei_15211_20250917, Art. 9º, § 2º",135,136,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DA VEDAÇÃO AO ACESSO DE CRIANÇAS E DE ADOLESCENTES A CONTEÚDOS E SERVIÇOS IMPRÓPRIOS, INADEQUADOS OU PROIBIDOS POR LEI | ] Para os fins desta Lei, consideram-se impróprios ou inadequados para crianças e adolescentes os produtos, serviços ou conteúdos de tecnologia da informação que contenham material pornográfico, ou quaisquer outros vedados pela legislação vigente.",urn:lex:br:federal:lei:2025-09-17;15211!art9_par2
"PAR","lei_15211_20250917, Art. 9º, § 3º",137,138,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DA VEDAÇÃO AO ACESSO DE CRIANÇAS E DE ADOLESCENTES A CONTEÚDOS E SERVIÇOS IMPRÓPRIOS, INADEQUADOS OU PROIBIDOS POR LEI | ] Os provedores de aplicações de internet que disponibilizarem conteúdo pornográfico deverão impedir a criação de contas ou de perfis por crianças e adolescentes no âmbito de seus serviços.",urn:lex:br:federal:lei:2025-09-17;15211!art9_par3
"CPT","lei_15211_20250917, Art. 10., caput",143,144,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS MECANISMOS DE AFERIÇÃO DE IDADE | ] Os fornecedores de produtos ou serviços de tecnologia da informação direcionados a crianças e a adolescentes ou de acesso provável por eles deverão adotar mecanismos para proporcionar experiências adequadas à idade, nos termos deste Capítulo, respeitadas a autonomia progressiva e a diversidade de contextos socioeconômicos brasileiros.",urn:lex:br:federal:lei:2025-09-17;15211!art10_cpt
"CPT","lei_15211_20250917, Art. 11., caput",147,148,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS MECANISMOS DE AFERIÇÃO DE IDADE | ] O poder público poderá atuar como regulador, certificador ou promotor de soluções técnicas de verificação de idade, observados os limites da legalidade, da proteção à privacidade e dos direitos fundamentais previstos em lei.",urn:lex:br:federal:lei:2025-09-17;15211!art11_cpt
"PAR","lei_15211_20250917, Art. 11., Parágrafo único.",149,150,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS MECANISMOS DE AFERIÇÃO DE IDADE | ] A atuação do poder público prevista no caput deste artigo deverá assegurar a participação social, por meio de consulta pública e de outros mecanismos de participação social, de forma a garantir transparência no processo regulatório.",urn:lex:br:federal:lei:2025-09-17;15211!art11_par1u
"CPT","lei_15211_20250917, Art. 12., caput",153,160,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS MECANISMOS DE AFERIÇÃO DE IDADE | ] Os provedores de lojas de aplicações de internet e de sistemas operacionais de terminais deverão: tomar medidas proporcionais, auditáveis e tecnicamente seguras para aferir a idade ou a faixa etária dos usuários, observados os princípios previstos no art. 6º da Lei nº 13.709, de 14 de agosto de 2018 (Lei Geral de Proteção de Dados Pessoais); permitir que os pais ou responsáveis legais configurem mecanismos de supervisão parental voluntários e supervisionem, de forma ativa, o acesso de crianças e de adolescentes a aplicativos e conteúdos; e possibilitar, por meio de Interface de Programação de Aplicações (Application Programming Interface - API) segura e pautada pela proteção da privacidade desde o padrão, o fornecimento de sinal de idade aos provedores de aplicações de internet, exclusivamente para o cumprimento das finalidades desta Lei e com salvaguardas técnicas adequadas.",urn:lex:br:federal:lei:2025-09-17;15211!art12_cpt
"PAR","lei_15211_20250917, Art. 12., § 1º",161,162,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS MECANISMOS DE AFERIÇÃO DE IDADE | ] O fornecimento de sinal de idade por meio de APIs deverá observar o princípio da minimização de dados, vedado qualquer compartilhamento contínuo, automatizado e irrestrito de dados pessoais de crianças e de adolescentes.",urn:lex:br:federal:lei:2025-09-17;15211!art12_par1
"PAR","lei_15211_20250917, Art. 12., § 2º",163,164,"[ all_inclusiveRegulamentaçãoremove_red_eyeNormas correlatas Dispõe sobre a proteção de crianças e adolescentes em ambientes digitais (Estatuto Digital da Criança e do Adolescente). | DOS MECANISMOS DE AFERIÇÃO DE IDADE | ] A autorização para download de aplicativos por crianças e adolescentes dependerá de consentimento livre e informado dos pais ou responsáveis legais, prestado nos termos da legislação vigente, respeitada a autonomia progressiva, vedada a presunção de autorização na hipótese de ausência de manifestação dos pais ou responsáveis legais.",urn:lex:br:federal:lei:2025-09-17;15211!art12_par2
