Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9784_19990129, Art. 1º, caput",3,4,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DAS DISPOSIÇÕES GERAIS | ] Esta Lei estabelece normas básicas sobre o processo administrativo no âmbito da Administração Federal direta e indireta, visando, em especial, à proteção dos direitos dos administrados e ao melhor cumprimento dos fins da Administração.",urn:lex:br:federal:lei:1999-01-29;9784!art1_cpt
"PAR","lei_9784_19990129, Art. 1º, § 1º",5,6,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DAS DISPOSIÇÕES GERAIS | ] Os preceitos desta Lei também se aplicam aos órgãos dos Poderes Legislativo e Judiciário da União, quando no desempenho de função administrativa.",urn:lex:br:federal:lei:1999-01-29;9784!art1_par1
"PAR","lei_9784_19990129, Art. 1º, § 2º",7,14,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DAS DISPOSIÇÕES GERAIS | ] Para os fins desta Lei, consideram-se: órgão - a unidade de atuação integrante da estrutura da Administração direta e da estrutura da Administração indireta; entidade - a unidade de atuação dotada de personalidade jurídica; autoridade - o servidor ou agente público dotado de poder de decisão.",urn:lex:br:federal:lei:1999-01-29;9784!art1_par2
"CPT","lei_9784_19990129, Art. 2º, caput",17,18,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DAS DISPOSIÇÕES GERAIS | ] A Administração Pública obedecerá, dentre outros, aos princípios da legalidade, finalidade, motivação, razoabilidade, proporcionalidade, moralidade, ampla defesa, contraditório, segurança jurídica, interesse público e eficiência.",urn:lex:br:federal:lei:1999-01-29;9784!art2_cpt
"PAR","lei_9784_19990129, Art. 2º, Parágrafo único.",19,46,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DAS DISPOSIÇÕES GERAIS | ] Nos processos administrativos serão observados, entre outros, os critérios de: atuação conforme a lei e o Direito; atendimento a fins de interesse geral, vedada a renúncia total ou parcial de poderes ou competências, salvo autorização em lei; objetividade no atendimento do interesse público, vedada a promoção pessoal de agentes ou autoridades; atuação segundo padrões éticos de probidade, decoro e boa-fé; divulgação oficial dos atos administrativos, ressalvadas as hipóteses de sigilo previstas na Constituição; adequação entre meios e fins, vedada a imposição de obrigações, restrições e sanções em medida superior àquelas estritamente necessárias ao atendimento do interesse público; indicação dos pressupostos de fato e de direito que determinarem a decisão; observância das formalidades essenciais à garantia dos direitos dos administrados; adoção de formas simples, suficientes para propiciar adequado grau de certeza, segurança e respeito aos direitos dos administrados; garantia dos direitos à comunicação, à apresentação de alegações finais, à produção de provas e à interposição de recursos, nos processos de que possam resultar sanções e nas situações de litígio; proibição de cobrança de despesas processuais, ressalvadas as previstas em lei; impulsão, de ofício, do processo administrativo, sem prejuízo da atuação dos interessados; interpretação da norma administrativa da forma que melhor garanta o atendimento do fim público a que se dirige, vedada aplicação retroativa de nova interpretação.",urn:lex:br:federal:lei:1999-01-29;9784!art2_par1u
"CPT","lei_9784_19990129, Art. 3º, caput",51,60,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DOS DIREITOS DOS ADMINISTRADOS | ] O administrado tem os seguintes direitos perante a Administração, sem prejuízo de outros que lhe sejam assegurados: ser tratado com respeito pelas autoridades e servidores, que deverão facilitar o exercício de seus direitos e o cumprimento de suas obrigações; ter ciência da tramitação dos processos administrativos em que tenha a condição de interessado, ter vista dos autos, obter cópias de documentos neles contidos e conhecer as decisões proferidas; formular alegações e apresentar documentos antes da decisão, os quais serão objeto de consideração pelo órgão competente; fazer-se assistir, facultativamente, por advogado, salvo quando obrigatória a representação, por força de lei.",urn:lex:br:federal:lei:1999-01-29;9784!art3_cpt
"CPT","lei_9784_19990129, Art. 4º, caput",65,74,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DOS DEVERES DO ADMINISTRADO | ] São deveres do administrado perante a Administração, sem prejuízo de outros previstos em ato normativo: expor os fatos conforme a verdade; proceder com lealdade, urbanidade e boa-fé; não agir de modo temerário; prestar as informações que lhe forem solicitadas e colaborar para o esclarecimento dos fatos.",urn:lex:br:federal:lei:1999-01-29;9784!art4_cpt
"CPT","lei_9784_19990129, Art. 5º, caput",79,80,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DO INÍCIO DO PROCESSO | ] O processo administrativo pode iniciar-se de ofício ou a pedido de interessado.",urn:lex:br:federal:lei:1999-01-29;9784!art5_cpt
"CPT","lei_9784_19990129, Art. 6º, caput",83,94,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DO INÍCIO DO PROCESSO | ] O requerimento inicial do interessado, salvo casos em que for admitida solicitação oral, deve ser formulado por escrito e conter os seguintes dados: órgão ou autoridade administrativa a que se dirige; identificação do interessado ou de quem o represente; domicílio do requerente ou local para recebimento de comunicações; formulação do pedido, com exposição dos fatos e de seus fundamentos; data e assinatura do requerente ou de seu representante.",urn:lex:br:federal:lei:1999-01-29;9784!art6_cpt
"PAR","lei_9784_19990129, Art. 6º, Parágrafo único.",95,96,"[ Regula o processo administrativo no âmbito da Administração Pública Federal. | DO INÍCIO DO PROCESSO | ] É vedada à Administração a recusa imotivada de recebimento de documentos, devendo o servidor orientar o interessado quanto ao suprimento de eventuais falhas.",urn:lex:br:federal:lei:1999-01-29;9784!art6_par1u
