Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anpd_2_2022, Art. 1º, caput",2,3,"[ Aprova o Regulamento de aplicação da Lei nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), para agentes de tratamento de pequeno porte. | ] Aprovar o Regulamento de aplicação da Lei nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), para agentes de tratamento de pequeno porte.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!art1_cpt
"CPT","res_anpd_2_2022, Art. 2º, caput",6,7,"[ Aprova o Regulamento de aplicação da Lei nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), para agentes de tratamento de pequeno porte. | ] Esta Resolução entra em vigor na data de sua publicação. WALDEMAR GONÇALVES ORTUNHO JUNIOR Diretor-Presidente",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!art2_cpt
"ART","res_anpd_2_2022, Art. 1º",1,4,"[ Aprova o Regulamento de aplicação da Lei nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), para agentes de tratamento de pequeno porte. | ] Art. 1º Aprovar o Regulamento de aplicação da Lei nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), para agentes de tratamento de pequeno porte.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!art1
"ART","res_anpd_2_2022, Art. 2º",5,8,"[ Aprova o Regulamento de aplicação da Lei nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), para agentes de tratamento de pequeno porte. | ] Art. 2º Esta Resolução entra em vigor na data de sua publicação. WALDEMAR GONÇALVES ORTUNHO JUNIOR Diretor-Presidente",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!art2
