Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9472_19970716, Art. 1º, caput",3,4,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] Compete à União, por intermédio do órgão regulador e nos termos das políticas estabelecidas pelos Poderes Executivo e Legislativo, organizar a exploração dos serviços de telecomunicações.",urn:lex:br:federal:lei:1997-07-16;9472!art1_cpt
"PAR","lei_9472_19970716, Art. 1º, Parágrafo único.",5,6,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] A organização inclui, entre outros aspectos, o disciplinamento e a fiscalização da execução, comercialização e uso dos serviços e da implantação e funcionamento de redes de telecomunicações, bem como da utilização dos recursos de órbita e espectro de radiofreqüências.",urn:lex:br:federal:lei:1997-07-16;9472!art1_par1u
"CPT","lei_9472_19970716, Art. 2º, caput",9,24,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] O Poder Público tem o dever de: garantir, a toda a população, o acesso às telecomunicações, a tarifas e preços razoáveis, em condições adequadas; estimular a expansão do uso de redes e serviços de telecomunicações pelos serviços de interesse público em benefício da população brasileira; adotar medidas que promovam a competição e a diversidade dos serviços, incrementem sua oferta e propiciem padrões de qualidade compatíveis com a exigência dos usuários; fortalecer o papel regulador do Estado; criar oportunidades de investimento e estimular o desenvolvimento tecnológico e industrial, em ambiente competitivo; criar condições para que o desenvolvimento do setor seja harmônico com as metas de desenvolvimento social do País; criar condições para ampliação da conectividade e da inclusão digital, priorizando a cobertura de estabelecimentos públicos de ensino. (Inciso acrescido pela Lei nº 14.173, de 15.6.2021)",urn:lex:br:federal:lei:1997-07-16;9472!art2_cpt
"CPT","lei_9472_19970716, Art. 3º, caput",27,52,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] O usuário de serviços de telecomunicações tem direito: de acesso aos serviços de telecomunicações, com padrões de qualidade e regularidade adequados à sua natureza, em qualquer ponto do território nacional; à liberdade de escolha de sua prestadora de serviço; de não ser discriminado quanto às condições de acesso e fruição do serviço; à informação adequada sobre as condições de prestação dos serviços, suas tarifas e preços; à inviolabilidade e ao segredo de sua comunicação, salvo nas hipóteses e condições constitucional e legalmente previstas; à não divulgação, caso o requeira, de seu código de acesso; à não suspensão de serviço prestado em regime público, salvo por débito diretamente decorrente de sua utilização ou por descumprimento de condições contratuais; ao prévio conhecimento das condições de suspensão do serviço; ao respeito de sua privacidade nos documentos de cobrança e na utilização de seus dados pessoais pela prestadora do serviço; de resposta às suas reclamações pela prestadora do serviço; de peticionar contra a prestadora do serviço perante o órgão regulador e os organismos de defesa do consumidor; à reparação dos danos causados pela violação de seus direitos.",urn:lex:br:federal:lei:1997-07-16;9472!art3_cpt
"PAR","lei_9472_19970716, Art. 3º, Parágrafo único.",53,54,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] Para o cumprimento do disposto no inciso IV do caput deste artigo, a prestadora de serviço deverá divulgar em seu sítio eletrônico, de forma clara e de fácil compreensão pelos usuários, tabela com o valor das tarifas e preços praticados e a evolução dos reajustes realizados nos últimos cinco anos. (Parágrafo único acrescido pela Lei nº 13.673, de 5.6.2018)",urn:lex:br:federal:lei:1997-07-16;9472!art3_par1u
"CPT","lei_9472_19970716, Art. 4º, caput",57,64,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] O usuário de serviços de telecomunicações tem o dever de: utilizar adequadamente os serviços, equipamentos e redes de telecomunicações; respeitar os bens públicos e aqueles voltados à utilização do público em geral; comunicar às autoridades irregularidades ocorridas e atos ilícitos cometidos por prestadora de serviço de telecomunicações.",urn:lex:br:federal:lei:1997-07-16;9472!art4_cpt
"CPT","lei_9472_19970716, Art. 5º, caput",67,68,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] Na disciplina das relações econômicas no setor de telecomunicações observar-se-ão, em especial, os princípios constitucionais da soberania nacional, função social da propriedade, liberdade de iniciativa, livre concorrência, defesa do consumidor, redução das desigualdades regionais e sociais, repressão ao abuso do poder econômico e continuidade do serviço prestado no regime público.",urn:lex:br:federal:lei:1997-07-16;9472!art5_cpt
"CPT","lei_9472_19970716, Art. 6º, caput",71,72,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] Os serviços de telecomunicações serão organizados com base no princípio da livre, ampla e justa competição entre todas as prestadoras, devendo o Poder Público atuar para propiciá-la, bem como para corrigir os efeitos da competição imperfeita e reprimir as infrações da ordem econômica.",urn:lex:br:federal:lei:1997-07-16;9472!art6_cpt
"CPT","lei_9472_19970716, Art. 7º, caput",75,76,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] As normas gerais de proteção à ordem econômica são aplicáveis ao setor de telecomunicações. (“Caput” do artigo com redação dada pela Lei nº 13.848, de 25.6.2019, publicada no DOU de 26.6.2019, em vigor 90 dias após a publicação)",urn:lex:br:federal:lei:1997-07-16;9472!art7_cpt
"PAR","lei_9472_19970716, Art. 7º, § 1º",77,78,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] Os atos envolvendo prestadora de serviço de telecomunicações, no regime público ou privado, que visem a qualquer forma de concentração econômica, inclusive mediante fusão ou incorporação de empresas, constituição de sociedade para exercer o controle de empresas ou qualquer forma de agrupamento societário, ficam submetidos aos controles, procedimentos e condicionamentos previstos nas normas gerais de proteção à ordem econômica.",urn:lex:br:federal:lei:1997-07-16;9472!art7_par1
"PAR","lei_9472_19970716, Art. 7º, § 2º",79,80,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] Os atos de que trata o § 1º serão submetidos à aprovação do Conselho Administrativo de Defesa Econômica (Cade). (Parágrafo com redação dada pela Lei nº 13.848, de 25.6.2019, publicada no DOU de 26.6.2019, em vigor 90 dias após a publicação)",urn:lex:br:federal:lei:1997-07-16;9472!art7_par2
"PAR","lei_9472_19970716, Art. 7º, § 3º",81,82,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DOS PRINCÍPIOS FUNDAMENTAIS | ] Praticará infração da ordem econômica a prestadora de serviço de telecomunicações que, na celebração de contratos de fornecimento de bens e serviços, adotar práticas que possam limitar, falsear ou, de qualquer forma, prejudicar a livre concorrência ou a livre iniciativa.",urn:lex:br:federal:lei:1997-07-16;9472!art7_par3
"CPT","lei_9472_19970716, Art. 8º, caput",88,89,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DO ÓRGÃO REGULADOR E DAS POLÍTICAS SETORIAIS | DA CRIAÇÃO DO ÓRGÃO REGULADOR | ] Fica criada a Agência Nacional de Telecomunicações, entidade integrante da Administração Pública Federal indireta, submetida a regime autárquico especial e vinculada ao Ministério das Comunicações, com a função de órgão regulador das telecomunicações, com sede no Distrito Federal, podendo estabelecer unidades regionais.",urn:lex:br:federal:lei:1997-07-16;9472!art8_cpt
"PAR","lei_9472_19970716, Art. 8º, § 1º",90,91,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DO ÓRGÃO REGULADOR E DAS POLÍTICAS SETORIAIS | DA CRIAÇÃO DO ÓRGÃO REGULADOR | ] A Agência terá como órgão máximo o Conselho Diretor, devendo contar, também, com um Conselho Consultivo, uma Procuradoria, uma Corregedoria, uma Biblioteca e uma Ouvidoria, além das unidades especializadas incumbidas de diferentes funções.",urn:lex:br:federal:lei:1997-07-16;9472!art8_par1
"PAR","lei_9472_19970716, Art. 8º, § 2º",92,93,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DO ÓRGÃO REGULADOR E DAS POLÍTICAS SETORIAIS | DA CRIAÇÃO DO ÓRGÃO REGULADOR | ] A natureza de autarquia especial conferida à Agência é caracterizada por independência administrativa, ausência de subordinação hierárquica, mandato fixo e estabilidade de seus dirigentes e autonomia financeira.",urn:lex:br:federal:lei:1997-07-16;9472!art8_par2
"CPT","lei_9472_19970716, Art. 9º, caput",96,97,"[ Dispõe sobre a organização dos serviços de telecomunicações, a criação e funcionamento de um órgão regulador e outros aspectos institucionais, nos termos da Emenda Constitucional nº 8, de 1995. | DO ÓRGÃO REGULADOR E DAS POLÍTICAS SETORIAIS | DA CRIAÇÃO DO ÓRGÃO REGULADOR | ] A Agência atuará como autoridade administrativa independente, assegurando-se-lhe, nos termos desta Lei, as prerrogativas necessárias ao exercício adequado de sua competência.",urn:lex:br:federal:lei:1997-07-16;9472!art9_cpt
