Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anatel_612_2015.anexo1, Art. 1º, caput",269,270,"[ DAS DISPOSIÇÕES GERAIS | ] Este Regimento dispõe sobre a organização e o funcionamento da Agência Nacional de Telecomunicações – Anatel, em observância ao disposto nos arts. 19, XXVII, e 22, X, da Lei Geral de Telecomunicações – LGT, Lei nº 9.472, de 16 de julho de 1997, e nos arts. 16, XXVIII, e 35, VIII de seu Regulamento, aprovado pelo Decreto nº 2.338, de 7 de outubro de 1997.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art1_cpt
"PAR","res_anatel_612_2015.anexo1, Art. 1º, Parágrafo único.",271,272,"[ DAS DISPOSIÇÕES GERAIS | ] Na condição de órgão regulador, compete à Agência organizar a exploração dos serviços de telecomunicações, em especial quanto aos aspectos de regulamentação e de seu acompanhamento, outorga de concessão e permissão, expedição de autorização, uso dos recursos de órbita e de radiofrequências, fiscalização e aplicação de sanções.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art1_par1u
"CPT","res_anatel_612_2015.anexo1, Art. 2º, caput",277,278,"[ DO CONSELHO DIRETOR | ] O Conselho Diretor é o órgão máximo da Anatel, composto por cinco Conselheiros, dentre os quais um será nomeado Presidente, nos termos do Regulamento da Agência.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art2_cpt
"CPT","res_anatel_612_2015.anexo1, Art. 3º, caput",282,283,"[ DO CONSELHO DIRETOR | Das Obrigações dos Conselheiros | ] O Conselheiro manifesta seu entendimento por meio de voto, não lhe sendo permitido abster-se da votação de nenhuma matéria, ressalvados os casos de impedimento e suspeição, nos termos dos artigos 48 e 49 deste Regimento.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art3_cpt
"PAR","res_anatel_612_2015.anexo1, Art. 3º, § 1º",284,285,"[ DO CONSELHO DIRETOR | Das Obrigações dos Conselheiros | ] Obtido o quórum de deliberação, a ausência de Conselheiro não impedirá o encerramento da votação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art3_par1
"PAR","res_anatel_612_2015.anexo1, Art. 3º, § 2º",286,287,"[ DO CONSELHO DIRETOR | Das Obrigações dos Conselheiros | ] O Conselheiro que impedir, injustificadamente, por mais de 30 (trinta) dias a partir da entrada da matéria em pauta, a deliberação do Conselho Diretor, mediante pedido de vista ou outro expediente de caráter protelatório, terá suspenso o pagamento de seus vencimentos até que profira seu voto, sem prejuízo da sanção disciplinar cabível.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art3_par2
"PAR","res_anatel_612_2015.anexo1, Art. 3º, § 3º",288,289,"[ DO CONSELHO DIRETOR | Das Obrigações dos Conselheiros | ] A ausência injustificada de Conselheiro à Sessão ou à Reunião ou, ainda, a não manifestação em Circuito Deliberativo, será considerada como expediente protelatório quando impedir a deliberação do Conselho Diretor por mais de 30 (trinta) dias.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art3_par3
"PAR","res_anatel_612_2015.anexo1, Art. 3º, § 4º",290,291,"[ DO CONSELHO DIRETOR | Das Obrigações dos Conselheiros | ] Quando incumbido da função de Relator de matéria perante o Conselho Diretor, o Conselheiro deverá apresentar Análise contendo relato do processo e voto nos termos do § 5º deste artigo.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art3_par4
"PAR","res_anatel_612_2015.anexo1, Art. 3º, § 5º",292,293,"[ DO CONSELHO DIRETOR | Das Obrigações dos Conselheiros | ] Os votos serão motivados, contendo resumo em forma de ementa, e fundamentação clara e congruente, admitida a declaração de concordância com fundamentos de anteriores pareceres, informações, decisões ou propostas que, nesse caso, farão parte do voto.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art3_par5
"CPT","res_anatel_612_2015.anexo1, Art. 4º, caput",296,297,"[ DO CONSELHO DIRETOR | Das Obrigações dos Conselheiros | ] Os Conselheiros deverão publicar na página da Agência na Internet, diariamente, suas agendas de audiências concedidas a particulares, observado o disposto na legislação específica.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art4_cpt
"CPT","res_anatel_612_2015.anexo1, Art. 5º, caput",303,304,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] As deliberações do Conselho Diretor serão tomadas em Sessões, Reuniões ou Circuitos Deliberativos, por maioria absoluta de seus membros.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art5_cpt
"PAR","res_anatel_612_2015.anexo1, Art. 5º, § 1º",305,306,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] O cômputo das deliberações do Conselho Diretor levará em conta os votos já proferidos por Conselheiros que estejam ausentes ou cujo mandato já se tenha encerrado.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art5_par1
"PAR","res_anatel_612_2015.anexo1, Art. 5º, § 2º",307,308,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] Não participará da deliberação o Conselheiro substituto ou sucessor daquele que já tenha proferido voto sobre a matéria.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art5_par2
"PAR","res_anatel_612_2015.anexo1, Art. 5º, § 3º",309,310,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] Por deliberação do Conselho Diretor, a regra prevista no § 1º deste artigo poderá ser excepcionada se o contexto decisório tiver sido alterado por supervenientes fatos, provas ou circunstâncias.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art5_par3
"PAR","res_anatel_612_2015.anexo1, Art. 5º, § 4º",311,312,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] Serão publicados no Diário Oficial da União a íntegra dos atos normativos e o extrato das demais decisões do Conselho Diretor, os quais também serão publicados na página da Agência na Internet. (Incluído pela Resolução nº 687, de 07 de novembro de 2017)",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art5_par4
"PAR","res_anatel_612_2015.anexo1, Art. 5º, § 5º",313,314,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] Os extratos das decisões do Conselho Diretor a serem publicados no Diário Oficial da União, mencionados no § 4º, compreenderão o número do ato, número do processo, interessado e resumo da deliberação. (Incluído pela Resolução nº 687, de 07 de novembro de 2017)",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art5_par5
"CPT","res_anatel_612_2015.anexo1, Art. 6º, caput",317,318,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] Se os votos forem divergentes, de modo a não haver maioria para qualquer solução, reabrir-se-ão os debates, colhendo-se novamente os votos.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art6_cpt
"PAR","res_anatel_612_2015.anexo1, Art. 6º, § 1º",319,320,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] Se, em relação a determinada parte do pedido, não se puder formar a maioria, em virtude de divergência quantitativa, o Presidente disporá os diversos votos, com as quantidades que cada qual indicar, em ordem decrescente de grandeza, prevalecendo a quantidade que, com as que lhe forem superiores ou iguais, reunir votos em número suficiente para construir a maioria deliberativa.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art6_par1
"PAR","res_anatel_612_2015.anexo1, Art. 6º, § 2º",321,326,"[ DO CONSELHO DIRETOR | Das Deliberações e do Funcionamento | Das Disposições Gerais | ] Em havendo divergência qualitativa, o Presidente poderá adotar uma das seguintes providências, conforme recomendarem as circunstâncias: na hipótese de os votos se dividirem entre mais de duas interpretações, proceder-se-á a segunda votação, restrita à escolha de uma entre as duas interpretações anteriormente mais votadas; se na votação da questão global, insuscetível de decomposição, ou das questões distintas, três ou mais opiniões se formarem, serão as soluções votadas duas a duas, de tal forma que a vencedora será posta em votação com as restantes, até se fixar, das duas últimas, a que constituirá a decisão.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2013-04-29;612!anexo1!art6_par2
