Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_4117_19620827, Art. 60., caput",639,644,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A aplicação das penas desta Lei compete: ao CONTEL: multa e suspensão, em qualquer caso, cassação, quando se tratar de permissão; ao Presidente da República: cassação, mediante representação do CONTEL em parecer fundamentado. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art60_cpt
"CPT","lei_4117_19620827, Art. 61., caput",647,654,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A pena será imposta de acordo com a infração cometida, considerados os seguintes fatores: gravidade da falta; antecedentes da entidade faltosa; reincidência específica. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art61_cpt
"CPT","lei_4117_19620827, Art. 62., caput",657,658,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A pena de multa poderá ser aplicada por infração de qualquer dispositivo legal, ou quando a concessionária ou permissionária não houver cumprido, dentro do prazo estipulado, exigência que tenha sido feita pela CONTEL. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art62_cpt
"CPT","lei_4117_19620827, Art. 63., caput",661,674,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A pena de suspensão poderá ser aplicada nos seguintes casos: infração dos artigos 38, alíneas a, b, c, e, g e h ; 53, 57, 71 e seus parágrafos; infração à liberdade de manifestação do pensamento e de informação (Lei número 5.250 de 9 de fevereiro de 1967). quando a concessionária ou permissionária não houver cumprido, dentro do prazo estipulado, exigência que lhe tenha sido feita pelo CONTEL; quando seja criada situação de perigo de vida; utilização de equipamentos diversos dos aprovados ou instalações fora das especificações técnicas constantes da portaria que as tenha aprovado; execução de serviço para o qual não está autorizado.",urn:lex:br:federal:lei:1962-08-27;4117!art63_cpt
"PAR","lei_4117_19620827, Art. 63., Parágrafo único.",675,676,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] No caso das letras d, e e f deste artigo, poderá ser determinada a interrupção do serviço pelo agente fiscalizador, ""ad-referendum"" do CONTEL. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art63_par1u
"CPT","lei_4117_19620827, Art. 64., caput",679,694,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A pena de cassação poderá ser imposta nos seguintes casos: infringência do artigo 53; reincidência em infração anteriormente punida com suspensão; interrupção do funcionamento por mais de trinta (30) dias consecutivos, exceto quando tenha, para isso, obtido autorização prévia do CONTEL; superveniência da incapacidade legal, técnica, financeira ou econômica para execução dos serviços da concessão ou permissão; não haver a concessionária ou permissionária, no prazo estipulado, corrigido as irregularidades motivadoras da suspensão anteriormente imposta; não haver a concessionária ou permissionária cumprido as exigências e prazos estipulados, até o licenciamento definitivo de sua estação. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967) não-observância, pela concessionária ou permissionária, das disposições contidas no art. 222, caput e seus §§ 1º e 2º, da Constituição. (Alínea acrescida pela Medida Provisória nº 70, de 1.10.2002 convertida na Lei nº 10.610, de 23.12.2002)",urn:lex:br:federal:lei:1962-08-27;4117!art64_cpt
"CPT","lei_4117_19620827, Art. 65., caput",697,698,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] O CONTEL promoverá as medidas cabíveis, punindo ou propondo a punição, por iniciativa própria ou sempre que receber representação de qualquer autoridade. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art65_cpt
"CPT","lei_4117_19620827, Art. 65-A., caput",701,708,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A edição de nova norma com impacto em infrações ou penalizações de serviços de radiodifusão, seus ancilares e auxiliares apenas se aplica aos processos pendentes de julgamento definitivo quando: a infração deixar de existir; a nova penalidade for menos severa do que a prevista na norma vigente ao tempo da sua prática; ou a pessoa jurídica outorgada for, por qualquer forma, beneficiada. (Artigo acrescido pela Lei nº 14.351, de 25.5.2022)",urn:lex:br:federal:lei:1962-08-27;4117!art65-1_cpt
"CPT","lei_4117_19620827, Art. 66., caput",711,712,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] Antes de decidir da aplicação de qualquer das penalidades previstas, o CONTEL notificará a interessada para exercer o direito de defesa, dentro do prazo de 5 (cinco) dias, contados do recebimento da notificação.",urn:lex:br:federal:lei:1962-08-27;4117!art66_cpt
"PAR","lei_4117_19620827, Art. 66., § 1º",713,714,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A repetição da falta no período decorrido entre o recebimento da notificação e a tomada de decisão, será considerada como reincidência e, no caso das transgressões citadas no artigo 53, o Presidente do CONTEL suspenderá a emissora provisoriamente.",urn:lex:br:federal:lei:1962-08-27;4117!art66_par1
"PAR","lei_4117_19620827, Art. 66., § 2º",715,746,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] Quando a representação for feita por uma das autoridades a seguir relacionadas, o Presidente do CONTEL verificará ""in limine"" sua procedência, podendo deixar de ser feita a notificação a que se refere este artigo: Em todo o território nacional: Mesa da Câmara dos Deputados ou do Senado Federal; Presidente do Supremo Tribunal Federal; Ministros de Estado; Secretário Geral do Conselho de Segurança Nacional; Procurador Geral da República; Chefe do Estado Maior das Forças Armadas. Nos Estados: Mesa da Assembléia Legislativa; Presidente do Tribunal de Justiça; Secretário de assuntos relativos à Justiça; Chefe do Ministério Público Estadual. Nos Municípios: Mesa da Câmara Municipal; Prefeito Municipal. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art66_par2
"CPT","lei_4117_19620827, Art. 67., caput",749,750,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A perempção da concessão ou autorização será declarada pelo Presidente da República, precedendo parecer do Conselho Nacional de Telecomunicações, se a concessionária ou permissionária decair do direito à renovação.",urn:lex:br:federal:lei:1962-08-27;4117!art67_cpt
"PAR","lei_4117_19620827, Art. 67., Parágrafo único.",751,752,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] O direito à renovação decorre do cumprimento pela empresa, de seu contrato de concessão ou permissão, das exigências legais e regulamentares, bem como das finalidades educacionais, culturais e morais a que se obrigou, e de persistirem a possibilidade técnica e o interesse público em sua existência. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art67_par1u
"CPT","lei_4117_19620827, Art. 68., caput",755,760,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A caducidade da concessão ou da autorização será declarada pelo Presidente da República, precedendo parecer do Conselho Nacional de Telecomunicações, nos seguintes casos: quando a concessão ou a autorização decorra de convênio com outro país, cuja denúncia a torne inexeqüível; quando expirarem os prazos de concessão ou autorização decorrente de convênio com outro país, sendo inviável a prorrogação.",urn:lex:br:federal:lei:1962-08-27;4117!art68_cpt
"PAR","lei_4117_19620827, Art. 68., Parágrafo único.",761,762,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A declaração de caducidade só se dará se for impossível evitá-la por convênio com qualquer país ou por inexistência comprovada de freqüência no Brasil que possa ser atribuída à concessionária ou permissionária, a fim de que não cesse seu funcionamento. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art68_par1u
"CPT","lei_4117_19620827, Art. 69., caput",765,766,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A declaração da perempção ou da caducidade, quando viciada por ilegalidade, abuso do poder ou pela desconformidade com os fins ou motivos alegados, titulará o prejudicado a postular reparação do seu direito perante o Judiciário. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art69_cpt
"CPT","lei_4117_19620827, Art. 70., caput",769,770,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] Constitui crime punível com a pena de detenção de 1 (um) a 2 (dois) anos, aumentada da metade se houver dano a terceiro, a instalação ou utilização de telecomunicações, sem observância do disposto nesta Lei e nos regulamentos.",urn:lex:br:federal:lei:1962-08-27;4117!art70_cpt
"PAR","lei_4117_19620827, Art. 70., Parágrafo único.",771,772,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] Precedendo ao processo penal, para os efeitos referidos neste artigo, será liminarmente procedida a busca e apreensão da estação ou aparelho ilegal. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art70_par1u
"CPT","lei_4117_19620827, Art. 71., caput",775,776,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] Toda irradiação será gravada e mantida em arquivo durante as 24 horas subsequentes ao encerramento dos trabalhos diários de emissora.",urn:lex:br:federal:lei:1962-08-27;4117!art71_cpt
"PAR","lei_4117_19620827, Art. 71., § 1º",777,778,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] As emissoras de televisão poderão gravar apenas o som dos programas transmitidos.",urn:lex:br:federal:lei:1962-08-27;4117!art71_par1
"PAR","lei_4117_19620827, Art. 71., § 2º",779,780,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] As emissoras deverão conservar em seus arquivos os textos dos programas, inclusive noticiosos, devidamente autenticados pelos responsáveis, durante 60 (sessenta) dias.",urn:lex:br:federal:lei:1962-08-27;4117!art71_par2
"PAR","lei_4117_19620827, Art. 71., § 3º",781,782,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] As gravações dos programas políticos, de debates, entrevistas, pronunciamentos da mesma natureza e qualquer irradiação não registrada em texto, deverão ser conservados em arquivo pelo prazo de 20 (vinte) dias depois de transmitidas, para as concessionárias até 1 kw e 30 (trinta) dias para as demais.",urn:lex:br:federal:lei:1962-08-27;4117!art71_par3
"PAR","lei_4117_19620827, Art. 71., § 4º",783,784,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] As transmissões compulsoriamente estatuídas por lei serão gravadas em material fornecido pelos interessados. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art71_par4
"CPT","lei_4117_19620827, Art. 72., caput",787,788,"[ Institui o Código Brasileiro de Telecomunicações. | DAS INFRAÇÕES E PENALIDADES | ] A autoridade que impedir ou embaraçar a liberdade da radiodifusão ou da televisão fora dos casos autorizados em lei, incidirá no que couber, na sanção do artigo 322 do Código Penal. (Artigo com redação dada pelo Decreto-Lei nº 236, de 28.2.1967) Arts. 73 a 99. (Revogados pelo Decreto-Lei nº 236, de 28.2.1967)",urn:lex:br:federal:lei:1962-08-27;4117!art72_cpt
"CPT","lei_4117_19620827, Art. 100., caput",793,794,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] A execução de qualquer serviço de telecomunicações, por meio de concessão, autorização ou permissão, está sujeita ao pagamento de taxas cujo valor será fixado em lei. (Expressão “cujo valor será fixado em lei” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art100_cpt
"CPT","lei_4117_19620827, Art. 101., caput",797,804,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Os critérios para determinação da tarifa dos serviços de telecomunicações, excluídas as referentes à Radiodifusão, serão fixados pelo Conselho Nacional de Telecomunicações de modo a permitirem: cobertura das despesas de custeio; justa remuneração do capital; melhoramentos e expansão dos serviços (Constituição, art. 151, parágrafo único).",urn:lex:br:federal:lei:1962-08-27;4117!art101_cpt
"PAR","lei_4117_19620827, Art. 101., § 1º",805,806,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] As tarifas dos serviços internacionais obedecerão aos mesmos princípios deste artigo, observando-se o que estiver ou vier a ser estabelecido em acordos e convenções a que o Brasil esteja obrigado.",urn:lex:br:federal:lei:1962-08-27;4117!art101_par1
"PAR","lei_4117_19620827, Art. 101., § 2º",807,808,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Nenhuma tarifa entrará em vigor sem prévia aprovação pelo Conselho Nacional de Telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art101_par2
"CPT","lei_4117_19620827, Art. 102., caput",811,812,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] A parte da tarifa que se destinar a melhoramentos e expansão dos serviços de telecomunicações, de que trata o art. 101, letra ""c"" , será escriturada em rubrica especial na contabilidade da empresa.",urn:lex:br:federal:lei:1962-08-27;4117!art102_cpt
"CPT","lei_4117_19620827, Art. 103., caput",815,828,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Não poderão ser incluídos na composição do custo do serviço, para efeito da revisão ou fixação tarifária: despesas de publicidade das concessionárias e permissionárias; assistência técnica devida a empresas que pertençam a holding , de que faça parte também a concessionária ou permissionária; honorários advocatícios, ou despesas com pareceres, quando a empresa possua órgãos técnicos permanentes para o serviço forense; despesa com peritos da parte, sempre que no quadro da empresa figurem pessoas habilitadas para a perícia em questão; vencimentos de diretores ou chefes de serviços, no que vierem a exceder a remuneração atribuída, no serviço federal, ao Ministro de Estado; despesas não cobradas com serviços de qualquer natureza que a lei não haja tornado gratuitos ou que não tenham sido dispensados de pagamento em resolução do Conselho Nacional de Telecomunicações, publicada no Diário Oficial .",urn:lex:br:federal:lei:1962-08-27;4117!art103_cpt
"PAR","lei_4117_19620827, Art. 103., Parágrafo único.",829,830,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] A publicação de editais ou de notícias de evidente interesse público, não se incluirá na redação da letra ""a"" desde que previamente autorizada pelo Conselho Nacional de Telecomunicações e distribuída uniformemente por todos os jornais diários.",urn:lex:br:federal:lei:1962-08-27;4117!art103_par1u
"CPT","lei_4117_19620827, Art. 104., caput",833,834,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Será adotada tarifa especial para os programas educativos dos Estados, Municípios e Distrito Federal, assim como para as instalações privadas de ensino e de cultura.",urn:lex:br:federal:lei:1962-08-27;4117!art104_cpt
"CPT","lei_4117_19620827, Art. 105., caput",837,838,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Na ocorrência de novas modalidades do serviço, poderá o Governo até que a lei disponha a respeito, adotar taxas e tarifas provisórias, calculadas na base das que são cobradas em serviço análogo ou fixadas para a espécie em regulamento internacional. (Expressão “e tarifas” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art105_cpt
"CPT","lei_4117_19620827, Art. 106., caput",841,842,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] A tarifa do serviço telegráfico público interior será constituída de uma taxa fixa por grupo de palavras ou fração, e de taxa de percurso por palavra. A tarifa dos serviços telefônicos, de foto-telegramas, de telex e outros congêneres, terá por base a ocupação do circuito e a distância entre as estações. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art106_cpt
"CPT","lei_4117_19620827, Art. 107., caput",845,846,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] No serviço telegráfico público internacional a União terá direito às taxas de terminal e de trânsito brasileiras.",urn:lex:br:federal:lei:1962-08-27;4117!art107_cpt
"CPT","lei_4117_19620827, Art. 108., caput",849,856,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Em relação à que for cobrada pela União em serviço interior idêntico, a tarifa dos concessionários e permissionários, deverá ser: igual, no serviço telegráfico das estradas de ferro; nunca inferior nos casos de serviço público restrito interior; sempre mais elevada, nos demais casos.",urn:lex:br:federal:lei:1962-08-27;4117!art108_cpt
"CPT","lei_4117_19620827, Art. 109., caput",859,860,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] No serviço público telegráfico interior em tráfego mútuo entre redes da União e de estradas de ferro, a pró-rateação das taxas obedecerá ao que for estipulado pelo Conselho Nacional de Telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art109_cpt
"PAR","lei_4117_19620827, Art. 109., Parágrafo único.",861,862,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Os convênios serão aprovados pelo Conselho Nacional de Telecomunicações e o rateio das taxas obedecerá às normas por ele estabelecidas.",urn:lex:br:federal:lei:1962-08-27;4117!art109_par1u
"CPT","lei_4117_19620827, Art. 110., caput",865,866,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Nos serviços de telegramas e radiocomunicações de múltiplos destinos será cobrada a tarifa que vigorar para a imprensa.",urn:lex:br:federal:lei:1962-08-27;4117!art110_cpt
"CPT","lei_4117_19620827, Art. 111., caput",869,870,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] A tarifa dos radiotelegramas internacionais será estabelecida segundo os respectivos regulamentos, considerando-se, porém, serviço público interior para esse efeito os radiotelegramas diretamente permutados entre as estações brasileiras fixas ou móveis e as estações brasileiras móveis que se acharem fora da jurisdição territorial do Brasil.",urn:lex:br:federal:lei:1962-08-27;4117!art111_cpt
"CPT","lei_4117_19620827, Art. 112., caput",873,874,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] As disposições sobre tarifas somente têm aplicação nos casos de serviços remunerados.",urn:lex:br:federal:lei:1962-08-27;4117!art112_cpt
"PAR","lei_4117_19620827, Art. 112., Parágrafo único.",875,876,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] O Orçamento consignará anualmente dotação suficiente para cobertura das despesas, correspondentes às taxas postais-telegráficas resultantes dos serviços dos órgãos dos Poderes Executivo, Legislativo e Judiciário.",urn:lex:br:federal:lei:1962-08-27;4117!art112_par1u
"CPT","lei_4117_19620827, Art. 113., caput",879,880,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Os concessionários e permissionários não poderão cobrar tarifas diferentes das que, para os mesmos destinos no exterior e pela mesma via, estejam em vigor nas estações do Departamento de Correios e Telégrafos. (Expressão “nas estações do Departamento de Correios e Telégrafos” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art113_cpt
"CPT","lei_4117_19620827, Art. 114., caput",883,884,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Ficam revogados os dispositivos em vigor referentes ao registro de aparelhos receptores de radiodifusão.",urn:lex:br:federal:lei:1962-08-27;4117!art114_cpt
"CPT","lei_4117_19620827, Art. 115., caput",887,888,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] São anistiadas as dívidas pelo não pagamento de taxa de registro de aparelhos receptores de radiodifusão, devendo o Poder Executivo providenciar o imediato cancelamento dessas dívidas, inclusive as já inscritas e ajuizadas.",urn:lex:br:federal:lei:1962-08-27;4117!art115_cpt
"CPT","lei_4117_19620827, Art. 116., caput",891,892,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Regulamentada esta lei, constituído e instalado o Conselho Nacional de Telecomunicações, ficará extinta a Comissão Técnica de Rádio, transferindo-se o seu pessoal, arquivo, expediente e instalações para o Conselho Nacional de Telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art116_cpt
"CPT","lei_4117_19620827, Art. 117., caput",895,896,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] As concessões e autorizações para os serviços de radiodifusão em funcionamento ficam automaticamente mantidas pelos prazos fixados no art. 33, § 3º, desta lei. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art117_cpt
"CPT","lei_4117_19620827, Art. 118., caput",899,900,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] O Conselho Nacional de Telecomunicações procederá, imediatamente, ao levantamento das concessões, autorizações e permissões, propondo ao Presidente da República a extinção daquelas cujos serviços não estiverem funcionando por culpa dos concessionários.",urn:lex:br:federal:lei:1962-08-27;4117!art118_cpt
"CPT","lei_4117_19620827, Art. 119., caput",903,904,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Até que seja aprovado o seu Quadro de Pessoal os serviços a cargo do Conselho Nacional de Telecomunicações serão executados por servidores públicos civis e militares, requisitados na forma da legislação em vigor.",urn:lex:br:federal:lei:1962-08-27;4117!art119_cpt
"CPT","lei_4117_19620827, Art. 120., caput",907,908,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Após a sua instalação, o Conselho Nacional de Telecomunicações proporá, dentro de 90 (noventa) dias, a organização dos quadros de seus serviços e órgãos.",urn:lex:br:federal:lei:1962-08-27;4117!art120_cpt
"CPT","lei_4117_19620827, Art. 121., caput",911,916,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] O Conselho Nacional de Telecomunicações procederá à revisão dos contratos das empresas de telecomunicações que funcionam no país, observando: a padronização de todos os contratos, observadas as circunstâncias peculiares a cada tipo de serviço; a fixação de prazo para as concessionárias autorizadas a funcionar no país se adaptarem aos preceitos da presente lei e às disposições do seu respectivo regulamento.",urn:lex:br:federal:lei:1962-08-27;4117!art121_cpt
"CPT","lei_4117_19620827, Art. 122., caput",919,920,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] É o Departamento dos Correios e Telégrafos dispensado de, no último dia do ano, recolher à conta de ""restos a pagar"", as importâncias empenhadas na aquisição de material ou na contratação ou ajuste de serviços de terceiros, não entregues ou não concluídos antes daquela data.",urn:lex:br:federal:lei:1962-08-27;4117!art122_cpt
"PAR","lei_4117_19620827, Art. 122., § 1º",921,922,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] As importâncias serão depositadas no Banco do Brasil, em conta vinculada com o fornecedor, só podendo ser liberadas quando certificado o recebimento.",urn:lex:br:federal:lei:1962-08-27;4117!art122_par1
"PAR","lei_4117_19620827, Art. 122., § 2º",923,924,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] A conta vinculada mencionará especificamente a data limite de entrega ou de conclusão dos serviços.",urn:lex:br:federal:lei:1962-08-27;4117!art122_par2
"PAR","lei_4117_19620827, Art. 122., § 3º",925,926,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] 30 (trinta) dias após a data limite e não tendo o Departamento dos Correios e Telégrafos liberado a conta, o Banco do Brasil recolherá o depósito à conta de ""restos a pagar"" da União.",urn:lex:br:federal:lei:1962-08-27;4117!art122_par3
"CPT","lei_4117_19620827, Art. 123., caput",929,930,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] As disposições legais e regulamentares que disciplinam os serviços de telecomunicações não colidentes com esta lei e não revogadas ou derrogadas, explícita ou implicitamente, pela mesma, deverão ser consolidadas pelo Poder Executivo.",urn:lex:br:federal:lei:1962-08-27;4117!art123_cpt
"CPT","lei_4117_19620827, Art. 124., caput",933,934,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] O tempo destinado na programação das estações de radiodifusão, à publicidade comercial, não poderá exceder de 25% (vinte e cinco por cento) do total.",urn:lex:br:federal:lei:1962-08-27;4117!art124_cpt
"PAR","lei_4117_19620827, Art. 124., Parágrafo único.",935,936,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Para os fins desta Lei, considera-se publicidade comercial o espaço da programação para a difusão de mensagens e informações com conteúdo próprio de publicidade de produtos e serviços para os consumidores e/ou de promoção de imagem e marca de empresas. (Parágrafo único acrescido pela Lei nº 14.408, de 12.7.2022, e transformado em §1º pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1962-08-27;4117!art124_par1u
"PAR","lei_4117_19620827, Art. 124., § 2º",937,938,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Os anunciantes da publicidade comercial exibida na programação serão responsáveis por disponibilizar, na peça audiovisual, os recursos de acessibilidade de que trata a alínea ""m"" do art. 38 desta Lei, sem responsabilização das emissoras executoras do serviço de radiodifusão de sons e imagens e de seus ancilares, devendo a irregularidade ser apurada nos termos da regulamentação. (Parágrafo acrescido pela Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1962-08-27;4117!art124_par2
"CPT","lei_4117_19620827, Art. 125., caput",941,942,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] O Departamento dos Correios e Telégrafos continuará a exercer as atribuições de fiscalização e a efetuar a arrecadação das atuais taxas, prêmios e contribuições, até que o Conselho Nacional de Telecomunicações esteja devidamente aparelhado para o exercício destas atribuições. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art125_cpt
"CPT","lei_4117_19620827, Art. 126., caput",945,946,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Enquanto não houver serviços telefônicos entre Brasília e as demais regiões do país, em condições de atender aos membros do Congresso Nacional em assuntos relacionados com o exercício de seus mandatos, o Conselho Nacional de Telecomunicações deverá reservar freqüências para serem utilizadas por estações transmissoras e receptoras particulares, com aquele objetivo, observados os preceitos legais e regulamentares que disciplinam a matéria. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art126_cpt
"CPT","lei_4117_19620827, Art. 127., caput",949,950,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] É o Poder Executivo autorizado a abrir, no Ministério da Fazenda, o crédito especial de Cr$ 30.000.000,00 (trinta milhões de cruzeiros) destinado a atender, no corrente exercício, às despesas de qualquer natureza com a instalação e funcionamento do Conselho Nacional de Telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art127_cpt
"CPT","lei_4117_19620827, Art. 128., caput",953,954,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Esta lei entrará em vigor na data de sua publicação e deverá ser regulamentada, por ato do Poder Executivo, dentro de 90 (noventa) dias.",urn:lex:br:federal:lei:1962-08-27;4117!art128_cpt
"CPT","lei_4117_19620827, Art. 129., caput",957,958,"[ Institui o Código Brasileiro de Telecomunicações. | DAS TAXAS E TARIFAS | ] Revogam-se as disposições em contrário.",urn:lex:br:federal:lei:1962-08-27;4117!art129_cpt
