Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_2615_1998.anexo1, Art. 11., caput",83,84,"[ DA AUTORIZAÇÃO | ] São competentes para executar o RadCom fundações e associações comunitárias, sem fins lucrativos, desde que legalmente instituídas e devidamente registradas, sediadas na área da comunidade para a qual pretendem prestar o Serviço, e cujos dirigentes sejam brasileiros natos ou naturalizados há mais de dez anos.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art11_cpt
"PAR","decreto_2615_1998.anexo1, Art. 11., Parágrafo único.",85,86,"[ DA AUTORIZAÇÃO | ] Os dirigentes das fundações e sociedades civis autorizadas a executar o Serviço, além das exigências deste artigo, deverão manter residência na área da comunidade atendida.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art11_par1u
"CPT","decreto_2615_1998.anexo1, Art. 12., caput",89,90,"[ DA AUTORIZAÇÃO | ] As entidades interessadas em executar o RadCom deverão apresentar requerimento ao Ministério das Comunicações, demonstrando seu interesse, indicando a área onde pretendem prestar o Serviço e solicitando a designação de canal para a respectiva prestação.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art12_cpt
"PAR","decreto_2615_1998.anexo1, Art. 12., Parágrafo único.",91,92,"[ DA AUTORIZAÇÃO | ] A ANATEL procederá a análise de viabilidade técnica para uso do canal nacionalmente designado para o RadCom ou de canal alternativo, conforme disposto no art. 4° e no inciso I do art. 10 deste regulamento.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art12_par1u
"CPT","decreto_2615_1998.anexo1, Art. 13., caput",95,96,"[ DA AUTORIZAÇÃO | ] Havendo possibilidade técnica, para o uso do canal específico ou de canal alternativo, o Ministério das Comunicações publicará, no Diário Oficial da União, comunicado de habilitação para inscrição das entidades interessadas, estabelecendo prazo para que o façam, bem como informando o valor e as condições de pagamento da taxa relativa às despesas de cadastramento.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art13_cpt
"CPT","decreto_2615_1998.anexo1, Art. 14., caput",99,112,"[ DA AUTORIZAÇÃO | ] As entidades interessadas na execução do RadCom, inclusive aquela cuja petição originou o comunicado de habilitação, deverão apresentar ao Ministério das Comunicações, no prazo fixado no comunicado de habilitação, os documentos a seguir indicados, além de atender as disposições estabelecidas em norma complementar: estatuto da entidade, devidamente registrado; ata da constituição da entidade e eleição dos seus dirigentes, devidamente registrada; prova de que seus diretores são brasileiros natos, ou naturalizados há mais de dez anos; comprovação de maioridade dos diretores; declaração assinada de cada diretor, comprometendo-se ao fiel cumprimento das normas estabelecidas para o Serviço; manifestação em apoio à iniciativa, formulada por entidades associativas e comunitárias, legalmente constituídas e sediadas na área pretendida para a prestação do Serviço, e firmada por pessoas naturais ou jurídicas que tenham residência, domicílio ou sede nessa área.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art14_cpt
"CPT","decreto_2615_1998.anexo1, Art. 15., caput",115,116,"[ DA AUTORIZAÇÃO | ] Se apenas uma entidade se habilitar para a prestação do Serviço, estando regular a documentação apresentada, o Ministério das Comunicações expedirá autorização à referida entidade.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art15_cpt
"CPT","decreto_2615_1998.anexo1, Art. 16., caput",119,120,"[ DA AUTORIZAÇÃO | ] Havendo mais de uma entidade habilitada para a prestação do Serviço, o Ministério das Comunicações promoverá o entendimento entre elas, objetivando que se associem. Não alcançando êxito, será procedida a escolha pelo critério de representatividade, evidenciada por meio de manifestações de apoio encaminhadas por membros ou por associações da comunidade a ser atendida.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art16_cpt
"PAR","decreto_2615_1998.anexo1, Art. 16., Parágrafo único.",121,122,"[ DA AUTORIZAÇÃO | ] Havendo igual representatividade entre as entidades, proceder-se-á à escolha por sorteio.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art16_par1u
"CPT","decreto_2615_1998.anexo1, Art. 17., caput",125,126,"[ DA AUTORIZAÇÃO | ] A autorização terá validade de três anos, permitida a renovação por igual período, se cumpridas as disposições legais vigentes.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art17_cpt
