Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anatel_589_2012.anexo1, Art. 1º, caput",3,4,"[ DO OBJETIVO | ] Este Regulamento estabelece parâmetros e critérios para aplicação de sanções administrativas por infrações à Lei nº 9.472, de 16 de julho de 1997, e demais normas aplicáveis, bem como por inobservância dos deveres decorrentes dos contratos de concessão, dos atos de designação ou dos atos e termos de permissão, de autorização de serviço, de autorização de uso de radiofrequência, de direito de exploração de satélite, ou ainda dos demais atos administrativos de efeitos concretos expedidos pela Agência.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art1_cpt
"CPT","res_anatel_589_2012.anexo1, Art. 3º, caput",9,24,"[ DAS SANÇÕES | ] Os infratores estão sujeitos às seguintes sanções, sem prejuízo das medidas previstas na legislação consumerista e das sanções de natureza civil e penal, inclusive a prevista pelo art. 183 da Lei nº 9.472, de 16 de julho de 1997: advertência; multa; suspensão temporária; obrigação de fazer; obrigação de não fazer; caducidade; e declaração de inidoneidade.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art3_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 3º, Parágrafo único.",25,26,"[ DAS SANÇÕES | ] O descumprimento das obrigações estabelecidas na Lei nº 11.934, de 5 de maio de 2009, sujeita os infratores à aplicação das sanções previstas no caput e, ainda, à sanção de multa diária nos termos do art. 18 da referida lei.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art3_par1u
"CPT","res_anatel_589_2012.anexo1, Art. 4º, caput",29,30,"[ DAS SANÇÕES | ] As sanções devem ser aplicadas mediante decisão fundamentada da Agência, assegurando o direito à ampla defesa, ao contraditório e ao devido processo legal, nos termos da Lei nº 9.784, de 29 de janeiro de 1999, e do Regimento Interno da Agência.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art4_cpt
"CPT","res_anatel_589_2012.anexo1, Art. 5º, caput",33,34,"[ DAS SANÇÕES | ] A Anatel poderá, a seu critério e na órbita de suas competências legais, com vistas ao melhor atendimento do interesse público, celebrar, com os infratores, compromisso de ajustamento de conduta às exigências legais.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art5_cpt
"CPT","res_anatel_589_2012.anexo1, Art. 6º, caput",37,38,"[ DAS SANÇÕES | ] No curso do procedimento ou, em caso de risco iminente, antes dele, a Agência poderá, motivadamente, adotar medidas cautelares, sem a prévia manifestação do interessado.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art6_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 6º, § 1º",39,40,"[ DAS SANÇÕES | ] As medidas cautelares adotadas no curso do procedimento não obstam o seu prosseguimento, devendo todos os atos a ela relativos ser apensados em autos apartados.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art6_par1
"PAR","res_anatel_589_2012.anexo1, Art. 6º, § 2º",41,42,"[ DAS SANÇÕES | ] Caso haja recurso contra a decisão que adotar medidas cautelares, os autos apartados devem ser desapensados do procedimento principal, se houver, para análise e julgamento pela autoridade competente.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art6_par2
"CPT","res_anatel_589_2012.anexo1, Art. 7º, caput",47,64,"[ DA MÁ-FÉ | ] Considera-se má-fé os seguintes comportamentos: descumprir deliberadamente as disposições de leis, regulamentos, súmulas, contratos, termos e atos da Agência; deduzir pretensão ou defesa contra texto expresso de leis, regulamentos, súmulas, contratos, termos e atos aplicáveis ou fatos incontroversos; alterar a verdade dos fatos, bem como juntar, aos autos, documentos falsos; usar do processo para conseguir objetivo ilegal; opor resistência injustificada ao andamento do processo; proceder de modo temerário em qualquer incidente ou ato do processo; provocar incidentes manifestamente infundados; peticionar com intuito manifestamente protelatório.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art7_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 7º, Parágrafo único.",65,66,"[ DA MÁ-FÉ | ] Os conceitos de má-fé previstos neste artigo aplicam-se aos infratores e/ou aos seus administradores ou controladores.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art7_par1u
"CPT","res_anatel_589_2012.anexo1, Art. 8º, caput",69,70,"[ DA MÁ-FÉ | ] Nas infrações praticadas por pessoa jurídica, também serão punidos com a sanção de multa seus administradores ou controladores, quando tiverem agido de má-fé.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art8_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 8º, § 1º",71,72,"[ DA MÁ-FÉ | ] A apuração da infração praticada por administrador ou controlador deve ser realizada em autos apartados, observando-se todos os princípios processuais legais.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art8_par1
"PAR","res_anatel_589_2012.anexo1, Art. 8º, § 2º",73,74,"[ DA MÁ-FÉ | ] No cálculo do valor da multa a ser aplicada ao administrador ou ao controlador devem ser considerados os parâmetros adotados neste Regulamento.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art8_par2
"PAR","res_anatel_589_2012.anexo1, Art. 8º, § 3º",75,76,"[ DA MÁ-FÉ | ] A má-fé disposta no caput será considerada infração de natureza grave.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art8_par3
"PAR","res_anatel_589_2012.anexo1, Art. 8º, § 4º",77,78,"[ DA MÁ-FÉ | ] A sanção prevista no caput é de responsabilidade pessoal e exclusiva do administrador ou controlador.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art8_par4
"CPT","res_anatel_589_2012.anexo1, Art. 9º, caput",83,90,"[ DA CLASSIFICAÇÃO DAS INFRAÇÕES | ] As infrações são classificadas, segundo sua natureza e gravidade, em: leve; média; e grave.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art9_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 9º, § 1º",91,92,"[ DA CLASSIFICAÇÃO DAS INFRAÇÕES | ] A infração deve ser considerada leve quando não verificada nenhuma das hipóteses relacionadas nos §§ 2º ou 3º deste artigo.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art9_par1
"PAR","res_anatel_589_2012.anexo1, Art. 9º, § 2º",93,98,"[ DA CLASSIFICAÇÃO DAS INFRAÇÕES | ] A infração deve ser considerada média quando da ocorrência de uma das seguintes alternativas: (Redação dada pela Resolução nº 746, de 22 de junho de 2021) vantagem indireta ao infrator em decorrência da infração cometida; ou, (Redação dada pela Resolução nº 746, de 22 de junho de 2021) atingir grupo limitado de usuários. (Redação dada pela Resolução nº 746, de 22 de junho de 2021)",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art9_par2
"CPT","res_anatel_589_2012.anexo1, Art. 10., caput",123,146,"[ DOS PARÂMETROS E CRITÉRIOS PARA DEFINIÇÃO DAS SANÇÕES | ] Na definição da sanção devem ser considerados os seguintes parâmetros e critérios: a classificação da infração; os danos resultantes para o serviço e para os usuários efetivos ou potenciais; as circunstâncias agravantes e atenuantes, conforme definições dos arts. 19 e 20 deste regulamento; os antecedentes do infrator; a reincidência específica; o serviço explorado; a abrangência dos interesses a que o serviço atende; o regime jurídico de exploração do serviço; a situação econômica e financeira do infrator, em especial sua capacidade de geração de receitas e seu patrimônio; a proporcionalidade entre a gravidade da falta e a intensidade da sanção; e o vulto da vantagem auferida, direta ou indiretamente, pelo infrator.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art10_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 10., Parágrafo único.",147,148,"[ DOS PARÂMETROS E CRITÉRIOS PARA DEFINIÇÃO DAS SANÇÕES | ] O mesmo registro de sanção não pode ser utilizado como reincidência e antecedente na aplicação da sanção.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art10_par1u
"CPT","res_anatel_589_2012.anexo1, Art. 11., caput",151,152,"[ DOS PARÂMETROS E CRITÉRIOS PARA DEFINIÇÃO DAS SANÇÕES | ] Quando o infrator, mediante mais de uma ação ou omissão, pratica duas ou mais infrações da mesma espécie e, pelas condições de tempo, lugar, maneira de execução e outras semelhantes, devem as subsequentes ser havidas como continuação da primeira, observando-se, no caso de multa, o número de ocorrências como critério de definição do valor base da sanção.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art11_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 11., § 1º",153,154,"[ DOS PARÂMETROS E CRITÉRIOS PARA DEFINIÇÃO DAS SANÇÕES | ] O auto de infração incluirá todas as ocorrências infracionais verificadas até a data de autuação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art11_par1
"PAR","res_anatel_589_2012.anexo1, Art. 11., § 2º",155,156,"[ DOS PARÂMETROS E CRITÉRIOS PARA DEFINIÇÃO DAS SANÇÕES | ] A Agência determinará, no auto de infração, a cessação da conduta infracional.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art11_par2
"CPT","res_anatel_589_2012.anexo1, Art. 12., caput",161,166,"[ DA APLICAÇÃO DE ADVERTÊNCIA | ] A Agência aplicará a sanção de advertência quando da ocorrência de uma das seguintes alternativas: (Redação dada pela Resolução nº 746, de 22 de junho de 2021) não justifique a imposição de pena mais grave ao infrator; ou, (Redação dada pela Resolução nº 746, de 22 de junho de 2021) atendimento das medidas impostas em processo de Acompanhamento do qual derivou o Pado. (Redação dada pela Resolução nº 746, de 22 de junho de 2021)",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art12_cpt
"PAR","res_anatel_589_2012.anexo1, Art. 12., Parágrafo único.",167,172,"[ DA APLICAÇÃO DE ADVERTÊNCIA | ] Não será aplicada a sanção de advertência a: (Redação dada pela Resolução nº 746, de 22 de junho de 2021) descumprimento das obrigações relacionadas à universalização e à continuidade; ou, (Redação dada pela Resolução nº 746, de 22 de junho de 2021) infrações graves, na forma do § 3º do art. 9º deste Regulamento, ressalvada a situação prevista no inciso II do caput deste artigo. (Redação dada pela Resolução nº 746, de 22 de junho de 2021)",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2012-05-07;589!anexo1!art12_par1u
